Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1,Model,Dataset,SNR
CNN,0,0.4607,0.0063,0.4167,wav2vec2,MSP-Podcast,clean
Layer 1,1,0.4366,0.0055,0.4128,wav2vec2,MSP-Podcast,clean
Layer 2,2,0.4225,0.0063,0.4048,wav2vec2,MSP-Podcast,clean
Layer 3,3,0.4248,0.0023,0.4108,wav2vec2,MSP-Podcast,clean
Layer 4,4,0.4273,0.0061,0.4159,wav2vec2,MSP-Podcast,clean
Layer 5,5,0.4332,0.0063,0.4201,wav2vec2,MSP-Podcast,clean
Layer 6,6,0.4342,0.0055,0.4216,wav2vec2,MSP-Podcast,clean
Layer 7,7,0.4341,0.0069,0.424,wav2vec2,MSP-Podcast,clean
Layer 8,8,0.4252,0.0028,0.414,wav2vec2,MSP-Podcast,clean
Layer 9,9,0.4262,0.0052,0.4167,wav2vec2,MSP-Podcast,clean
Layer 10,10,0.4311,0.0052,0.4219,wav2vec2,MSP-Podcast,clean
Layer 11,11,0.4398,0.0035,0.4289,wav2vec2,MSP-Podcast,clean
Layer 12,12,0.4337,0.0063,0.4249,wav2vec2,MSP-Podcast,clean
Layer 13,13,0.4258,0.0072,0.4172,wav2vec2,MSP-Podcast,clean
Layer 14,14,0.4264,0.0074,0.4174,wav2vec2,MSP-Podcast,clean
Layer 15,15,0.4196,0.0088,0.4119,wav2vec2,MSP-Podcast,clean
Layer 16,16,0.4238,0.007,0.4146,wav2vec2,MSP-Podcast,clean
Layer 17,17,0.424,0.0051,0.4144,wav2vec2,MSP-Podcast,clean
Layer 18,18,0.4192,0.006,0.4071,wav2vec2,MSP-Podcast,clean
Layer 19,19,0.4324,0.0044,0.4195,wav2vec2,MSP-Podcast,clean
Layer 20,20,0.4282,0.0071,0.4123,wav2vec2,MSP-Podcast,clean
Layer 21,21,0.4162,0.0072,0.3993,wav2vec2,MSP-Podcast,clean
Layer 22,22,0.4167,0.0072,0.3952,wav2vec2,MSP-Podcast,clean
Layer 23,23,0.4026,0.0053,0.3795,wav2vec2,MSP-Podcast,clean
Layer 24,24,0.3861,0.0014,0.3605,wav2vec2,MSP-Podcast,clean
CNN,0,0.4169,0.0071,0.3652,wav2vec2,MSP-Podcast,0
Layer 1,1,0.387,0.0053,0.3596,wav2vec2,MSP-Podcast,0
Layer 2,2,0.3797,0.0088,0.3592,wav2vec2,MSP-Podcast,0
Layer 3,3,0.3791,0.0037,0.3598,wav2vec2,MSP-Podcast,0
Layer 4,4,0.3882,0.0056,0.3696,wav2vec2,MSP-Podcast,0
Layer 5,5,0.3858,0.0073,0.368,wav2vec2,MSP-Podcast,0
Layer 6,6,0.3893,0.0042,0.3719,wav2vec2,MSP-Podcast,0
Layer 7,7,0.3884,0.0055,0.3734,wav2vec2,MSP-Podcast,0
Layer 8,8,0.3864,0.0041,0.3728,wav2vec2,MSP-Podcast,0
Layer 9,9,0.3878,0.0061,0.3741,wav2vec2,MSP-Podcast,0
Layer 10,10,0.3882,0.0023,0.3745,wav2vec2,MSP-Podcast,0
Layer 11,11,0.3884,0.0024,0.376,wav2vec2,MSP-Podcast,0
Layer 12,12,0.383,0.0091,0.3694,wav2vec2,MSP-Podcast,0
Layer 13,13,0.3788,0.0069,0.3673,wav2vec2,MSP-Podcast,0
Layer 14,14,0.3872,0.0046,0.3749,wav2vec2,MSP-Podcast,0
Layer 15,15,0.3807,0.0053,0.3692,wav2vec2,MSP-Podcast,0
Layer 16,16,0.3858,0.0045,0.3732,wav2vec2,MSP-Podcast,0
Layer 17,17,0.3802,0.0037,0.367,wav2vec2,MSP-Podcast,0
Layer 18,18,0.3706,0.0119,0.3566,wav2vec2,MSP-Podcast,0
Layer 19,19,0.3878,0.011,0.3709,wav2vec2,MSP-Podcast,0
Layer 20,20,0.3799,0.0075,0.3612,wav2vec2,MSP-Podcast,0
Layer 21,21,0.3777,0.0073,0.3558,wav2vec2,MSP-Podcast,0
Layer 22,22,0.3723,0.005,0.3457,wav2vec2,MSP-Podcast,0
