Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1,Model,Dataset,SNR
Layer 8,8,0.4095,0.0084,0.3958,MERT,MSP-Podcast,20
Layer 9,9,0.4089,0.004,0.3937,MERT,MSP-Podcast,20
Layer 10,10,0.4098,0.0064,0.3949,MERT,MSP-Podcast,20
Layer 11,11,0.4108,0.0054,0.3957,MERT,MSP-Podcast,20
Layer 12,12,0.4079,0.0062,0.3936,MERT,MSP-Podcast,20
Layer 13,13,0.41,0.0055,0.3951,MERT,MSP-Podcast,20
Layer 14,14,0.4089,0.0056,0.394,MERT,MSP-Podcast,20
Layer 15,15,0.4046,0.0041,0.3896,MERT,MSP-Podcast,20
Layer 16,16,0.4061,0.0078,0.3923,MERT,MSP-Podcast,20
Layer 17,17,0.4078,0.0075,0.3939,MERT,MSP-Podcast,20
Layer 18,18,0.4033,0.0071,0.3889,MERT,MSP-Podcast,20
Layer 19,19,0.4045,0.008,0.3897,MERT,MSP-Podcast,20
Layer 20,20,0.3936,0.0141,0.3791,MERT,MSP-Podcast,20
Layer 21,21,0.3977,0.005,0.3833,MERT,MSP-Podcast,20
Layer 22,22,0.404,0.0058,0.3898,MERT,MSP-Podcast,20
Layer 23,23,0.3988,0.0047,0.3847,MERT,MSP-Podcast,20
Layer 24,24,0.4005,0.0032,0.3842,MERT,MSP-Podcast,20
CNN,0,0.4259,0.0082,0.3642,MERT,MSP-Podcast,5
Layer 1,1,0.4056,0.0078,0.3668,MERT,MSP-Podcast,5
Layer 2,2,0.3999,0.0072,0.3725,MERT,MSP-Podcast,5
Layer 3,3,0.3996,0.0071,0.3775,MERT,MSP-Podcast,5
Layer 4,4,0.4026,0.0072,0.3816,MERT,MSP-Podcast,5
Layer 5,5,0.3943,0.0052,0.3774,MERT,MSP-Podcast,5
Layer 6,6,0.392,0.0072,0.3765,MERT,MSP-Podcast,5
Layer 7,7,0.3974,0.0047,0.3804,MERT,MSP-Podcast,5
Layer 8,8,0.4008,0.0047,0.3843,MERT,MSP-Podcast,5
Layer 9,9,0.4029,0.0092,0.386,MERT,MSP-Podcast,5
Layer 10,10,0.4016,0.0039,0.3832,MERT,MSP-Podcast,5
Layer 11,11,0.3992,0.0088,0.3822,MERT,MSP-Podcast,5
