Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1,Model,Dataset,SNR
CNN,0,0.3917,0.0053,0.2937,w2v-BERT,MSP-Podcast,20
Layer 1,1,0.3932,0.0042,0.3724,w2v-BERT,MSP-Podcast,20
Layer 2,2,0.4124,0.0083,0.3941,w2v-BERT,MSP-Podcast,20
Layer 3,3,0.4236,0.0115,0.4094,w2v-BERT,MSP-Podcast,20
Layer 4,4,0.4217,0.0042,0.4089,w2v-BERT,MSP-Podcast,20
Layer 5,5,0.4295,0.006,0.4151,w2v-BERT,MSP-Podcast,20
Layer 6,6,0.4336,0.0106,0.4185,w2v-BERT,MSP-Podcast,20
Layer 7,7,0.4301,0.0078,0.4137,w2v-BERT,MSP-Podcast,20
Layer 8,8,0.4267,0.0042,0.409,w2v-BERT,MSP-Podcast,20
Layer 9,9,0.4403,0.0094,0.4218,w2v-BERT,MSP-Podcast,20
Layer 10,10,0.4269,0.0037,0.4123,w2v-BERT,MSP-Podcast,20
Layer 11,11,0.4359,0.0047,0.4228,w2v-BERT,MSP-Podcast,20
Layer 12,12,0.4367,0.0025,0.4276,w2v-BERT,MSP-Podcast,20
Layer 13,13,0.4414,0.005,0.4307,w2v-BERT,MSP-Podcast,20
Layer 14,14,0.4483,0.0039,0.4354,w2v-BERT,MSP-Podcast,20
Layer 15,15,0.4411,0.0077,0.4265,w2v-BERT,MSP-Podcast,20
Layer 16,16,0.438,0.0045,0.4251,w2v-BERT,MSP-Podcast,20
Layer 17,17,0.4322,0.005,0.4212,w2v-BERT,MSP-Podcast,20
Layer 18,18,0.4306,0.0081,0.4183,w2v-BERT,MSP-Podcast,20
Layer 19,19,0.4309,0.012,0.4186,w2v-BERT,MSP-Podcast,20
Layer 20,20,0.4242,0.0056,0.411,w2v-BERT,MSP-Podcast,20
Layer 21,21,0.4182,0.006,0.4038,w2v-BERT,MSP-Podcast,20
Layer 22,22,0.4055,0.0094,0.3913,w2v-BERT,MSP-Podcast,20
Layer 23,23,0.4076,0.005,0.3943,w2v-BERT,MSP-Podcast,20
Layer 24,24,0.4051,0.0116,0.3855,w2v-BERT,MSP-Podcast,20
CNN,0,0.3937,0.008,0.2937,w2v-BERT,MSP-Podcast,5
Layer 1,1,0.3806,0.007,0.3579,w2v-BERT,MSP-Podcast,5
Layer 2,2,0.3989,0.0052,0.379,w2v-BERT,MSP-Podcast,5
Layer 3,3,0.4125,0.0031,0.3964,w2v-BERT,MSP-Podcast,5
Layer 4,4,0.4131,0.0073,0.3968,w2v-BERT,MSP-Podcast,5
Layer 5,5,0.4195,0.004,0.4045,w2v-BERT,MSP-Podcast,5
Layer 6,6,0.4234,0.0077,0.4051,w2v-BERT,MSP-Podcast,5
