Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1,Model,Dataset,SNR
CNN,0,0.4814,0.0027,0.4211,Whisper,MSP-Podcast,clean
Layer 1,1,0.4692,0.0024,0.424,Whisper,MSP-Podcast,clean
Layer 2,2,0.4589,0.0082,0.4249,Whisper,MSP-Podcast,clean
Layer 3,3,0.4556,0.0031,0.4287,Whisper,MSP-Podcast,clean
Layer 4,4,0.4495,0.0042,0.4286,Whisper,MSP-Podcast,clean
Layer 5,5,0.4493,0.0083,0.4311,Whisper,MSP-Podcast,clean
Layer 6,6,0.4448,0.0082,0.4301,Whisper,MSP-Podcast,clean
Layer 7,7,0.4427,0.0034,0.429,Whisper,MSP-Podcast,clean
Layer 8,8,0.448,0.0027,0.4321,Whisper,MSP-Podcast,clean
Layer 9,9,0.448,0.0065,0.4335,Whisper,MSP-Podcast,clean
Layer 10,10,0.4392,0.0069,0.4253,Whisper,MSP-Podcast,clean
Layer 11,11,0.4444,0.0084,0.4312,Whisper,MSP-Podcast,clean
Layer 12,12,0.4462,0.0093,0.4338,Whisper,MSP-Podcast,clean
Layer 13,13,0.4472,0.0088,0.436,Whisper,MSP-Podcast,clean
Layer 14,14,0.4434,0.0059,0.4329,Whisper,MSP-Podcast,clean
Layer 15,15,0.4494,0.0045,0.4393,Whisper,MSP-Podcast,clean
Layer 16,16,0.4494,0.0032,0.44,Whisper,MSP-Podcast,clean
Layer 17,17,0.4453,0.0067,0.4381,Whisper,MSP-Podcast,clean
Layer 18,18,0.4456,0.0071,0.4381,Whisper,MSP-Podcast,clean
Layer 19,19,0.4473,0.0035,0.4402,Whisper,MSP-Podcast,clean
Layer 20,20,0.4558,0.0107,0.4487,Whisper,MSP-Podcast,clean
Layer 21,21,0.4493,0.0067,0.4429,Whisper,MSP-Podcast,clean
Layer 22,22,0.4576,0.0121,0.4516,Whisper,MSP-Podcast,clean
Layer 23,23,0.4552,0.0056,0.4493,Whisper,MSP-Podcast,clean
Layer 24,24,0.4558,0.0096,0.452,Whisper,MSP-Podcast,clean
CNN,0,0.4281,0.0047,0.3618,Whisper,MSP-Podcast,0
Layer 1,1,0.4221,0.0074,0.3773,Whisper,MSP-Podcast,0
Layer 2,2,0.4136,0.0079,0.3827,Whisper,MSP-Podcast,0
Layer 3,3,0.4114,0.0069,0.3866,Whisper,MSP-Podcast,0
Layer 4,4,0.4112,0.0023,0.3903,Whisper,MSP-Podcast,0
Layer 5,5,0.4137,0.0124,0.3955,Whisper,MSP-Podcast,0
Layer 6,6,0.4152,0.0094,0.4,Whisper,MSP-Podcast,0
Layer 7,7,0.4152,0.006,0.4003,Whisper,MSP-Podcast,0
Layer 8,8,0.4202,0.0062,0.405,Whisper,MSP-Podcast,0
Layer 9,9,0.4274,0.0056,0.4112,Whisper,MSP-Podcast,0
Layer 10,10,0.4241,0.0029,0.4105,Whisper,MSP-Podcast,0
Layer 11,11,0.4271,0.0047,0.4143,Whisper,MSP-Podcast,0
Layer 12,12,0.4201,0.0073,0.4088,Whisper,MSP-Podcast,0
Layer 13,13,0.4282,0.01,0.4163,Whisper,MSP-Podcast,0
Layer 14,14,0.4231,0.006,0.412,Whisper,MSP-Podcast,0
Layer 15,15,0.4266,0.0032,0.4161,Whisper,MSP-Podcast,0
Layer 16,16,0.4295,0.0045,0.4189,Whisper,MSP-Podcast,0
Layer 17,17,0.4289,0.0055,0.4197,Whisper,MSP-Podcast,0
Layer 18,18,0.4301,0.0073,0.4203,Whisper,MSP-Podcast,0
Layer 19,19,0.4306,0.001,0.422,Whisper,MSP-Podcast,0
Layer 20,20,0.4339,0.0104,0.4256,Whisper,MSP-Podcast,0
Layer 21,21,0.4333,0.0096,0.4255,Whisper,MSP-Podcast,0
Layer 22,22,0.4423,0.005,0.4346,Whisper,MSP-Podcast,0
Layer 23,23,0.4471,0.0055,0.4395,Whisper,MSP-Podcast,0
Layer 24,24,0.4465,0.0105,0.4408,Whisper,MSP-Podcast,0
CNN,0,0.4421,0.0045,0.3797,Whisper,MSP-Podcast,10
Layer 1,1,0.4366,0.007,0.3942,Whisper,MSP-Podcast,10
Layer 2,2,0.4275,0.004,0.3978,Whisper,MSP-Podcast,10
Layer 3,3,0.4262,0.0044,0.4004,Whisper,MSP-Podcast,10
Layer 4,4,0.421,0.0065,0.4008,Whisper,MSP-Podcast,10
Layer 5,5,0.4227,0.0069,0.4057,Whisper,MSP-Podcast,10
Layer 6,6,0.427,0.0017,0.4117,Whisper,MSP-Podcast,10
Layer 7,7,0.4244,0.0037,0.4105,Whisper,MSP-Podcast,10
Layer 8,8,0.4307,0.0056,0.4168,Whisper,MSP-Podcast,10
Layer 9,9,0.436,0.0086,0.4219,Whisper,MSP-Podcast,10
Layer 10,10,0.4292,0.0053,0.4165,Whisper,MSP-Podcast,10
Layer 11,11,0.4309,0.0077,0.4192,Whisper,MSP-Podcast,10
Layer 12,12,0.4296,0.0066,0.4191,Whisper,MSP-Podcast,10
Layer 13,13,0.4361,0.0099,0.4247,Whisper,MSP-Podcast,10
Layer 14,14,0.4375,0.0111,0.4269,Whisper,MSP-Podcast,10
Layer 15,15,0.4351,0.0051,0.4256,Whisper,MSP-Podcast,10
Layer 16,16,0.4393,0.0113,0.4291,Whisper,MSP-Podcast,10
Layer 17,17,0.4365,0.0058,0.4285,Whisper,MSP-Podcast,10
Layer 18,18,0.435,0.0096,0.4266,Whisper,MSP-Podcast,10
Layer 19,19,0.4388,0.0076,0.4307,Whisper,MSP-Podcast,10
Layer 20,20,0.4409,0.007,0.4324,Whisper,MSP-Podcast,10
Layer 21,21,0.4363,0.0067,0.4303,Whisper,MSP-Podcast,10
Layer 22,22,0.4487,0.0065,0.4417,Whisper,MSP-Podcast,10
Layer 23,23,0.4529,0.0068,0.4465,Whisper,MSP-Podcast,10
Layer 24,24,0.45,0.0075,0.445,Whisper,MSP-Podcast,10
CNN,0,0.4553,0.0051,0.395,Whisper,MSP-Podcast,20
Layer 1,1,0.4445,0.0074,0.4028,Whisper,MSP-Podcast,20
Layer 2,2,0.4372,0.0051,0.4055,Whisper,MSP-Podcast,20
Layer 3,3,0.4325,0.0045,0.4066,Whisper,MSP-Podcast,20
Layer 4,4,0.4367,0.0113,0.4163,Whisper,MSP-Podcast,20
Layer 5,5,0.4312,0.0056,0.4144,Whisper,MSP-Podcast,20
Layer 6,6,0.4344,0.0055,0.4183,Whisper,MSP-Podcast,20
Layer 7,7,0.432,0.0066,0.4181,Whisper,MSP-Podcast,20
Layer 8,8,0.4358,0.0072,0.4216,Whisper,MSP-Podcast,20
Layer 9,9,0.4398,0.0096,0.4258,Whisper,MSP-Podcast,20
Layer 10,10,0.4378,0.0061,0.4245,Whisper,MSP-Podcast,20
Layer 11,11,0.439,0.005,0.4265,Whisper,MSP-Podcast,20
Layer 12,12,0.4393,0.0045,0.4277,Whisper,MSP-Podcast,20
Layer 13,13,0.439,0.0115,0.4283,Whisper,MSP-Podcast,20
Layer 14,14,0.4404,0.0096,0.43,Whisper,MSP-Podcast,20
Layer 15,15,0.4401,0.0082,0.4287,Whisper,MSP-Podcast,20
Layer 16,16,0.4386,0.0074,0.4297,Whisper,MSP-Podcast,20
Layer 17,17,0.4346,0.0071,0.4269,Whisper,MSP-Podcast,20
Layer 18,18,0.4357,0.0074,0.4276,Whisper,MSP-Podcast,20
Layer 19,19,0.4395,0.0085,0.4314,Whisper,MSP-Podcast,20
Layer 20,20,0.4393,0.0114,0.4318,Whisper,MSP-Podcast,20
Layer 21,21,0.4427,0.0094,0.4365,Whisper,MSP-Podcast,20
Layer 22,22,0.4494,0.0115,0.4432,Whisper,MSP-Podcast,20
Layer 23,23,0.4495,0.0063,0.4432,Whisper,MSP-Podcast,20
Layer 24,24,0.4513,0.0053,0.4463,Whisper,MSP-Podcast,20
CNN,0,0.4387,0.0043,0.3744,Whisper,MSP-Podcast,5
Layer 1,1,0.4272,0.0076,0.3842,Whisper,MSP-Podcast,5
Layer 2,2,0.421,0.0065,0.3907,Whisper,MSP-Podcast,5
Layer 3,3,0.4183,0.0064,0.3935,Whisper,MSP-Podcast,5
Layer 4,4,0.4188,0.0066,0.3994,Whisper,MSP-Podcast,5
Layer 5,5,0.4165,0.0137,0.4001,Whisper,MSP-Podcast,5
Layer 6,6,0.4162,0.0055,0.4016,Whisper,MSP-Podcast,5
Layer 7,7,0.4166,0.0055,0.4028,Whisper,MSP-Podcast,5
Layer 8,8,0.4282,0.0052,0.4133,Whisper,MSP-Podcast,5
Layer 9,9,0.4285,0.0078,0.4134,Whisper,MSP-Podcast,5
Layer 10,10,0.4241,0.0024,0.4116,Whisper,MSP-Podcast,5
Layer 11,11,0.4281,0.006,0.4165,Whisper,MSP-Podcast,5
Layer 12,12,0.4258,0.0061,0.4147,Whisper,MSP-Podcast,5
Layer 13,13,0.4313,0.0104,0.4203,Whisper,MSP-Podcast,5
Layer 14,14,0.4286,0.0091,0.4187,Whisper,MSP-Podcast,5
Layer 15,15,0.4296,0.0036,0.4192,Whisper,MSP-Podcast,5
Layer 16,16,0.4338,0.007,0.4236,Whisper,MSP-Podcast,5
Layer 17,17,0.4346,0.0067,0.4266,Whisper,MSP-Podcast,5
Layer 18,18,0.432,0.0092,0.4229,Whisper,MSP-Podcast,5
Layer 19,19,0.4299,0.0073,0.4225,Whisper,MSP-Podcast,5
Layer 20,20,0.4343,0.0079,0.4274,Whisper,MSP-Podcast,5
Layer 21,21,0.4393,0.0077,0.4323,Whisper,MSP-Podcast,5
Layer 22,22,0.4435,0.006,0.4369,Whisper,MSP-Podcast,5
Layer 23,23,0.4509,0.0086,0.4441,Whisper,MSP-Podcast,5
Layer 24,24,0.4473,0.0098,0.4425,Whisper,MSP-Podcast,5
