Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.9009,0.0305,0.9004
Layer 1,1,0.9495,0.0173,0.9496
Layer 2,2,0.9682,0.0095,0.968
Layer 3,3,0.9626,0.0132,0.9623
Layer 4,4,0.972,0.0102,0.9719
Layer 5,5,0.9607,0.015,0.9605
Layer 6,6,0.9439,0.0118,0.9435
Layer 7,7,0.9028,0.0075,0.9017
Layer 8,8,0.8636,0.0241,0.8611
Layer 9,9,0.8224,0.0251,0.8206
Layer 10,10,0.7664,0.029,0.7644
Layer 11,11,0.7234,0.0531,0.7225
Layer 12,12,0.6112,0.061,0.6066
