Layer,Layer_Num,FiveFold_Accuracy,FiveFold_F1,LOSO_Accuracy,LOSO_Std,LOSO_F1,Accuracy_Drop,LOSO_Min_Speaker_Acc,LOSO_Max_Speaker_Acc,Num_Speakers
CNN,0,0.3021,0.3049,0.2271,0.0446,0.2297,0.075,0.1833,0.3,4
Layer 1,1,0.675,0.6713,0.4062,0.1119,0.4007,0.2688,0.2917,0.5417,4
Layer 2,2,0.7333,0.7305,0.4417,0.1308,0.4359,0.2916,0.2917,0.5917,4
Layer 3,3,0.7688,0.7679,0.5229,0.1349,0.5143,0.2458,0.3083,0.65,4
Layer 4,4,0.7917,0.7916,0.5479,0.1322,0.5343,0.2438,0.325,0.6583,4
Layer 5,5,0.7729,0.7696,0.5854,0.1314,0.5752,0.1875,0.3833,0.725,4
Layer 6,6,0.7896,0.7856,0.5604,0.1242,0.5449,0.2292,0.3583,0.6667,4
Layer 7,7,0.7792,0.78,0.5396,0.1344,0.5236,0.2396,0.3333,0.675,4
Layer 8,8,0.7479,0.7472,0.4583,0.1026,0.433,0.2896,0.3167,0.5917,4
Layer 9,9,0.8083,0.8068,0.5687,0.1199,0.5597,0.2396,0.3667,0.6667,4
Layer 10,10,0.8167,0.8177,0.5771,0.1151,0.5744,0.2396,0.3833,0.675,4
Layer 11,11,0.8062,0.8058,0.6083,0.1285,0.5997,0.198,0.3917,0.725,4
Layer 12,12,0.7958,0.7951,0.6333,0.1332,0.6226,0.1625,0.4083,0.75,4
Layer 13,13,0.7979,0.7973,0.6646,0.1697,0.6546,0.1333,0.375,0.8083,4
Layer 14,14,0.7938,0.7905,0.6292,0.1094,0.6156,0.1645,0.45,0.7417,4
Layer 15,15,0.775,0.774,0.6083,0.1542,0.594,0.1667,0.35,0.7583,4
Layer 16,16,0.8292,0.829,0.6479,0.1623,0.6372,0.1813,0.3833,0.825,4
Layer 17,17,0.8292,0.829,0.6021,0.1625,0.5742,0.2271,0.375,0.8333,4
Layer 18,18,0.8167,0.8153,0.5604,0.155,0.5292,0.2563,0.3333,0.75,4
Layer 19,19,0.7979,0.7955,0.5333,0.1809,0.5107,0.2646,0.2833,0.7333,4
Layer 20,20,0.7958,0.7941,0.5542,0.1728,0.5372,0.2416,0.3,0.7333,4
Layer 21,21,0.7688,0.7668,0.4917,0.152,0.464,0.277,0.3333,0.675,4
Layer 22,22,0.7229,0.7232,0.4354,0.1474,0.4144,0.2875,0.2917,0.6667,4
Layer 23,23,0.6854,0.683,0.3937,0.1106,0.3814,0.2917,0.3,0.575,4
Layer 24,24,0.6021,0.5982,0.3187,0.0836,0.3081,0.2834,0.225,0.425,4
