Layer,Layer_Num,FiveFold_Accuracy,FiveFold_F1,LOSO_Accuracy,LOSO_Std,LOSO_F1,Accuracy_Drop,LOSO_Min_Speaker_Acc,LOSO_Max_Speaker_Acc,Num_Speakers,Model,Dataset
CNN,0,0.6628,0.662,0.6139,0.0343,0.6133,0.0489,0.5365,0.6562,10,HuBERT,IEMOCAP
Layer 1,1,0.6714,0.6712,0.6082,0.0252,0.6074,0.0632,0.5581,0.6504,10,HuBERT,IEMOCAP
Layer 2,2,0.6584,0.658,0.6066,0.0181,0.6062,0.0518,0.5808,0.6426,10,HuBERT,IEMOCAP
Layer 3,3,0.6643,0.664,0.6165,0.0365,0.6164,0.0478,0.5648,0.6953,10,HuBERT,IEMOCAP
Layer 4,4,0.6681,0.6679,0.6212,0.035,0.6207,0.0469,0.5763,0.7012,10,HuBERT,IEMOCAP
Layer 5,5,0.6747,0.6744,0.6286,0.0311,0.6284,0.0461,0.5763,0.7031,10,HuBERT,IEMOCAP
Layer 6,6,0.6751,0.6751,0.637,0.0308,0.6369,0.0381,0.5782,0.7051,10,HuBERT,IEMOCAP
Layer 7,7,0.6778,0.6777,0.6353,0.0304,0.6351,0.0425,0.5895,0.6865,10,HuBERT,IEMOCAP
Layer 8,8,0.6716,0.6717,0.6317,0.0319,0.6318,0.0399,0.565,0.6777,10,HuBERT,IEMOCAP
Layer 9,9,0.6778,0.678,0.6319,0.0289,0.6316,0.0459,0.5763,0.6895,10,HuBERT,IEMOCAP
Layer 10,10,0.6687,0.6685,0.6372,0.0275,0.6366,0.0315,0.58,0.6797,10,HuBERT,IEMOCAP
Layer 11,11,0.6709,0.6707,0.6368,0.032,0.6366,0.0341,0.5612,0.6855,10,HuBERT,IEMOCAP
Layer 12,12,0.6766,0.6768,0.6451,0.0332,0.6448,0.0315,0.5706,0.6934,10,HuBERT,IEMOCAP
Layer 13,13,0.6822,0.6821,0.656,0.0387,0.6561,0.0262,0.5932,0.7207,10,HuBERT,IEMOCAP
