Layer,Layer_Num,FiveFold_Accuracy,FiveFold_F1,LOSO_Accuracy,LOSO_Std,LOSO_F1,Accuracy_Drop,LOSO_Min_Speaker_Acc,LOSO_Max_Speaker_Acc,Num_Speakers,Model,Dataset
Layer 13,13,0.6101,0.6097,0.5973,0.0326,0.5964,0.0128,0.5461,0.6427,10,wav2vec2,IEMOCAP
Layer 14,14,0.6029,0.6028,0.5945,0.0218,0.5942,0.0084,0.5499,0.6292,10,wav2vec2,IEMOCAP
Layer 15,15,0.6132,0.6128,0.5993,0.0217,0.5986,0.0139,0.5664,0.6441,10,wav2vec2,IEMOCAP
Layer 16,16,0.6104,0.6102,0.5996,0.0279,0.5988,0.0108,0.5429,0.6441,10,wav2vec2,IEMOCAP
Layer 17,17,0.609,0.6088,0.5874,0.027,0.587,0.0216,0.5529,0.6367,10,wav2vec2,IEMOCAP
Layer 18,18,0.6126,0.6127,0.5958,0.0201,0.5954,0.0168,0.5593,0.6218,10,wav2vec2,IEMOCAP
Layer 19,19,0.6158,0.6156,0.5945,0.0211,0.5941,0.0213,0.5598,0.6347,10,wav2vec2,IEMOCAP
Layer 20,20,0.6007,0.6005,0.5973,0.0372,0.5967,0.0034,0.554,0.6531,10,wav2vec2,IEMOCAP
Layer 21,21,0.6004,0.5999,0.591,0.0277,0.5904,0.0094,0.5493,0.6273,10,wav2vec2,IEMOCAP
Layer 22,22,0.5799,0.5791,0.5722,0.0281,0.5718,0.0077,0.5311,0.6229,10,wav2vec2,IEMOCAP
Layer 23,23,0.5462,0.5456,0.539,0.0252,0.5387,0.0072,0.4917,0.572,10,wav2vec2,IEMOCAP
Layer 24,24,0.5004,0.4997,0.4872,0.0213,0.4866,0.0132,0.4491,0.5185,10,wav2vec2,IEMOCAP
CNN,0,0.6812,0.6761,0.4188,0.1201,0.4036,0.2624,0.275,0.5417,4,wav2vec2,SAVEE
Layer 1,1,0.7271,0.7256,0.4646,0.1524,0.4474,0.2625,0.3,0.6167,4,wav2vec2,SAVEE
Layer 2,2,0.7458,0.7419,0.5229,0.1618,0.5154,0.2229,0.3417,0.7333,4,wav2vec2,SAVEE
Layer 3,3,0.7583,0.7545,0.5583,0.168,0.5441,0.2,0.375,0.75,4,wav2vec2,SAVEE
Layer 4,4,0.7896,0.7845,0.5833,0.1419,0.5733,0.2063,0.4333,0.7333,4,wav2vec2,SAVEE
Layer 5,5,0.7917,0.7885,0.5687,0.113,0.5471,0.223,0.425,0.725,4,wav2vec2,SAVEE
Layer 6,6,0.8021,0.7998,0.6188,0.1106,0.605,0.1833,0.45,0.7333,4,wav2vec2,SAVEE
Layer 7,7,0.8188,0.8178,0.6479,0.1327,0.6303,0.1708,0.4333,0.7917,4,wav2vec2,SAVEE
Layer 8,8,0.8167,0.8153,0.6771,0.1229,0.6649,0.1396,0.4667,0.7667,4,wav2vec2,SAVEE
Layer 9,9,0.8375,0.8356,0.6625,0.1371,0.6601,0.175,0.4333,0.7833,4,wav2vec2,SAVEE
Layer 10,10,0.8375,0.8355,0.7333,0.1349,0.7312,0.1042,0.5,0.8167,4,wav2vec2,SAVEE
Layer 11,11,0.8292,0.8274,0.7583,0.1365,0.7599,0.0709,0.525,0.8583,4,wav2vec2,SAVEE
Layer 12,12,0.8542,0.8537,0.8042,0.0994,0.8061,0.05,0.6333,0.875,4,wav2vec2,SAVEE
Layer 13,13,0.8583,0.857,0.8271,0.0454,0.8277,0.0312,0.75,0.8667,4,wav2vec2,SAVEE
Layer 14,14,0.8583,0.8575,0.8458,0.0488,0.8448,0.0125,0.7667,0.9,4,wav2vec2,SAVEE
Layer 15,15,0.8354,0.8358,0.8521,0.0758,0.8501,-0.0167,0.725,0.925,4,wav2vec2,SAVEE
Layer 16,16,0.8417,0.8413,0.8104,0.0756,0.8086,0.0313,0.6833,0.875,4,wav2vec2,SAVEE
Layer 17,17,0.825,0.8258,0.7792,0.0683,0.7754,0.0458,0.6667,0.8417,4,wav2vec2,SAVEE
Layer 18,18,0.7917,0.7899,0.7104,0.1298,0.7048,0.0813,0.5,0.8333,4,wav2vec2,SAVEE
Layer 19,19,0.7938,0.7932,0.75,0.0738,0.7449,0.0437,0.6333,0.825,4,wav2vec2,SAVEE
Layer 20,20,0.7688,0.7661,0.7542,0.0958,0.7543,0.0146,0.6,0.8583,4,wav2vec2,SAVEE
Layer 21,21,0.7458,0.7443,0.7667,0.0993,0.7657,-0.0209,0.6,0.85,4,wav2vec2,SAVEE
Layer 22,22,0.7375,0.7322,0.7625,0.0783,0.7611,-0.025,0.6417,0.85,4,wav2vec2,SAVEE
Layer 23,23,0.6604,0.6568,0.6896,0.0832,0.6881,-0.0292,0.55,0.7667,4,wav2vec2,SAVEE
Layer 24,24,0.5292,0.5268,0.6042,0.0887,0.6014,-0.075,0.4583,0.6833,4,wav2vec2,SAVEE
CNN,0,0.7715,0.7709,0.5811,0.1554,0.5818,0.1904,0.2373,0.8333,15,wav2vec2,AESDD
Layer 1,1,0.8361,0.8359,0.702,0.1177,0.7047,0.1341,0.4915,0.8667,15,wav2vec2,AESDD
Layer 2,2,0.8477,0.847,0.7351,0.121,0.7354,0.1126,0.5085,1.0,15,wav2vec2,AESDD
Layer 3,3,0.8791,0.8798,0.755,0.1236,0.7545,0.1241,0.5085,1.0,15,wav2vec2,AESDD
Layer 4,4,0.899,0.8985,0.7815,0.13,0.7816,0.1175,0.5424,1.0,15,wav2vec2,AESDD
Layer 5,5,0.9255,0.9258,0.8212,0.109,0.8215,0.1043,0.6271,1.0,15,wav2vec2,AESDD
Layer 6,6,0.9305,0.9304,0.8063,0.0968,0.8061,0.1242,0.6102,1.0,15,wav2vec2,AESDD
Layer 7,7,0.9305,0.9301,0.803,0.089,0.8031,0.1275,0.6271,1.0,15,wav2vec2,AESDD
Layer 8,8,0.9156,0.9149,0.7781,0.1205,0.7781,0.1375,0.5932,1.0,15,wav2vec2,AESDD
Layer 9,9,0.9172,0.9172,0.7715,0.0992,0.771,0.1457,0.5763,1.0,15,wav2vec2,AESDD
Layer 10,10,0.9254,0.9253,0.75,0.1328,0.7484,0.1754,0.5185,1.0,15,wav2vec2,AESDD
Layer 11,11,0.8957,0.8954,0.6755,0.1251,0.6766,0.2202,0.4576,0.8333,15,wav2vec2,AESDD
Layer 12,12,0.8427,0.841,0.5778,0.1578,0.5802,0.2649,0.4,1.0,15,wav2vec2,AESDD
Layer 13,13,0.8394,0.8384,0.5116,0.1851,0.5159,0.3278,0.322,1.0,15,wav2vec2,AESDD
Layer 14,14,0.8178,0.8173,0.4934,0.1746,0.4966,0.3244,0.1667,0.8333,15,wav2vec2,AESDD
Layer 15,15,0.7715,0.7707,0.4669,0.1863,0.4723,0.3046,0.2034,1.0,15,wav2vec2,AESDD
Layer 16,16,0.7946,0.7931,0.4983,0.2036,0.5052,0.2963,0.2222,1.0,15,wav2vec2,AESDD
Layer 17,17,0.7715,0.7702,0.4901,0.1633,0.4965,0.2814,0.2373,0.8333,15,wav2vec2,AESDD
Layer 18,18,0.7831,0.7827,0.5083,0.1652,0.5151,0.2748,0.2203,0.8333,15,wav2vec2,AESDD
Layer 19,19,0.7384,0.7379,0.4603,0.1976,0.466,0.2781,0.2034,1.0,15,wav2vec2,AESDD
Layer 20,20,0.7333,0.7324,0.4123,0.23,0.4198,0.321,0.1525,1.0,15,wav2vec2,AESDD
Layer 21,21,0.6887,0.6896,0.3162,0.206,0.3244,0.3725,0.0508,0.8333,15,wav2vec2,AESDD
Layer 22,22,0.624,0.6253,0.2583,0.1782,0.2672,0.3657,0.0847,0.6667,15,wav2vec2,AESDD
Layer 23,23,0.4916,0.492,0.1954,0.2561,0.2011,0.2962,0.0339,1.0,15,wav2vec2,AESDD
Layer 24,24,0.3857,0.3807,0.144,0.2354,0.1456,0.2417,0.0,0.8333,15,wav2vec2,AESDD
CNN,0,0.7472,0.7464,0.0,0.0,0.0,0.7472,0.0,0.0,6,wav2vec2,MESD
Layer 1,1,0.7785,0.7778,0.0,0.0,0.0,0.7785,0.0,0.0,6,wav2vec2,MESD
Layer 2,2,0.8063,0.8055,0.0,0.0,0.0,0.8063,0.0,0.0,6,wav2vec2,MESD
Layer 3,3,0.819,0.817,0.0,0.0,0.0,0.819,0.0,0.0,6,wav2vec2,MESD
Layer 4,4,0.8469,0.8447,0.0,0.0,0.0,0.8469,0.0,0.0,6,wav2vec2,MESD
Layer 5,5,0.8608,0.8599,0.0,0.0,0.0,0.8608,0.0,0.0,6,wav2vec2,MESD
Layer 6,6,0.8423,0.8414,0.0,0.0,0.0,0.8423,0.0,0.0,6,wav2vec2,MESD
Layer 7,7,0.8596,0.8595,0.0,0.0,0.0,0.8596,0.0,0.0,6,wav2vec2,MESD
Layer 8,8,0.8306,0.829,0.0,0.0,0.0,0.8306,0.0,0.0,6,wav2vec2,MESD
Layer 9,9,0.7888,0.7874,0.0,0.0,0.0,0.7888,0.0,0.0,6,wav2vec2,MESD
Layer 10,10,0.7587,0.7585,0.0,0.0,0.0,0.7587,0.0,0.0,6,wav2vec2,MESD
Layer 11,11,0.7134,0.7125,0.0,0.0,0.0,0.7134,0.0,0.0,6,wav2vec2,MESD
Layer 12,12,0.6601,0.6581,0.0,0.0,0.0,0.6601,0.0,0.0,6,wav2vec2,MESD
Layer 13,13,0.6346,0.634,0.0,0.0,0.0,0.6346,0.0,0.0,6,wav2vec2,MESD
Layer 14,14,0.5974,0.597,0.0,0.0,0.0,0.5974,0.0,0.0,6,wav2vec2,MESD
Layer 15,15,0.5917,0.5913,0.0,0.0,0.0,0.5917,0.0,0.0,6,wav2vec2,MESD
Layer 16,16,0.594,0.5917,0.0,0.0,0.0,0.594,0.0,0.0,6,wav2vec2,MESD
Layer 17,17,0.5511,0.5507,0.0,0.0,0.0,0.5511,0.0,0.0,6,wav2vec2,MESD
Layer 18,18,0.537,0.5349,0.0,0.0,0.0,0.537,0.0,0.0,6,wav2vec2,MESD
Layer 19,19,0.5128,0.512,0.0,0.0,0.0,0.5128,0.0,0.0,6,wav2vec2,MESD
Layer 20,20,0.4698,0.4696,0.0,0.0,0.0,0.4698,0.0,0.0,6,wav2vec2,MESD
Layer 21,21,0.4153,0.416,0.0,0.0,0.0,0.4153,0.0,0.0,6,wav2vec2,MESD
Layer 22,22,0.3793,0.3773,0.0,0.0,0.0,0.3793,0.0,0.0,6,wav2vec2,MESD
Layer 23,23,0.3596,0.3602,0.0,0.0,0.0,0.3596,0.0,0.0,6,wav2vec2,MESD
Layer 24,24,0.3132,0.3106,0.0,0.0,0.0,0.3132,0.0,0.0,6,wav2vec2,MESD
CNN,0,0.8329,0.8326,0.4922,0.0935,0.4906,0.3407,0.3,0.7,24,Whisper,RAVDESS
Layer 1,1,0.8955,0.8957,0.5574,0.1052,0.5584,0.3381,0.3,0.7333,24,Whisper,RAVDESS
Layer 2,2,0.9236,0.9236,0.6066,0.1241,0.6069,0.317,0.35,0.7667,24,Whisper,RAVDESS
Layer 3,3,0.927,0.9271,0.6092,0.1346,0.612,0.3178,0.3333,0.8167,24,Whisper,RAVDESS
Layer 4,4,0.9452,0.9452,0.6481,0.1378,0.6515,0.2971,0.3833,0.85,24,Whisper,RAVDESS
Layer 5,5,0.9568,0.9567,0.6697,0.1471,0.672,0.2871,0.3167,0.9167,24,Whisper,RAVDESS
Layer 6,6,0.9637,0.9638,0.6887,0.1407,0.6917,0.275,0.35,0.9167,24,Whisper,RAVDESS
Layer 7,7,0.9629,0.9629,0.7025,0.138,0.7053,0.2604,0.35,0.9333,24,Whisper,RAVDESS
Layer 8,8,0.962,0.9621,0.7517,0.1355,0.754,0.2103,0.3167,0.9167,24,Whisper,RAVDESS
Layer 9,9,0.965,0.9652,0.7686,0.125,0.7702,0.1964,0.3833,0.9667,24,Whisper,RAVDESS
Layer 10,10,0.9706,0.9707,0.7776,0.1171,0.7791,0.193,0.5167,0.9833,24,Whisper,RAVDESS
Layer 11,11,0.9663,0.9664,0.8022,0.1151,0.8036,0.1641,0.5333,0.9792,24,Whisper,RAVDESS
Layer 12,12,0.9685,0.9686,0.785,0.114,0.787,0.1835,0.55,0.9479,24,Whisper,RAVDESS
Layer 13,13,0.9672,0.9672,0.7927,0.1111,0.7941,0.1745,0.5833,0.9333,24,Whisper,RAVDESS
Layer 14,14,0.9685,0.9685,0.7759,0.1145,0.7781,0.1926,0.55,0.9583,24,Whisper,RAVDESS
Layer 15,15,0.9646,0.9646,0.7768,0.1045,0.7784,0.1878,0.5667,0.9479,24,Whisper,RAVDESS
Layer 16,16,0.9685,0.9685,0.7712,0.1038,0.7728,0.1973,0.5833,0.9271,24,Whisper,RAVDESS
Layer 17,17,0.9728,0.9728,0.7746,0.1161,0.776,0.1982,0.5667,0.9167,24,Whisper,RAVDESS
Layer 18,18,0.975,0.975,0.769,0.1116,0.7695,0.206,0.5333,0.9333,24,Whisper,RAVDESS
Layer 19,19,0.9668,0.9668,0.7655,0.1124,0.7662,0.2013,0.5333,0.9375,24,Whisper,RAVDESS
Layer 20,20,0.968,0.9681,0.7781,0.1105,0.7787,0.1899,0.5333,0.9375,24,Whisper,RAVDESS
Layer 21,21,0.968,0.968,0.7556,0.1239,0.7555,0.2124,0.5167,0.9479,24,Whisper,RAVDESS
Layer 22,22,0.9668,0.9668,0.7707,0.1162,0.7717,0.1961,0.5167,0.95,24,Whisper,RAVDESS
Layer 23,23,0.9624,0.9624,0.7681,0.1174,0.7696,0.1943,0.4833,0.9375,24,Whisper,RAVDESS
Layer 24,24,0.9637,0.9638,0.7617,0.1149,0.7633,0.202,0.55,0.9583,24,Whisper,RAVDESS
CNN,0,0.886,0.8831,0.7477,0.0829,0.7441,0.1383,0.6047,0.8852,10,Whisper,EmoDB
Layer 1,1,0.8636,0.8616,0.7215,0.071,0.718,0.1421,0.6122,0.8551,10,Whisper,EmoDB
Layer 2,2,0.9065,0.9052,0.8299,0.0506,0.8257,0.0766,0.7442,0.8986,10,Whisper,EmoDB
Layer 3,3,0.9421,0.9415,0.8654,0.0544,0.8627,0.0767,0.7429,0.971,10,Whisper,EmoDB
Layer 4,4,0.9645,0.9644,0.9103,0.0388,0.9093,0.0542,0.8372,0.971,10,Whisper,EmoDB
Layer 5,5,0.9738,0.9736,0.9121,0.0414,0.9121,0.0617,0.8372,1.0,10,Whisper,EmoDB
Layer 6,6,0.972,0.9719,0.9178,0.0352,0.9175,0.0542,0.8684,0.9855,10,Whisper,EmoDB
Layer 7,7,0.9757,0.9755,0.9327,0.0352,0.9325,0.043,0.8837,0.9855,10,Whisper,EmoDB
Layer 8,8,0.9701,0.9702,0.9234,0.0428,0.9233,0.0467,0.8158,0.9855,10,Whisper,EmoDB
Layer 9,9,0.9813,0.9814,0.9383,0.0384,0.9381,0.043,0.8421,0.9718,10,Whisper,EmoDB
Layer 10,10,0.9794,0.9795,0.9495,0.0436,0.9493,0.0299,0.8421,1.0,10,Whisper,EmoDB
Layer 11,11,0.9813,0.9811,0.9607,0.0455,0.9608,0.0206,0.8421,1.0,10,Whisper,EmoDB
Layer 12,12,0.9832,0.9831,0.9551,0.0514,0.9554,0.0281,0.8421,1.0,10,Whisper,EmoDB
Layer 13,13,0.985,0.985,0.957,0.047,0.9571,0.028,0.8421,1.0,10,Whisper,EmoDB
Layer 14,14,0.9794,0.9793,0.9589,0.0231,0.9587,0.0205,0.9211,1.0,10,Whisper,EmoDB
Layer 15,15,0.9869,0.9869,0.9589,0.0292,0.9588,0.028,0.9138,1.0,10,Whisper,EmoDB
Layer 16,16,0.9813,0.9811,0.9551,0.0328,0.9549,0.0262,0.8947,1.0,10,Whisper,EmoDB
Layer 17,17,0.9794,0.9793,0.9607,0.033,0.9603,0.0187,0.8947,1.0,10,Whisper,EmoDB
Layer 18,18,0.9832,0.9829,0.9589,0.0331,0.9586,0.0243,0.8947,1.0,10,Whisper,EmoDB
Layer 19,19,0.972,0.9718,0.9514,0.0293,0.9508,0.0206,0.8947,1.0,10,Whisper,EmoDB
Layer 20,20,0.9813,0.9813,0.9533,0.0291,0.9526,0.028,0.918,1.0,10,Whisper,EmoDB
Layer 21,21,0.9757,0.9758,0.9458,0.0328,0.9448,0.0299,0.8947,1.0,10,Whisper,EmoDB
Layer 22,22,0.9645,0.9642,0.9383,0.0381,0.9378,0.0262,0.8684,1.0,10,Whisper,EmoDB
Layer 23,23,0.9682,0.9679,0.9346,0.0443,0.9338,0.0336,0.8421,1.0,10,Whisper,EmoDB
Layer 24,24,0.9607,0.9605,0.9308,0.0409,0.9301,0.0299,0.8684,1.0,10,Whisper,EmoDB
CNN,0,0.665,0.6644,0.5998,0.0303,0.5993,0.0652,0.5598,0.6738,10,Whisper,IEMOCAP
Layer 1,1,0.6786,0.6782,0.6134,0.0216,0.6132,0.0652,0.5615,0.6484,10,Whisper,IEMOCAP
Layer 2,2,0.6692,0.6691,0.6132,0.0357,0.6127,0.056,0.5548,0.6738,10,Whisper,IEMOCAP
Layer 3,3,0.6685,0.6683,0.6238,0.0281,0.6232,0.0447,0.5864,0.6875,10,Whisper,IEMOCAP
Layer 4,4,0.6747,0.6747,0.6346,0.0351,0.634,0.0401,0.5975,0.7168,10,Whisper,IEMOCAP
Layer 5,5,0.6844,0.6842,0.6396,0.0371,0.6392,0.0448,0.5687,0.7129,10,Whisper,IEMOCAP
Layer 6,6,0.6828,0.6827,0.6416,0.0253,0.6412,0.0412,0.597,0.6836,10,Whisper,IEMOCAP
Layer 7,7,0.6826,0.6824,0.6491,0.0301,0.6486,0.0335,0.5895,0.6934,10,Whisper,IEMOCAP
Layer 8,8,0.6872,0.6871,0.6485,0.0262,0.6483,0.0387,0.5951,0.6771,10,Whisper,IEMOCAP
Layer 9,9,0.6875,0.6875,0.6584,0.0246,0.6578,0.0291,0.5951,0.6855,10,Whisper,IEMOCAP
Layer 10,10,0.6905,0.6905,0.6639,0.0282,0.6632,0.0266,0.6045,0.7122,10,Whisper,IEMOCAP
Layer 11,11,0.6927,0.6925,0.6681,0.0303,0.6677,0.0246,0.6267,0.7122,10,Whisper,IEMOCAP
Layer 12,12,0.6914,0.6917,0.6694,0.0307,0.6691,0.022,0.6234,0.7152,10,Whisper,IEMOCAP
Layer 13,13,0.6914,0.6912,0.657,0.0213,0.6563,0.0344,0.6064,0.6836,10,Whisper,IEMOCAP
Layer 14,14,0.6925,0.6924,0.6703,0.0251,0.6697,0.0222,0.6328,0.7105,10,Whisper,IEMOCAP
Layer 15,15,0.6885,0.6885,0.657,0.0234,0.6562,0.0315,0.6158,0.698,10,Whisper,IEMOCAP
Layer 16,16,0.6905,0.6901,0.6592,0.0243,0.6586,0.0313,0.6267,0.6964,10,Whisper,IEMOCAP
Layer 17,17,0.6943,0.6943,0.6689,0.0287,0.6681,0.0254,0.6121,0.7051,10,Whisper,IEMOCAP
Layer 18,18,0.6907,0.6905,0.6619,0.0209,0.6612,0.0288,0.6158,0.6882,10,Whisper,IEMOCAP
Layer 19,19,0.6934,0.6934,0.6593,0.0242,0.6588,0.0341,0.627,0.7042,10,Whisper,IEMOCAP
Layer 20,20,0.7007,0.7005,0.6586,0.027,0.6582,0.0421,0.6102,0.698,10,Whisper,IEMOCAP
Layer 21,21,0.6978,0.6978,0.6597,0.0275,0.6596,0.0381,0.6102,0.7042,10,Whisper,IEMOCAP
Layer 22,22,0.6941,0.6941,0.6599,0.0325,0.6597,0.0342,0.6045,0.7105,10,Whisper,IEMOCAP
Layer 23,23,0.6985,0.6985,0.67,0.0285,0.6697,0.0285,0.6121,0.7214,10,Whisper,IEMOCAP
Layer 24,24,0.6962,0.6963,0.6707,0.0297,0.6702,0.0255,0.6248,0.7261,10,Whisper,IEMOCAP
CNN,0,0.7771,0.7761,0.4208,0.1302,0.3987,0.3563,0.275,0.5667,4,Whisper,SAVEE
Layer 1,1,0.7,0.6972,0.4,0.1555,0.3704,0.3,0.2417,0.5833,4,Whisper,SAVEE
Layer 2,2,0.7708,0.7696,0.4396,0.1694,0.4081,0.3312,0.2583,0.625,4,Whisper,SAVEE
Layer 3,3,0.8146,0.8125,0.4708,0.182,0.4466,0.3438,0.25,0.6667,4,Whisper,SAVEE
Layer 4,4,0.8479,0.8452,0.5083,0.1975,0.4868,0.3396,0.25,0.7083,4,Whisper,SAVEE
Layer 5,5,0.8583,0.8574,0.5667,0.1923,0.554,0.2916,0.2833,0.7917,4,Whisper,SAVEE
Layer 6,6,0.875,0.8743,0.5667,0.2254,0.5509,0.3083,0.2583,0.825,4,Whisper,SAVEE
Layer 7,7,0.8917,0.8908,0.5708,0.2133,0.5562,0.3209,0.2667,0.7833,4,Whisper,SAVEE
Layer 8,8,0.8833,0.8829,0.6062,0.2251,0.5917,0.2771,0.2667,0.8583,4,Whisper,SAVEE
Layer 9,9,0.8979,0.897,0.6354,0.2347,0.6209,0.2625,0.25,0.8583,4,Whisper,SAVEE
Layer 10,10,0.8771,0.876,0.6375,0.2232,0.6246,0.2396,0.2667,0.8167,4,Whisper,SAVEE
Layer 11,11,0.8562,0.8533,0.6583,0.2199,0.6492,0.1979,0.3083,0.85,4,Whisper,SAVEE
Layer 12,12,0.8396,0.8374,0.6312,0.1977,0.6228,0.2084,0.325,0.8583,4,Whisper,SAVEE
Layer 13,13,0.8188,0.8171,0.6,0.1928,0.587,0.2188,0.2917,0.8,4,Whisper,SAVEE
Layer 14,14,0.8292,0.8273,0.6062,0.1809,0.5912,0.223,0.3083,0.7833,4,Whisper,SAVEE
Layer 15,15,0.8229,0.821,0.6125,0.1837,0.6008,0.2104,0.3167,0.8083,4,Whisper,SAVEE
Layer 16,16,0.8479,0.8467,0.65,0.1842,0.6386,0.1979,0.3417,0.8167,4,Whisper,SAVEE
Layer 17,17,0.8375,0.8371,0.6625,0.1657,0.6539,0.175,0.3917,0.8167,4,Whisper,SAVEE
Layer 18,18,0.8458,0.8454,0.6729,0.176,0.664,0.1729,0.3917,0.8667,4,Whisper,SAVEE
Layer 19,19,0.8458,0.8454,0.6479,0.1804,0.6349,0.1979,0.3583,0.8417,4,Whisper,SAVEE
Layer 20,20,0.85,0.8501,0.6625,0.1729,0.6504,0.1875,0.3833,0.85,4,Whisper,SAVEE
Layer 21,21,0.8708,0.8702,0.6792,0.1742,0.6691,0.1916,0.3917,0.85,4,Whisper,SAVEE
Layer 22,22,0.8729,0.8726,0.6937,0.1748,0.684,0.1792,0.4,0.8583,4,Whisper,SAVEE
Layer 23,23,0.8438,0.8434,0.7083,0.1393,0.7022,0.1354,0.4833,0.8583,4,Whisper,SAVEE
Layer 24,24,0.8458,0.8462,0.7479,0.1087,0.7438,0.0979,0.5667,0.85,4,Whisper,SAVEE
CNN,0,0.8079,0.8074,0.6109,0.1885,0.6112,0.197,0.3729,1.0,15,Whisper,AESDD
Layer 1,1,0.798,0.7974,0.6159,0.1653,0.6194,0.1821,0.339,1.0,15,Whisper,AESDD
Layer 2,2,0.8295,0.8287,0.644,0.1658,0.646,0.1855,0.339,1.0,15,Whisper,AESDD
Layer 3,3,0.8642,0.8636,0.6871,0.1545,0.688,0.1771,0.322,1.0,15,Whisper,AESDD
Layer 4,4,0.8974,0.8964,0.7285,0.1391,0.7298,0.1689,0.3898,1.0,15,Whisper,AESDD
Layer 5,5,0.9189,0.9184,0.7864,0.121,0.7855,0.1325,0.5424,1.0,15,Whisper,AESDD
Layer 6,6,0.9239,0.9233,0.8278,0.1013,0.8268,0.0961,0.5763,1.0,15,Whisper,AESDD
Layer 7,7,0.9421,0.9416,0.8079,0.1277,0.8065,0.1342,0.5085,1.0,15,Whisper,AESDD
Layer 8,8,0.9255,0.9244,0.793,0.1054,0.7911,0.1325,0.5254,1.0,15,Whisper,AESDD
Layer 9,9,0.9421,0.9415,0.8262,0.1016,0.825,0.1159,0.661,1.0,15,Whisper,AESDD
Layer 10,10,0.9586,0.9583,0.8278,0.085,0.8281,0.1308,0.7119,1.0,15,Whisper,AESDD
Layer 11,11,0.9337,0.9332,0.7964,0.1209,0.7957,0.1373,0.5932,1.0,15,Whisper,AESDD
Layer 12,12,0.9338,0.9333,0.798,0.1052,0.7981,0.1358,0.661,1.0,15,Whisper,AESDD
Layer 13,13,0.9387,0.9384,0.7815,0.1119,0.7814,0.1572,0.5593,1.0,15,Whisper,AESDD
Layer 14,14,0.9338,0.9333,0.7765,0.0937,0.7759,0.1573,0.5763,1.0,15,Whisper,AESDD
Layer 15,15,0.9437,0.9436,0.7715,0.103,0.7697,0.1722,0.5932,1.0,15,Whisper,AESDD
Layer 16,16,0.9304,0.93,0.7748,0.1189,0.7721,0.1556,0.4746,1.0,15,Whisper,AESDD
Layer 17,17,0.9288,0.9282,0.7798,0.1223,0.7777,0.149,0.4746,1.0,15,Whisper,AESDD
Layer 18,18,0.9371,0.9366,0.7699,0.1204,0.7674,0.1672,0.4915,1.0,15,Whisper,AESDD
Layer 19,19,0.9304,0.9301,0.7599,0.1248,0.7588,0.1705,0.5085,1.0,15,Whisper,AESDD
Layer 20,20,0.9239,0.9235,0.7467,0.1289,0.7449,0.1772,0.4915,1.0,15,Whisper,AESDD
Layer 21,21,0.9255,0.9253,0.7301,0.1396,0.7285,0.1954,0.5085,1.0,15,Whisper,AESDD
Layer 22,22,0.9189,0.9184,0.7053,0.1552,0.701,0.2136,0.4237,1.0,15,Whisper,AESDD
Layer 23,23,0.904,0.9039,0.6623,0.1977,0.6591,0.2417,0.3333,1.0,15,Whisper,AESDD
Layer 24,24,0.9106,0.9105,0.6904,0.183,0.6872,0.2202,0.4561,1.0,15,Whisper,AESDD
CNN,0,0.79,0.79,0.0,0.0,0.0,0.79,0.0,0.0,6,Whisper,MESD
Layer 1,1,0.7344,0.7325,0.0,0.0,0.0,0.7344,0.0,0.0,6,Whisper,MESD
Layer 2,2,0.8016,0.8019,0.0,0.0,0.0,0.8016,0.0,0.0,6,Whisper,MESD
Layer 3,3,0.8295,0.8298,0.0,0.0,0.0,0.8295,0.0,0.0,6,Whisper,MESD
Layer 4,4,0.8539,0.8543,0.0,0.0,0.0,0.8539,0.0,0.0,6,Whisper,MESD
Layer 5,5,0.8713,0.871,0.0,0.0,0.0,0.8713,0.0,0.0,6,Whisper,MESD
Layer 6,6,0.8863,0.8861,0.0,0.0,0.0,0.8863,0.0,0.0,6,Whisper,MESD
Layer 7,7,0.8887,0.8881,0.0,0.0,0.0,0.8887,0.0,0.0,6,Whisper,MESD
Layer 8,8,0.8736,0.8738,0.0,0.0,0.0,0.8736,0.0,0.0,6,Whisper,MESD
Layer 9,9,0.8979,0.8977,0.0,0.0,0.0,0.8979,0.0,0.0,6,Whisper,MESD
Layer 10,10,0.8887,0.8888,0.0,0.0,0.0,0.8887,0.0,0.0,6,Whisper,MESD
Layer 11,11,0.8817,0.8815,0.0,0.0,0.0,0.8817,0.0,0.0,6,Whisper,MESD
Layer 12,12,0.8677,0.8674,0.0,0.0,0.0,0.8677,0.0,0.0,6,Whisper,MESD
Layer 13,13,0.8492,0.8487,0.0,0.0,0.0,0.8492,0.0,0.0,6,Whisper,MESD
Layer 14,14,0.8237,0.8222,0.0,0.0,0.0,0.8237,0.0,0.0,6,Whisper,MESD
Layer 15,15,0.8132,0.8128,0.0,0.0,0.0,0.8132,0.0,0.0,6,Whisper,MESD
Layer 16,16,0.8167,0.8161,0.0,0.0,0.0,0.8167,0.0,0.0,6,Whisper,MESD
Layer 17,17,0.819,0.8196,0.0,0.0,0.0,0.819,0.0,0.0,6,Whisper,MESD
Layer 18,18,0.8295,0.83,0.0,0.0,0.0,0.8295,0.0,0.0,6,Whisper,MESD
Layer 19,19,0.8423,0.8429,0.0,0.0,0.0,0.8423,0.0,0.0,6,Whisper,MESD
Layer 20,20,0.8423,0.8426,0.0,0.0,0.0,0.8423,0.0,0.0,6,Whisper,MESD
