k,val_emo_acc_mean,target_acc_all,target_acc_all_std,proxy_acc_all,proxy_acc_all_std,text_bias_all,n_all,target_acc_explicit,target_acc_explicit_std,proxy_acc_explicit,proxy_acc_explicit_std,text_bias_explicit,n_explicit,target_acc_implicit,target_acc_implicit_std,proxy_acc_implicit,proxy_acc_implicit_std,text_bias_implicit,n_implicit,model,layer,cca_corr_topk_mean
0,0.9500192604006162,0.5482769726247987,0.028174446125546888,0.3096618357487923,0.0384851669763993,-0.23861513687600638,936,0.5239197530864197,0.044852751942387706,0.3325617283950617,0.029634049953196778,-0.191358024691358,351,0.6697530864197532,0.028118622157852765,0.15740740740740738,0.028118622157852775,-0.5123456790123457,351,Whisper,24,
1,0.9500192604006162,0.5482769726247987,0.028174446125546888,0.3096618357487923,0.0384851669763993,-0.23861513687600638,936,0.5239197530864197,0.044852751942387706,0.3325617283950617,0.029634049953196778,-0.191358024691358,351,0.6697530864197532,0.028118622157852765,0.15740740740740738,0.028118622157852775,-0.5123456790123457,351,Whisper,24,0.8378517549412433
2,0.9507960965588085,0.5482769726247987,0.028174446125546888,0.31159420289855067,0.040309660443344865,-0.23668276972624802,936,0.5239197530864197,0.044852751942387706,0.33564814814814814,0.03487620179009111,-0.18827160493827155,351,0.6666666666666667,0.023096650535641628,0.16358024691358025,0.02204144576710756,-0.5030864197530864,351,Whisper,24,0.9125031052908312
5,0.9507960965588085,0.5529468599033815,0.022065399177968695,0.30789049919484696,0.0351976195615182,-0.2450563607085346,936,0.5239197530864197,0.044852751942387706,0.33564814814814814,0.03487620179009111,-0.18827160493827155,351,0.6705246913580247,0.02631387793978382,0.16280864197530864,0.028570229292551885,-0.5077160493827161,351,Whisper,24,0.928318690816007
10,0.9507960965588085,0.5511755233494364,0.02701062528517501,0.3069887278582931,0.040183842165637904,-0.2441867954911433,936,0.5270061728395061,0.04394085192871558,0.33024691358024694,0.03192617417527346,-0.1967592592592592,351,0.6674382716049383,0.020975736449179296,0.16280864197530864,0.02261473902739637,-0.5046296296296297,351,Whisper,24,0.9215775790625418
16,0.9507960965588085,0.5580676328502415,0.023906747817139952,0.3018035426731079,0.036597036325028705,-0.25626409017713364,936,0.5239197530864197,0.04813108078318115,0.33333333333333326,0.031475429096251756,-0.19058641975308643,351,0.6782407407407407,0.015179255843291689,0.15740740740740738,0.02204144576710756,-0.5208333333333333,351,Whisper,24,0.9087128032064625
