Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1,Model,SNR,Exp_ID,Setup
Layer 8,8,0.5759,0.0129,0.5732,HuBERT,10,7,4-Class (A/H/N/S)
Layer 9,9,0.574,0.0038,0.5724,HuBERT,10,7,4-Class (A/H/N/S)
Layer 10,10,0.5774,0.0041,0.5756,HuBERT,10,7,4-Class (A/H/N/S)
Layer 11,11,0.5797,0.0075,0.5792,HuBERT,10,7,4-Class (A/H/N/S)
Layer 12,12,0.5851,0.004,0.5834,HuBERT,10,7,4-Class (A/H/N/S)
Layer 13,13,0.588,0.0084,0.5871,HuBERT,10,7,4-Class (A/H/N/S)
Layer 14,14,0.5837,0.0071,0.5831,HuBERT,10,7,4-Class (A/H/N/S)
Layer 15,15,0.5845,0.0125,0.5842,HuBERT,10,7,4-Class (A/H/N/S)
Layer 16,16,0.5892,0.0052,0.5889,HuBERT,10,7,4-Class (A/H/N/S)
Layer 17,17,0.5909,0.0087,0.5919,HuBERT,10,7,4-Class (A/H/N/S)
Layer 18,18,0.5909,0.0096,0.5929,HuBERT,10,7,4-Class (A/H/N/S)
Layer 19,19,0.5937,0.0094,0.5956,HuBERT,10,7,4-Class (A/H/N/S)
Layer 20,20,0.5899,0.0131,0.5919,HuBERT,10,7,4-Class (A/H/N/S)
Layer 21,21,0.5963,0.0072,0.5967,HuBERT,10,7,4-Class (A/H/N/S)
Layer 22,22,0.5928,0.0099,0.5926,HuBERT,10,7,4-Class (A/H/N/S)
Layer 23,23,0.5881,0.0115,0.5865,HuBERT,10,7,4-Class (A/H/N/S)
Layer 24,24,0.5877,0.0093,0.585,HuBERT,10,7,4-Class (A/H/N/S)
CNN,0,0.5944,0.0019,0.5696,HuBERT,20,7,4-Class (A/H/N/S)
Layer 1,1,0.5903,0.0081,0.5779,HuBERT,20,7,4-Class (A/H/N/S)
Layer 2,2,0.5788,0.0105,0.5728,HuBERT,20,7,4-Class (A/H/N/S)
Layer 3,3,0.5865,0.0078,0.5828,HuBERT,20,7,4-Class (A/H/N/S)
Layer 4,4,0.5852,0.0085,0.5829,HuBERT,20,7,4-Class (A/H/N/S)
Layer 5,5,0.5834,0.0108,0.582,HuBERT,20,7,4-Class (A/H/N/S)
Layer 6,6,0.5857,0.0063,0.5842,HuBERT,20,7,4-Class (A/H/N/S)
Layer 7,7,0.5876,0.0104,0.5858,HuBERT,20,7,4-Class (A/H/N/S)
Layer 8,8,0.5801,0.0093,0.579,HuBERT,20,7,4-Class (A/H/N/S)
Layer 9,9,0.5825,0.0087,0.5811,HuBERT,20,7,4-Class (A/H/N/S)
Layer 10,10,0.586,0.0096,0.5833,HuBERT,20,7,4-Class (A/H/N/S)
Layer 11,11,0.5875,0.0072,0.5865,HuBERT,20,7,4-Class (A/H/N/S)
Layer 12,12,0.5907,0.0032,0.59,HuBERT,20,7,4-Class (A/H/N/S)
Layer 13,13,0.5929,0.0075,0.5918,HuBERT,20,7,4-Class (A/H/N/S)
Layer 14,14,0.595,0.0077,0.5937,HuBERT,20,7,4-Class (A/H/N/S)
Layer 15,15,0.59,0.01,0.5898,HuBERT,20,7,4-Class (A/H/N/S)
Layer 16,16,0.5945,0.004,0.5951,HuBERT,20,7,4-Class (A/H/N/S)
Layer 17,17,0.6022,0.0116,0.6032,HuBERT,20,7,4-Class (A/H/N/S)
Layer 18,18,0.5982,0.0024,0.6,HuBERT,20,7,4-Class (A/H/N/S)
Layer 19,19,0.6,0.0106,0.6016,HuBERT,20,7,4-Class (A/H/N/S)
Layer 20,20,0.6072,0.0191,0.6082,HuBERT,20,7,4-Class (A/H/N/S)
Layer 21,21,0.6084,0.0073,0.6094,HuBERT,20,7,4-Class (A/H/N/S)
Layer 22,22,0.6046,0.0071,0.6037,HuBERT,20,7,4-Class (A/H/N/S)
Layer 23,23,0.5988,0.008,0.5969,HuBERT,20,7,4-Class (A/H/N/S)
Layer 24,24,0.5986,0.0096,0.5966,HuBERT,20,7,4-Class (A/H/N/S)
CNN,0,0.5731,0.0051,0.5437,HuBERT,5,7,4-Class (A/H/N/S)
Layer 1,1,0.5633,0.0086,0.5487,HuBERT,5,7,4-Class (A/H/N/S)
Layer 2,2,0.5603,0.0067,0.5532,HuBERT,5,7,4-Class (A/H/N/S)
Layer 3,3,0.5642,0.0062,0.5587,HuBERT,5,7,4-Class (A/H/N/S)
Layer 4,4,0.5587,0.0056,0.5548,HuBERT,5,7,4-Class (A/H/N/S)
Layer 5,5,0.568,0.0032,0.5646,HuBERT,5,7,4-Class (A/H/N/S)
Layer 6,6,0.5651,0.0099,0.5619,HuBERT,5,7,4-Class (A/H/N/S)
Layer 7,7,0.5708,0.0091,0.5672,HuBERT,5,7,4-Class (A/H/N/S)
Layer 8,8,0.5664,0.0112,0.5647,HuBERT,5,7,4-Class (A/H/N/S)
Layer 9,9,0.5714,0.0036,0.5689,HuBERT,5,7,4-Class (A/H/N/S)
Layer 10,10,0.572,0.0071,0.57,HuBERT,5,7,4-Class (A/H/N/S)
Layer 11,11,0.5691,0.0089,0.5679,HuBERT,5,7,4-Class (A/H/N/S)
Layer 12,12,0.5746,0.0057,0.5735,HuBERT,5,7,4-Class (A/H/N/S)
Layer 13,13,0.5812,0.0047,0.5792,HuBERT,5,7,4-Class (A/H/N/S)
Layer 14,14,0.5808,0.0062,0.5784,HuBERT,5,7,4-Class (A/H/N/S)
Layer 15,15,0.5796,0.0138,0.5788,HuBERT,5,7,4-Class (A/H/N/S)
Layer 16,16,0.5869,0.0074,0.5857,HuBERT,5,7,4-Class (A/H/N/S)
Layer 17,17,0.5808,0.0082,0.5814,HuBERT,5,7,4-Class (A/H/N/S)
Layer 18,18,0.5826,0.0055,0.5832,HuBERT,5,7,4-Class (A/H/N/S)
Layer 19,19,0.5857,0.0103,0.5868,HuBERT,5,7,4-Class (A/H/N/S)
Layer 20,20,0.5804,0.0136,0.5806,HuBERT,5,7,4-Class (A/H/N/S)
Layer 21,21,0.5824,0.0071,0.583,HuBERT,5,7,4-Class (A/H/N/S)
Layer 22,22,0.5795,0.0079,0.5783,HuBERT,5,7,4-Class (A/H/N/S)
Layer 23,23,0.5774,0.0127,0.5758,HuBERT,5,7,4-Class (A/H/N/S)
Layer 24,24,0.5724,0.0066,0.5706,HuBERT,5,7,4-Class (A/H/N/S)
CNN,0,0.6008,0.0022,0.578,MERT,clean,7,4-Class (A/H/N/S)
Layer 1,1,0.5995,0.0068,0.5862,MERT,clean,7,4-Class (A/H/N/S)
Layer 2,2,0.5902,0.0027,0.5808,MERT,clean,7,4-Class (A/H/N/S)
Layer 3,3,0.5897,0.0086,0.582,MERT,clean,7,4-Class (A/H/N/S)
Layer 4,4,0.5889,0.0075,0.5833,MERT,clean,7,4-Class (A/H/N/S)
Layer 5,5,0.595,0.0074,0.5908,MERT,clean,7,4-Class (A/H/N/S)
Layer 6,6,0.5936,0.005,0.5902,MERT,clean,7,4-Class (A/H/N/S)
Layer 7,7,0.5888,0.006,0.5851,MERT,clean,7,4-Class (A/H/N/S)
Layer 8,8,0.5947,0.0107,0.5914,MERT,clean,7,4-Class (A/H/N/S)
Layer 9,9,0.5899,0.0081,0.5862,MERT,clean,7,4-Class (A/H/N/S)
Layer 10,10,0.59,0.0068,0.5867,MERT,clean,7,4-Class (A/H/N/S)
Layer 11,11,0.5867,0.0121,0.5834,MERT,clean,7,4-Class (A/H/N/S)
Layer 12,12,0.5846,0.0055,0.5813,MERT,clean,7,4-Class (A/H/N/S)
Layer 13,13,0.5855,0.0046,0.5817,MERT,clean,7,4-Class (A/H/N/S)
Layer 14,14,0.5818,0.0056,0.5777,MERT,clean,7,4-Class (A/H/N/S)
Layer 15,15,0.5839,0.0054,0.5804,MERT,clean,7,4-Class (A/H/N/S)
Layer 16,16,0.5814,0.0056,0.5776,MERT,clean,7,4-Class (A/H/N/S)
Layer 17,17,0.5802,0.0052,0.5766,MERT,clean,7,4-Class (A/H/N/S)
Layer 18,18,0.5775,0.0067,0.5739,MERT,clean,7,4-Class (A/H/N/S)
Layer 19,19,0.5724,0.0073,0.5693,MERT,clean,7,4-Class (A/H/N/S)
Layer 20,20,0.5762,0.008,0.5728,MERT,clean,7,4-Class (A/H/N/S)
Layer 21,21,0.575,0.0042,0.5714,MERT,clean,7,4-Class (A/H/N/S)
Layer 22,22,0.5813,0.0068,0.5778,MERT,clean,7,4-Class (A/H/N/S)
Layer 23,23,0.5806,0.007,0.5762,MERT,clean,7,4-Class (A/H/N/S)
