Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1,Model,SNR,Exp_ID,Setup
Layer 24,24,0.5728,0.0064,0.5695,WavLM,0,7,4-Class (A/H/N/S)
CNN,0,0.5903,0.0036,0.5618,WavLM,10,7,4-Class (A/H/N/S)
Layer 1,1,0.5785,0.0087,0.5661,WavLM,10,7,4-Class (A/H/N/S)
Layer 2,2,0.5753,0.0062,0.5686,WavLM,10,7,4-Class (A/H/N/S)
Layer 3,3,0.5753,0.0035,0.5719,WavLM,10,7,4-Class (A/H/N/S)
Layer 4,4,0.5695,0.0075,0.5659,WavLM,10,7,4-Class (A/H/N/S)
Layer 5,5,0.5701,0.009,0.5682,WavLM,10,7,4-Class (A/H/N/S)
Layer 6,6,0.5781,0.0044,0.5757,WavLM,10,7,4-Class (A/H/N/S)
Layer 7,7,0.5782,0.0058,0.5749,WavLM,10,7,4-Class (A/H/N/S)
Layer 8,8,0.583,0.0053,0.5809,WavLM,10,7,4-Class (A/H/N/S)
Layer 9,9,0.577,0.0083,0.5752,WavLM,10,7,4-Class (A/H/N/S)
Layer 10,10,0.583,0.0088,0.5811,WavLM,10,7,4-Class (A/H/N/S)
Layer 11,11,0.5833,0.0071,0.5811,WavLM,10,7,4-Class (A/H/N/S)
Layer 12,12,0.5895,0.0055,0.5876,WavLM,10,7,4-Class (A/H/N/S)
Layer 13,13,0.5886,0.0088,0.5872,WavLM,10,7,4-Class (A/H/N/S)
Layer 14,14,0.5845,0.0095,0.5839,WavLM,10,7,4-Class (A/H/N/S)
Layer 15,15,0.5884,0.0057,0.588,WavLM,10,7,4-Class (A/H/N/S)
Layer 16,16,0.5944,0.0058,0.5943,WavLM,10,7,4-Class (A/H/N/S)
Layer 17,17,0.6002,0.0035,0.5999,WavLM,10,7,4-Class (A/H/N/S)
Layer 18,18,0.6008,0.0033,0.6009,WavLM,10,7,4-Class (A/H/N/S)
Layer 19,19,0.6021,0.0116,0.6033,WavLM,10,7,4-Class (A/H/N/S)
Layer 20,20,0.5988,0.0106,0.6008,WavLM,10,7,4-Class (A/H/N/S)
Layer 21,21,0.6005,0.0091,0.6001,WavLM,10,7,4-Class (A/H/N/S)
Layer 22,22,0.6079,0.0088,0.6054,WavLM,10,7,4-Class (A/H/N/S)
Layer 23,23,0.5974,0.0037,0.5962,WavLM,10,7,4-Class (A/H/N/S)
Layer 24,24,0.5941,0.0073,0.5916,WavLM,10,7,4-Class (A/H/N/S)
CNN,0,0.6001,0.0024,0.574,WavLM,20,7,4-Class (A/H/N/S)
Layer 1,1,0.5937,0.0055,0.5843,WavLM,20,7,4-Class (A/H/N/S)
Layer 2,2,0.586,0.0078,0.5806,WavLM,20,7,4-Class (A/H/N/S)
Layer 3,3,0.5815,0.0034,0.5777,WavLM,20,7,4-Class (A/H/N/S)
Layer 4,4,0.5761,0.0058,0.573,WavLM,20,7,4-Class (A/H/N/S)
Layer 5,5,0.584,0.0078,0.5817,WavLM,20,7,4-Class (A/H/N/S)
Layer 6,6,0.5838,0.0079,0.5821,WavLM,20,7,4-Class (A/H/N/S)
Layer 7,7,0.587,0.0172,0.5855,WavLM,20,7,4-Class (A/H/N/S)
Layer 8,8,0.5909,0.0105,0.59,WavLM,20,7,4-Class (A/H/N/S)
Layer 9,9,0.5867,0.0074,0.5867,WavLM,20,7,4-Class (A/H/N/S)
Layer 10,10,0.5889,0.0055,0.5881,WavLM,20,7,4-Class (A/H/N/S)
Layer 11,11,0.5922,0.007,0.5911,WavLM,20,7,4-Class (A/H/N/S)
Layer 12,12,0.6022,0.0075,0.5996,WavLM,20,7,4-Class (A/H/N/S)
Layer 13,13,0.5977,0.0078,0.5962,WavLM,20,7,4-Class (A/H/N/S)
Layer 14,14,0.6008,0.0157,0.6007,WavLM,20,7,4-Class (A/H/N/S)
Layer 15,15,0.6051,0.0097,0.6049,WavLM,20,7,4-Class (A/H/N/S)
Layer 16,16,0.6064,0.0072,0.6072,WavLM,20,7,4-Class (A/H/N/S)
Layer 17,17,0.6109,0.0081,0.6116,WavLM,20,7,4-Class (A/H/N/S)
Layer 18,18,0.6154,0.0072,0.6153,WavLM,20,7,4-Class (A/H/N/S)
Layer 19,19,0.613,0.0128,0.6139,WavLM,20,7,4-Class (A/H/N/S)
Layer 20,20,0.6125,0.0069,0.6134,WavLM,20,7,4-Class (A/H/N/S)
Layer 21,21,0.6161,0.0092,0.6169,WavLM,20,7,4-Class (A/H/N/S)
Layer 22,22,0.6177,0.0077,0.616,WavLM,20,7,4-Class (A/H/N/S)
Layer 23,23,0.6052,0.0034,0.6047,WavLM,20,7,4-Class (A/H/N/S)
Layer 24,24,0.6049,0.0069,0.6039,WavLM,20,7,4-Class (A/H/N/S)
CNN,0,0.5796,0.0051,0.55,WavLM,5,7,4-Class (A/H/N/S)
Layer 1,1,0.5703,0.0091,0.5564,WavLM,5,7,4-Class (A/H/N/S)
Layer 2,2,0.5662,0.0069,0.5597,WavLM,5,7,4-Class (A/H/N/S)
Layer 3,3,0.5661,0.005,0.5624,WavLM,5,7,4-Class (A/H/N/S)
Layer 4,4,0.5644,0.0055,0.5607,WavLM,5,7,4-Class (A/H/N/S)
Layer 5,5,0.5695,0.0057,0.5672,WavLM,5,7,4-Class (A/H/N/S)
Layer 6,6,0.5738,0.0043,0.5706,WavLM,5,7,4-Class (A/H/N/S)
Layer 7,7,0.5723,0.0057,0.5698,WavLM,5,7,4-Class (A/H/N/S)
Layer 8,8,0.5752,0.0051,0.5733,WavLM,5,7,4-Class (A/H/N/S)
Layer 9,9,0.5732,0.0083,0.5712,WavLM,5,7,4-Class (A/H/N/S)
Layer 10,10,0.5715,0.0041,0.5704,WavLM,5,7,4-Class (A/H/N/S)
Layer 11,11,0.5745,0.0074,0.5727,WavLM,5,7,4-Class (A/H/N/S)
Layer 12,12,0.5758,0.01,0.574,WavLM,5,7,4-Class (A/H/N/S)
Layer 13,13,0.5773,0.0131,0.5762,WavLM,5,7,4-Class (A/H/N/S)
Layer 14,14,0.5713,0.0068,0.5707,WavLM,5,7,4-Class (A/H/N/S)
Layer 15,15,0.5724,0.0107,0.5715,WavLM,5,7,4-Class (A/H/N/S)
Layer 16,16,0.5783,0.0096,0.5764,WavLM,5,7,4-Class (A/H/N/S)
Layer 17,17,0.5902,0.008,0.5897,WavLM,5,7,4-Class (A/H/N/S)
Layer 18,18,0.5937,0.0053,0.5928,WavLM,5,7,4-Class (A/H/N/S)
Layer 19,19,0.5934,0.0037,0.5928,WavLM,5,7,4-Class (A/H/N/S)
Layer 20,20,0.5918,0.0064,0.5925,WavLM,5,7,4-Class (A/H/N/S)
Layer 21,21,0.5958,0.0072,0.5958,WavLM,5,7,4-Class (A/H/N/S)
Layer 22,22,0.5955,0.005,0.5929,WavLM,5,7,4-Class (A/H/N/S)
Layer 23,23,0.5818,0.0092,0.5803,WavLM,5,7,4-Class (A/H/N/S)
Layer 24,24,0.5859,0.0108,0.5824,WavLM,5,7,4-Class (A/H/N/S)
CNN,0,0.6279,0.0055,0.6042,Whisper,clean,7,4-Class (A/H/N/S)
Layer 1,1,0.6187,0.0064,0.6019,Whisper,clean,7,4-Class (A/H/N/S)
Layer 2,2,0.6132,0.0053,0.601,Whisper,clean,7,4-Class (A/H/N/S)
Layer 3,3,0.6091,0.0091,0.6005,Whisper,clean,7,4-Class (A/H/N/S)
Layer 4,4,0.6126,0.0047,0.6062,Whisper,clean,7,4-Class (A/H/N/S)
Layer 5,5,0.6102,0.006,0.6049,Whisper,clean,7,4-Class (A/H/N/S)
Layer 6,6,0.6031,0.0083,0.5999,Whisper,clean,7,4-Class (A/H/N/S)
Layer 7,7,0.6065,0.0056,0.6037,Whisper,clean,7,4-Class (A/H/N/S)
Layer 8,8,0.6122,0.0023,0.6079,Whisper,clean,7,4-Class (A/H/N/S)
Layer 9,9,0.6091,0.0063,0.6058,Whisper,clean,7,4-Class (A/H/N/S)
Layer 10,10,0.6082,0.0044,0.6051,Whisper,clean,7,4-Class (A/H/N/S)
Layer 11,11,0.6047,0.0062,0.6025,Whisper,clean,7,4-Class (A/H/N/S)
Layer 12,12,0.6145,0.0051,0.6131,Whisper,clean,7,4-Class (A/H/N/S)
Layer 13,13,0.6098,0.0019,0.6083,Whisper,clean,7,4-Class (A/H/N/S)
Layer 14,14,0.6119,0.0066,0.6113,Whisper,clean,7,4-Class (A/H/N/S)
Layer 15,15,0.6087,0.0028,0.6083,Whisper,clean,7,4-Class (A/H/N/S)
Layer 16,16,0.6132,0.0048,0.6132,Whisper,clean,7,4-Class (A/H/N/S)
Layer 17,17,0.6108,0.0054,0.6116,Whisper,clean,7,4-Class (A/H/N/S)
Layer 18,18,0.6089,0.0048,0.61,Whisper,clean,7,4-Class (A/H/N/S)
Layer 19,19,0.6088,0.0064,0.6109,Whisper,clean,7,4-Class (A/H/N/S)
Layer 20,20,0.6197,0.0124,0.6211,Whisper,clean,7,4-Class (A/H/N/S)
Layer 21,21,0.6221,0.0106,0.6238,Whisper,clean,7,4-Class (A/H/N/S)
Layer 22,22,0.6283,0.009,0.6288,Whisper,clean,7,4-Class (A/H/N/S)
Layer 23,23,0.6316,0.0039,0.6323,Whisper,clean,7,4-Class (A/H/N/S)
Layer 24,24,0.6297,0.0118,0.632,Whisper,clean,7,4-Class (A/H/N/S)
CNN,0,0.5554,0.0063,0.5231,Whisper,0,7,4-Class (A/H/N/S)
Layer 1,1,0.5668,0.0047,0.546,Whisper,0,7,4-Class (A/H/N/S)
Layer 2,2,0.5668,0.0092,0.5531,Whisper,0,7,4-Class (A/H/N/S)
Layer 3,3,0.5732,0.005,0.5634,Whisper,0,7,4-Class (A/H/N/S)
Layer 4,4,0.574,0.006,0.5679,Whisper,0,7,4-Class (A/H/N/S)
Layer 5,5,0.58,0.0033,0.5761,Whisper,0,7,4-Class (A/H/N/S)
Layer 6,6,0.5776,0.0031,0.5743,Whisper,0,7,4-Class (A/H/N/S)
Layer 7,7,0.582,0.0061,0.579,Whisper,0,7,4-Class (A/H/N/S)
Layer 8,8,0.5838,0.0037,0.5804,Whisper,0,7,4-Class (A/H/N/S)
Layer 9,9,0.5897,0.0119,0.5856,Whisper,0,7,4-Class (A/H/N/S)
Layer 10,10,0.5928,0.0083,0.5898,Whisper,0,7,4-Class (A/H/N/S)
Layer 11,11,0.5933,0.0091,0.5916,Whisper,0,7,4-Class (A/H/N/S)
Layer 12,12,0.5927,0.0065,0.591,Whisper,0,7,4-Class (A/H/N/S)
Layer 13,13,0.5916,0.0116,0.5905,Whisper,0,7,4-Class (A/H/N/S)
Layer 14,14,0.5935,0.0078,0.5921,Whisper,0,7,4-Class (A/H/N/S)
Layer 15,15,0.5906,0.0045,0.5896,Whisper,0,7,4-Class (A/H/N/S)
Layer 16,16,0.5892,0.0078,0.5889,Whisper,0,7,4-Class (A/H/N/S)
Layer 17,17,0.5919,0.0044,0.5928,Whisper,0,7,4-Class (A/H/N/S)
Layer 18,18,0.5968,0.0064,0.597,Whisper,0,7,4-Class (A/H/N/S)
Layer 19,19,0.5963,0.0049,0.5973,Whisper,0,7,4-Class (A/H/N/S)
Layer 20,20,0.6021,0.0043,0.6022,Whisper,0,7,4-Class (A/H/N/S)
Layer 21,21,0.6043,0.0073,0.6061,Whisper,0,7,4-Class (A/H/N/S)
Layer 22,22,0.6067,0.006,0.608,Whisper,0,7,4-Class (A/H/N/S)
Layer 23,23,0.6102,0.0086,0.6124,Whisper,0,7,4-Class (A/H/N/S)
Layer 24,24,0.6071,0.0068,0.6095,Whisper,0,7,4-Class (A/H/N/S)
CNN,0,0.578,0.0079,0.5498,Whisper,10,7,4-Class (A/H/N/S)
Layer 1,1,0.5839,0.0047,0.5665,Whisper,10,7,4-Class (A/H/N/S)
Layer 2,2,0.5888,0.008,0.5765,Whisper,10,7,4-Class (A/H/N/S)
Layer 3,3,0.5891,0.0083,0.5804,Whisper,10,7,4-Class (A/H/N/S)
Layer 4,4,0.5876,0.0067,0.5813,Whisper,10,7,4-Class (A/H/N/S)
Layer 5,5,0.5949,0.0059,0.5902,Whisper,10,7,4-Class (A/H/N/S)
Layer 6,6,0.5846,0.0029,0.5816,Whisper,10,7,4-Class (A/H/N/S)
Layer 7,7,0.5915,0.0071,0.5889,Whisper,10,7,4-Class (A/H/N/S)
Layer 8,8,0.5903,0.0101,0.587,Whisper,10,7,4-Class (A/H/N/S)
Layer 9,9,0.5964,0.0069,0.5936,Whisper,10,7,4-Class (A/H/N/S)
Layer 10,10,0.5943,0.0049,0.5917,Whisper,10,7,4-Class (A/H/N/S)
Layer 11,11,0.6029,0.0061,0.6019,Whisper,10,7,4-Class (A/H/N/S)
Layer 12,12,0.5989,0.0046,0.5981,Whisper,10,7,4-Class (A/H/N/S)
Layer 13,13,0.6009,0.0088,0.6011,Whisper,10,7,4-Class (A/H/N/S)
Layer 14,14,0.6038,0.012,0.6038,Whisper,10,7,4-Class (A/H/N/S)
Layer 15,15,0.5954,0.0095,0.5959,Whisper,10,7,4-Class (A/H/N/S)
Layer 16,16,0.6013,0.0049,0.6013,Whisper,10,7,4-Class (A/H/N/S)
Layer 17,17,0.6008,0.0065,0.6015,Whisper,10,7,4-Class (A/H/N/S)
Layer 18,18,0.6024,0.0043,0.6033,Whisper,10,7,4-Class (A/H/N/S)
Layer 19,19,0.6031,0.0065,0.6037,Whisper,10,7,4-Class (A/H/N/S)
Layer 20,20,0.6103,0.0057,0.611,Whisper,10,7,4-Class (A/H/N/S)
Layer 21,21,0.6114,0.0074,0.6124,Whisper,10,7,4-Class (A/H/N/S)
Layer 22,22,0.6146,0.008,0.6161,Whisper,10,7,4-Class (A/H/N/S)
Layer 23,23,0.615,0.0091,0.617,Whisper,10,7,4-Class (A/H/N/S)
Layer 24,24,0.6174,0.0077,0.6204,Whisper,10,7,4-Class (A/H/N/S)
CNN,0,0.5966,0.0029,0.5696,Whisper,20,7,4-Class (A/H/N/S)
Layer 1,1,0.5954,0.0097,0.5789,Whisper,20,7,4-Class (A/H/N/S)
Layer 2,2,0.5948,0.0084,0.5835,Whisper,20,7,4-Class (A/H/N/S)
Layer 3,3,0.5985,0.0047,0.5899,Whisper,20,7,4-Class (A/H/N/S)
Layer 4,4,0.5969,0.013,0.5912,Whisper,20,7,4-Class (A/H/N/S)
Layer 5,5,0.6002,0.0079,0.5951,Whisper,20,7,4-Class (A/H/N/S)
Layer 6,6,0.5917,0.0025,0.5879,Whisper,20,7,4-Class (A/H/N/S)
Layer 7,7,0.5964,0.0019,0.5923,Whisper,20,7,4-Class (A/H/N/S)
Layer 8,8,0.6027,0.0074,0.5985,Whisper,20,7,4-Class (A/H/N/S)
Layer 9,9,0.5995,0.0059,0.5965,Whisper,20,7,4-Class (A/H/N/S)
Layer 10,10,0.5994,0.0047,0.5967,Whisper,20,7,4-Class (A/H/N/S)
Layer 11,11,0.6042,0.0057,0.603,Whisper,20,7,4-Class (A/H/N/S)
Layer 12,12,0.6046,0.0089,0.6036,Whisper,20,7,4-Class (A/H/N/S)
Layer 13,13,0.6069,0.0118,0.6068,Whisper,20,7,4-Class (A/H/N/S)
Layer 14,14,0.6043,0.0092,0.6047,Whisper,20,7,4-Class (A/H/N/S)
Layer 15,15,0.6058,0.0061,0.6056,Whisper,20,7,4-Class (A/H/N/S)
Layer 16,16,0.6099,0.0034,0.61,Whisper,20,7,4-Class (A/H/N/S)
Layer 17,17,0.6044,0.0027,0.6054,Whisper,20,7,4-Class (A/H/N/S)
Layer 18,18,0.6016,0.0049,0.6024,Whisper,20,7,4-Class (A/H/N/S)
Layer 19,19,0.6056,0.0038,0.6062,Whisper,20,7,4-Class (A/H/N/S)
Layer 20,20,0.6097,0.0078,0.6113,Whisper,20,7,4-Class (A/H/N/S)
Layer 21,21,0.6127,0.0032,0.6142,Whisper,20,7,4-Class (A/H/N/S)
Layer 22,22,0.6185,0.0061,0.62,Whisper,20,7,4-Class (A/H/N/S)
Layer 23,23,0.619,0.0076,0.621,Whisper,20,7,4-Class (A/H/N/S)
Layer 24,24,0.6219,0.003,0.6241,Whisper,20,7,4-Class (A/H/N/S)
CNN,0,0.5678,0.0061,0.5392,Whisper,5,7,4-Class (A/H/N/S)
Layer 1,1,0.5775,0.0066,0.5587,Whisper,5,7,4-Class (A/H/N/S)
Layer 2,2,0.5783,0.009,0.5662,Whisper,5,7,4-Class (A/H/N/S)
Layer 3,3,0.5824,0.0078,0.5739,Whisper,5,7,4-Class (A/H/N/S)
Layer 4,4,0.5834,0.0068,0.578,Whisper,5,7,4-Class (A/H/N/S)
Layer 5,5,0.5854,0.0054,0.5817,Whisper,5,7,4-Class (A/H/N/S)
Layer 6,6,0.5825,0.0051,0.5798,Whisper,5,7,4-Class (A/H/N/S)
Layer 7,7,0.5836,0.0075,0.5814,Whisper,5,7,4-Class (A/H/N/S)
Layer 8,8,0.586,0.0096,0.5831,Whisper,5,7,4-Class (A/H/N/S)
Layer 9,9,0.593,0.0096,0.5903,Whisper,5,7,4-Class (A/H/N/S)
Layer 10,10,0.5901,0.0048,0.5879,Whisper,5,7,4-Class (A/H/N/S)
Layer 11,11,0.6017,0.0052,0.6004,Whisper,5,7,4-Class (A/H/N/S)
Layer 12,12,0.5964,0.0049,0.5948,Whisper,5,7,4-Class (A/H/N/S)
Layer 13,13,0.6,0.0082,0.5992,Whisper,5,7,4-Class (A/H/N/S)
Layer 14,14,0.5994,0.0093,0.5996,Whisper,5,7,4-Class (A/H/N/S)
Layer 15,15,0.5931,0.0117,0.5941,Whisper,5,7,4-Class (A/H/N/S)
Layer 16,16,0.6009,0.0056,0.6007,Whisper,5,7,4-Class (A/H/N/S)
Layer 17,17,0.6006,0.0067,0.6007,Whisper,5,7,4-Class (A/H/N/S)
Layer 18,18,0.5998,0.0023,0.6001,Whisper,5,7,4-Class (A/H/N/S)
Layer 19,19,0.6038,0.007,0.6051,Whisper,5,7,4-Class (A/H/N/S)
Layer 20,20,0.6068,0.0035,0.6078,Whisper,5,7,4-Class (A/H/N/S)
Layer 21,21,0.6094,0.0083,0.6102,Whisper,5,7,4-Class (A/H/N/S)
Layer 22,22,0.614,0.008,0.6157,Whisper,5,7,4-Class (A/H/N/S)
Layer 23,23,0.6137,0.0087,0.6158,Whisper,5,7,4-Class (A/H/N/S)
Layer 24,24,0.6141,0.0086,0.6167,Whisper,5,7,4-Class (A/H/N/S)
CNN,0,0.5142,0.0027,0.4526,w2v-BERT,clean,7,4-Class (A/H/N/S)
Layer 1,1,0.5722,0.0044,0.564,w2v-BERT,clean,7,4-Class (A/H/N/S)
Layer 2,2,0.5932,0.0038,0.5854,w2v-BERT,clean,7,4-Class (A/H/N/S)
Layer 3,3,0.5941,0.0061,0.5899,w2v-BERT,clean,7,4-Class (A/H/N/S)
Layer 4,4,0.6013,0.0042,0.5973,w2v-BERT,clean,7,4-Class (A/H/N/S)
Layer 5,5,0.6064,0.0072,0.6022,w2v-BERT,clean,7,4-Class (A/H/N/S)
Layer 6,6,0.6042,0.0076,0.5996,w2v-BERT,clean,7,4-Class (A/H/N/S)
Layer 7,7,0.6083,0.0093,0.6028,w2v-BERT,clean,7,4-Class (A/H/N/S)
Layer 8,8,0.5978,0.0036,0.5925,w2v-BERT,clean,7,4-Class (A/H/N/S)
Layer 9,9,0.6104,0.0111,0.6049,w2v-BERT,clean,7,4-Class (A/H/N/S)
Layer 10,10,0.6099,0.0066,0.6055,w2v-BERT,clean,7,4-Class (A/H/N/S)
Layer 11,11,0.6025,0.0129,0.5998,w2v-BERT,clean,7,4-Class (A/H/N/S)
Layer 12,12,0.6088,0.0054,0.6078,w2v-BERT,clean,7,4-Class (A/H/N/S)
Layer 13,13,0.6152,0.0073,0.6142,w2v-BERT,clean,7,4-Class (A/H/N/S)
Layer 14,14,0.6181,0.0129,0.6158,w2v-BERT,clean,7,4-Class (A/H/N/S)
Layer 15,15,0.6115,0.0086,0.6082,w2v-BERT,clean,7,4-Class (A/H/N/S)
Layer 16,16,0.611,0.0071,0.6088,w2v-BERT,clean,7,4-Class (A/H/N/S)
Layer 17,17,0.6112,0.0094,0.6087,w2v-BERT,clean,7,4-Class (A/H/N/S)
Layer 18,18,0.6064,0.0076,0.603,w2v-BERT,clean,7,4-Class (A/H/N/S)
Layer 19,19,0.6027,0.005,0.5996,w2v-BERT,clean,7,4-Class (A/H/N/S)
Layer 20,20,0.6024,0.0087,0.5992,w2v-BERT,clean,7,4-Class (A/H/N/S)
Layer 21,21,0.6001,0.0106,0.5959,w2v-BERT,clean,7,4-Class (A/H/N/S)
Layer 22,22,0.5929,0.0034,0.5888,w2v-BERT,clean,7,4-Class (A/H/N/S)
Layer 23,23,0.5862,0.0068,0.5806,w2v-BERT,clean,7,4-Class (A/H/N/S)
Layer 24,24,0.5809,0.0094,0.5733,w2v-BERT,clean,7,4-Class (A/H/N/S)
CNN,0,0.5008,0.0085,0.4197,w2v-BERT,0,7,4-Class (A/H/N/S)
Layer 1,1,0.5281,0.0088,0.5176,w2v-BERT,0,7,4-Class (A/H/N/S)
Layer 2,2,0.5486,0.0049,0.5425,w2v-BERT,0,7,4-Class (A/H/N/S)
Layer 3,3,0.5666,0.008,0.5611,w2v-BERT,0,7,4-Class (A/H/N/S)
Layer 4,4,0.5751,0.0053,0.57,w2v-BERT,0,7,4-Class (A/H/N/S)
Layer 5,5,0.5813,0.0064,0.577,w2v-BERT,0,7,4-Class (A/H/N/S)
Layer 6,6,0.5805,0.0026,0.5764,w2v-BERT,0,7,4-Class (A/H/N/S)
Layer 7,7,0.5822,0.0059,0.5765,w2v-BERT,0,7,4-Class (A/H/N/S)
Layer 8,8,0.5804,0.0044,0.5742,w2v-BERT,0,7,4-Class (A/H/N/S)
Layer 9,9,0.5813,0.0111,0.5756,w2v-BERT,0,7,4-Class (A/H/N/S)
Layer 10,10,0.5822,0.0079,0.5791,w2v-BERT,0,7,4-Class (A/H/N/S)
Layer 11,11,0.5847,0.0073,0.5815,w2v-BERT,0,7,4-Class (A/H/N/S)
Layer 12,12,0.5828,0.0074,0.5803,w2v-BERT,0,7,4-Class (A/H/N/S)
Layer 13,13,0.5877,0.0102,0.5856,w2v-BERT,0,7,4-Class (A/H/N/S)
Layer 14,14,0.5913,0.0079,0.5885,w2v-BERT,0,7,4-Class (A/H/N/S)
Layer 15,15,0.5926,0.0069,0.5882,w2v-BERT,0,7,4-Class (A/H/N/S)
Layer 16,16,0.5859,0.0065,0.5836,w2v-BERT,0,7,4-Class (A/H/N/S)
Layer 17,17,0.5814,0.0064,0.5777,w2v-BERT,0,7,4-Class (A/H/N/S)
Layer 18,18,0.5771,0.0064,0.5744,w2v-BERT,0,7,4-Class (A/H/N/S)
Layer 19,19,0.5737,0.0057,0.571,w2v-BERT,0,7,4-Class (A/H/N/S)
Layer 20,20,0.5692,0.0084,0.5656,w2v-BERT,0,7,4-Class (A/H/N/S)
Layer 21,21,0.5709,0.0103,0.567,w2v-BERT,0,7,4-Class (A/H/N/S)
Layer 22,22,0.5552,0.0039,0.5514,w2v-BERT,0,7,4-Class (A/H/N/S)
Layer 23,23,0.5464,0.0075,0.5443,w2v-BERT,0,7,4-Class (A/H/N/S)
Layer 24,24,0.5519,0.0057,0.5457,w2v-BERT,0,7,4-Class (A/H/N/S)
CNN,0,0.507,0.0022,0.4329,w2v-BERT,10,7,4-Class (A/H/N/S)
Layer 1,1,0.5428,0.0113,0.5343,w2v-BERT,10,7,4-Class (A/H/N/S)
Layer 2,2,0.5624,0.0069,0.5558,w2v-BERT,10,7,4-Class (A/H/N/S)
Layer 3,3,0.5796,0.0086,0.5762,w2v-BERT,10,7,4-Class (A/H/N/S)
Layer 4,4,0.5789,0.0026,0.5758,w2v-BERT,10,7,4-Class (A/H/N/S)
Layer 5,5,0.5901,0.008,0.5861,w2v-BERT,10,7,4-Class (A/H/N/S)
Layer 6,6,0.5981,0.0046,0.5934,w2v-BERT,10,7,4-Class (A/H/N/S)
Layer 7,7,0.589,0.0082,0.5847,w2v-BERT,10,7,4-Class (A/H/N/S)
Layer 8,8,0.5914,0.0082,0.5867,w2v-BERT,10,7,4-Class (A/H/N/S)
Layer 9,9,0.5886,0.006,0.5839,w2v-BERT,10,7,4-Class (A/H/N/S)
Layer 10,10,0.59,0.0107,0.5863,w2v-BERT,10,7,4-Class (A/H/N/S)
Layer 11,11,0.5927,0.0071,0.5911,w2v-BERT,10,7,4-Class (A/H/N/S)
Layer 12,12,0.5963,0.01,0.5954,w2v-BERT,10,7,4-Class (A/H/N/S)
Layer 13,13,0.5941,0.0086,0.5936,w2v-BERT,10,7,4-Class (A/H/N/S)
Layer 14,14,0.6053,0.0136,0.6019,w2v-BERT,10,7,4-Class (A/H/N/S)
Layer 15,15,0.5988,0.0085,0.5959,w2v-BERT,10,7,4-Class (A/H/N/S)
Layer 16,16,0.5934,0.0085,0.5917,w2v-BERT,10,7,4-Class (A/H/N/S)
Layer 17,17,0.5916,0.0064,0.5897,w2v-BERT,10,7,4-Class (A/H/N/S)
Layer 18,18,0.5913,0.0035,0.5881,w2v-BERT,10,7,4-Class (A/H/N/S)
Layer 19,19,0.5852,0.0072,0.5826,w2v-BERT,10,7,4-Class (A/H/N/S)
Layer 20,20,0.5833,0.0058,0.5805,w2v-BERT,10,7,4-Class (A/H/N/S)
Layer 21,21,0.5784,0.009,0.5751,w2v-BERT,10,7,4-Class (A/H/N/S)
Layer 22,22,0.5628,0.007,0.5604,w2v-BERT,10,7,4-Class (A/H/N/S)
Layer 23,23,0.559,0.0102,0.5563,w2v-BERT,10,7,4-Class (A/H/N/S)
Layer 24,24,0.5608,0.0047,0.5548,w2v-BERT,10,7,4-Class (A/H/N/S)
CNN,0,0.5082,0.0048,0.4383,w2v-BERT,20,7,4-Class (A/H/N/S)
Layer 1,1,0.5577,0.0118,0.5494,w2v-BERT,20,7,4-Class (A/H/N/S)
Layer 2,2,0.5703,0.0098,0.566,w2v-BERT,20,7,4-Class (A/H/N/S)
Layer 3,3,0.589,0.0069,0.5856,w2v-BERT,20,7,4-Class (A/H/N/S)
Layer 4,4,0.5806,0.0056,0.5784,w2v-BERT,20,7,4-Class (A/H/N/S)
Layer 5,5,0.5935,0.0043,0.5909,w2v-BERT,20,7,4-Class (A/H/N/S)
Layer 6,6,0.6021,0.0065,0.5979,w2v-BERT,20,7,4-Class (A/H/N/S)
Layer 7,7,0.5967,0.0111,0.5919,w2v-BERT,20,7,4-Class (A/H/N/S)
Layer 8,8,0.5973,0.007,0.593,w2v-BERT,20,7,4-Class (A/H/N/S)
Layer 9,9,0.5973,0.0087,0.5924,w2v-BERT,20,7,4-Class (A/H/N/S)
Layer 10,10,0.5912,0.003,0.5881,w2v-BERT,20,7,4-Class (A/H/N/S)
Layer 11,11,0.5977,0.0075,0.5956,w2v-BERT,20,7,4-Class (A/H/N/S)
Layer 12,12,0.5924,0.0042,0.5931,w2v-BERT,20,7,4-Class (A/H/N/S)
Layer 13,13,0.604,0.0097,0.6034,w2v-BERT,20,7,4-Class (A/H/N/S)
Layer 14,14,0.6123,0.0092,0.6104,w2v-BERT,20,7,4-Class (A/H/N/S)
Layer 15,15,0.6065,0.0082,0.6043,w2v-BERT,20,7,4-Class (A/H/N/S)
Layer 16,16,0.5949,0.0085,0.5932,w2v-BERT,20,7,4-Class (A/H/N/S)
Layer 17,17,0.599,0.0074,0.5971,w2v-BERT,20,7,4-Class (A/H/N/S)
Layer 18,18,0.5904,0.0085,0.5883,w2v-BERT,20,7,4-Class (A/H/N/S)
Layer 19,19,0.5897,0.0025,0.5873,w2v-BERT,20,7,4-Class (A/H/N/S)
Layer 20,20,0.587,0.0081,0.5851,w2v-BERT,20,7,4-Class (A/H/N/S)
Layer 21,21,0.5819,0.0059,0.5795,w2v-BERT,20,7,4-Class (A/H/N/S)
