Layer,Layer_Num,RMSE
CNN,0,0.9083
Layer 1,1,0.9011
Layer 2,2,0.8961
Layer 3,3,0.8941
Layer 4,4,0.8868
Layer 5,5,0.8864
Layer 6,6,0.8907
Layer 7,7,0.8846
Layer 8,8,0.8846
Layer 9,9,0.8843
Layer 10,10,0.8812
Layer 11,11,0.8759
Layer 12,12,0.876
Layer 13,13,0.8789
Layer 14,14,0.8827
Layer 15,15,0.8844
Layer 16,16,0.8854
Layer 17,17,0.8837
Layer 18,18,0.8861
Layer 19,19,0.8869
Layer 20,20,0.8951
Layer 21,21,0.9084
Layer 22,22,0.9163
Layer 23,23,0.9341
Layer 24,24,0.9596
