Layer,Layer_Num,RMSE
CNN,0,0.9583
Layer 1,1,0.9291
Layer 2,2,0.9068
Layer 3,3,0.8893
Layer 4,4,0.888
Layer 5,5,0.8884
Layer 6,6,0.8874
Layer 7,7,0.889
Layer 8,8,0.8897
Layer 9,9,0.8831
Layer 10,10,0.8796
Layer 11,11,0.8736
Layer 12,12,0.8605
Layer 13,13,0.8572
Layer 14,14,0.8604
Layer 15,15,0.8661
Layer 16,16,0.8718
Layer 17,17,0.8714
Layer 18,18,0.8803
Layer 19,19,0.8852
Layer 20,20,0.8884
Layer 21,21,0.8941
Layer 22,22,0.9035
Layer 23,23,0.9115
Layer 24,24,0.9221
