Layer,Layer_Num,RMSE
CNN,0,0.6991
Layer 1,1,0.6912
Layer 2,2,0.6888
Layer 3,3,0.6884
Layer 4,4,0.6868
Layer 5,5,0.6835
Layer 6,6,0.6838
Layer 7,7,0.6834
Layer 8,8,0.6845
Layer 9,9,0.6831
Layer 10,10,0.6854
Layer 11,11,0.6832
Layer 12,12,0.6822
Layer 13,13,0.6826
Layer 14,14,0.6835
Layer 15,15,0.6839
Layer 16,16,0.6844
Layer 17,17,0.685
Layer 18,18,0.6855
Layer 19,19,0.6851
Layer 20,20,0.6844
Layer 21,21,0.6835
Layer 22,22,0.6829
Layer 23,23,0.6839
Layer 24,24,0.6841
