Layer,Layer_Num,RMSE
CNN,0,0.7382
Layer 1,1,0.7253
Layer 2,2,0.7173
Layer 3,3,0.7126
Layer 4,4,0.7152
Layer 5,5,0.7136
Layer 6,6,0.7143
Layer 7,7,0.7137
Layer 8,8,0.7163
Layer 9,9,0.7164
Layer 10,10,0.7144
Layer 11,11,0.7156
Layer 12,12,0.718
Layer 13,13,0.718
Layer 14,14,0.7186
Layer 15,15,0.7227
Layer 16,16,0.7217
Layer 17,17,0.7249
Layer 18,18,0.7267
Layer 19,19,0.7297
Layer 20,20,0.7297
Layer 21,21,0.7297
Layer 22,22,0.7299
Layer 23,23,0.7288
Layer 24,24,0.7302
