Layer,Layer_Num,RMSE
CNN,0,0.7421
Layer 1,1,0.7378
Layer 2,2,0.7318
Layer 3,3,0.7271
Layer 4,4,0.7248
Layer 5,5,0.7255
Layer 6,6,0.7238
Layer 7,7,0.7241
Layer 8,8,0.7242
Layer 9,9,0.7234
Layer 10,10,0.7233
Layer 11,11,0.7254
Layer 12,12,0.7261
Layer 13,13,0.7268
Layer 14,14,0.7271
Layer 15,15,0.7267
Layer 16,16,0.7284
Layer 17,17,0.7292
Layer 18,18,0.7303
Layer 19,19,0.731
Layer 20,20,0.7318
Layer 21,21,0.7337
Layer 22,22,0.7352
Layer 23,23,0.7341
Layer 24,24,0.7341
