Layer,Layer_Num,RMSE
CNN,0,0.8982
Layer 1,1,0.8951
Layer 2,2,0.8886
Layer 3,3,0.8844
Layer 4,4,0.8844
Layer 5,5,0.8843
Layer 6,6,0.8819
Layer 7,7,0.8836
Layer 8,8,0.883
Layer 9,9,0.8853
Layer 10,10,0.8802
Layer 11,11,0.8757
Layer 12,12,0.8756
Layer 13,13,0.8737
Layer 14,14,0.8731
Layer 15,15,0.8667
Layer 16,16,0.8597
Layer 17,17,0.853
Layer 18,18,0.8477
Layer 19,19,0.8447
Layer 20,20,0.8514
Layer 21,21,0.8492
Layer 22,22,0.8499
Layer 23,23,0.861
Layer 24,24,0.8632
