Layer,Layer_Num,RMSE
CNN,0,0.8997
Layer 1,1,0.8993
Layer 2,2,0.8902
Layer 3,3,0.8833
Layer 4,4,0.8865
Layer 5,5,0.885
Layer 6,6,0.879
Layer 7,7,0.8805
Layer 8,8,0.8798
Layer 9,9,0.8757
Layer 10,10,0.8728
Layer 11,11,0.8736
Layer 12,12,0.8699
Layer 13,13,0.8732
Layer 14,14,0.8684
Layer 15,15,0.8593
Layer 16,16,0.8482
Layer 17,17,0.8368
Layer 18,18,0.8334
Layer 19,19,0.8274
Layer 20,20,0.8321
Layer 21,21,0.8345
Layer 22,22,0.84
Layer 23,23,0.8529
Layer 24,24,0.8563
