Layer,Layer_Num,RMSE
CNN,0,0.7362
Layer 1,1,0.7244
Layer 2,2,0.7184
Layer 3,3,0.7151
Layer 4,4,0.7161
Layer 5,5,0.7163
Layer 6,6,0.7125
Layer 7,7,0.7155
Layer 8,8,0.7152
Layer 9,9,0.7123
Layer 10,10,0.7138
Layer 11,11,0.712
Layer 12,12,0.7154
Layer 13,13,0.7181
Layer 14,14,0.7217
Layer 15,15,0.7246
Layer 16,16,0.7238
Layer 17,17,0.7248
Layer 18,18,0.7258
Layer 19,19,0.7284
Layer 20,20,0.7271
Layer 21,21,0.7241
Layer 22,22,0.7221
Layer 23,23,0.7217
Layer 24,24,0.7234
