Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1,Dataset
Layer 5,5,0.9437,0.0224,0.9439,AESDD
Layer 6,6,0.9454,0.0178,0.9454,AESDD
Layer 7,7,0.9487,0.0268,0.9485,AESDD
Layer 8,8,0.9537,0.0178,0.9532,AESDD
Layer 9,9,0.9487,0.0191,0.9485,AESDD
Layer 10,10,0.9586,0.0138,0.9582,AESDD
Layer 11,11,0.9387,0.0067,0.9386,AESDD
Layer 12,12,0.9238,0.0134,0.9239,AESDD
Layer 13,13,0.9122,0.0154,0.9114,AESDD
Layer 14,14,0.9106,0.0279,0.9102,AESDD
Layer 15,15,0.9006,0.0359,0.8994,AESDD
Layer 16,16,0.9006,0.0323,0.8995,AESDD
Layer 17,17,0.9139,0.0199,0.9135,AESDD
Layer 18,18,0.9023,0.0224,0.9022,AESDD
Layer 19,19,0.9007,0.026,0.9003,AESDD
Layer 20,20,0.899,0.0191,0.8982,AESDD
Layer 21,21,0.8792,0.0264,0.8785,AESDD
Layer 22,22,0.9023,0.0199,0.9022,AESDD
Layer 23,23,0.8974,0.0288,0.8971,AESDD
Layer 24,24,0.8791,0.0391,0.8788,AESDD
CNN,0,0.7271,0.0153,0.7257,SAVEE
Layer 1,1,0.7854,0.0393,0.7835,SAVEE
Layer 2,2,0.8271,0.0214,0.827,SAVEE
Layer 3,3,0.8646,0.0228,0.8626,SAVEE
Layer 4,4,0.8646,0.0114,0.8624,SAVEE
Layer 5,5,0.8688,0.0193,0.8664,SAVEE
Layer 6,6,0.8833,0.0179,0.8818,SAVEE
Layer 7,7,0.8896,0.0141,0.8874,SAVEE
Layer 8,8,0.8833,0.0121,0.8831,SAVEE
Layer 9,9,0.8833,0.0179,0.8821,SAVEE
Layer 10,10,0.8708,0.0252,0.8697,SAVEE
Layer 11,11,0.8771,0.0167,0.8747,SAVEE
Layer 12,12,0.8792,0.0252,0.8778,SAVEE
Layer 13,13,0.8708,0.0234,0.8695,SAVEE
Layer 14,14,0.8708,0.0193,0.8708,SAVEE
Layer 15,15,0.8625,0.0232,0.8605,SAVEE
Layer 16,16,0.875,0.0228,0.8743,SAVEE
Layer 17,17,0.8583,0.0376,0.8574,SAVEE
Layer 18,18,0.8479,0.0358,0.8472,SAVEE
Layer 19,19,0.8521,0.0381,0.8518,SAVEE
Layer 20,20,0.8521,0.0319,0.8522,SAVEE
Layer 21,21,0.8542,0.0475,0.8534,SAVEE
Layer 22,22,0.8667,0.0414,0.8674,SAVEE
Layer 23,23,0.8396,0.0306,0.8392,SAVEE
Layer 24,24,0.8104,0.0351,0.8085,SAVEE
CNN,0,0.7866,0.0107,0.7855,MESD
Layer 1,1,0.8074,0.0205,0.8074,MESD
Layer 2,2,0.8469,0.03,0.8465,MESD
Layer 3,3,0.8492,0.0349,0.8486,MESD
Layer 4,4,0.8608,0.0382,0.86,MESD
Layer 5,5,0.8678,0.0336,0.867,MESD
Layer 6,6,0.8701,0.0249,0.8696,MESD
Layer 7,7,0.8701,0.0286,0.8698,MESD
Layer 8,8,0.8782,0.0264,0.8784,MESD
Layer 9,9,0.8608,0.022,0.8601,MESD
Layer 10,10,0.8666,0.0139,0.8662,MESD
Layer 11,11,0.8574,0.0228,0.8565,MESD
Layer 12,12,0.8516,0.017,0.8507,MESD
Layer 13,13,0.8527,0.0221,0.8528,MESD
Layer 14,14,0.8249,0.0232,0.8242,MESD
Layer 15,15,0.8167,0.0115,0.8155,MESD
Layer 16,16,0.7889,0.0313,0.7887,MESD
Layer 17,17,0.7692,0.026,0.7689,MESD
Layer 18,18,0.7541,0.0194,0.7533,MESD
Layer 19,19,0.7088,0.0147,0.7059,MESD
Layer 20,20,0.7135,0.0205,0.713,MESD
Layer 21,21,0.7088,0.0082,0.7069,MESD
Layer 22,22,0.7332,0.0271,0.7324,MESD
Layer 23,23,0.7031,0.0239,0.7018,MESD
Layer 24,24,0.6682,0.0154,0.667,MESD
