Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1,Dataset
Layer 6,6,0.9096,0.0208,0.9094,MESD
Layer 7,7,0.9246,0.0131,0.9245,MESD
Layer 8,8,0.9154,0.0172,0.9148,MESD
Layer 9,9,0.8991,0.0076,0.899,MESD
Layer 10,10,0.8829,0.0252,0.8822,MESD
Layer 11,11,0.8817,0.0163,0.8808,MESD
Layer 12,12,0.8666,0.0264,0.8655,MESD
Layer 13,13,0.8411,0.0274,0.84,MESD
Layer 14,14,0.8144,0.0233,0.813,MESD
Layer 15,15,0.8051,0.0302,0.8044,MESD
Layer 16,16,0.804,0.0245,0.8035,MESD
Layer 17,17,0.7982,0.0159,0.7977,MESD
Layer 18,18,0.797,0.0115,0.7961,MESD
Layer 19,19,0.7936,0.0342,0.7925,MESD
Layer 20,20,0.7749,0.0199,0.7752,MESD
Layer 21,21,0.7715,0.0265,0.7703,MESD
Layer 22,22,0.7622,0.0269,0.7611,MESD
Layer 23,23,0.739,0.0333,0.7379,MESD
Layer 24,24,0.7297,0.0137,0.7291,MESD
CNN,0,0.75,0.0147,0.7476,SAVEE
Layer 1,1,0.8,0.0332,0.798,SAVEE
Layer 2,2,0.8417,0.0212,0.8413,SAVEE
Layer 3,3,0.8458,0.0167,0.8453,SAVEE
Layer 4,4,0.8542,0.0401,0.8526,SAVEE
Layer 5,5,0.8604,0.0204,0.8583,SAVEE
Layer 6,6,0.8875,0.0179,0.8868,SAVEE
Layer 7,7,0.875,0.0287,0.8746,SAVEE
Layer 8,8,0.8771,0.0283,0.8764,SAVEE
Layer 9,9,0.8667,0.0212,0.866,SAVEE
Layer 10,10,0.8542,0.0066,0.8541,SAVEE
Layer 11,11,0.8438,0.0208,0.843,SAVEE
Layer 12,12,0.8312,0.0275,0.8305,SAVEE
Layer 13,13,0.8438,0.0238,0.8435,SAVEE
Layer 14,14,0.8417,0.029,0.8425,SAVEE
Layer 15,15,0.8521,0.0305,0.8529,SAVEE
Layer 16,16,0.8583,0.0182,0.8586,SAVEE
Layer 17,17,0.8833,0.0121,0.8832,SAVEE
Layer 18,18,0.8667,0.0167,0.8669,SAVEE
Layer 19,19,0.8667,0.0138,0.8662,SAVEE
Layer 20,20,0.8458,0.0191,0.8468,SAVEE
Layer 21,21,0.8458,0.0153,0.8458,SAVEE
Layer 22,22,0.8292,0.0252,0.8267,SAVEE
Layer 23,23,0.8083,0.0268,0.8086,SAVEE
Layer 24,24,0.8188,0.0169,0.8189,SAVEE
CNN,0,0.8897,0.0546,0.8884,EmoDB
Layer 1,1,0.9458,0.0331,0.9455,EmoDB
Layer 2,2,0.9626,0.0244,0.9624,EmoDB
Layer 3,3,0.9738,0.0137,0.9737,EmoDB
Layer 4,4,0.9757,0.0173,0.9756,EmoDB
Layer 5,5,0.9794,0.0092,0.9793,EmoDB
Layer 6,6,0.9813,0.0177,0.9812,EmoDB
Layer 7,7,0.9813,0.0156,0.9812,EmoDB
Layer 8,8,0.9869,0.0127,0.9869,EmoDB
Layer 9,9,0.9794,0.0137,0.9795,EmoDB
Layer 10,10,0.985,0.0127,0.9849,EmoDB
Layer 11,11,0.9776,0.0075,0.9776,EmoDB
Layer 12,12,0.9776,0.0095,0.9774,EmoDB
Layer 13,13,0.9701,0.007,0.97,EmoDB
Layer 14,14,0.9682,0.0127,0.968,EmoDB
Layer 15,15,0.9664,0.0163,0.9663,EmoDB
Layer 16,16,0.9589,0.0226,0.9588,EmoDB
Layer 17,17,0.9645,0.0124,0.9643,EmoDB
Layer 18,18,0.9701,0.015,0.9699,EmoDB
Layer 19,19,0.9682,0.0248,0.9679,EmoDB
Layer 20,20,0.9664,0.0152,0.9661,EmoDB
Layer 21,21,0.9589,0.0095,0.9586,EmoDB
Layer 22,22,0.957,0.0183,0.9566,EmoDB
Layer 23,23,0.9477,0.0127,0.9471,EmoDB
Layer 24,24,0.9477,0.0163,0.947,EmoDB
