Layer,Layer_Num,RMSE
CNN,0,0.7185
Layer 1,1,0.7115
Layer 2,2,0.7063
Layer 3,3,0.7023
Layer 4,4,0.7015
Layer 5,5,0.7018
Layer 6,6,0.7025
Layer 7,7,0.7027
Layer 8,8,0.7022
Layer 9,9,0.7013
Layer 10,10,0.7017
Layer 11,11,0.7055
Layer 12,12,0.7044
Layer 13,13,0.7053
Layer 14,14,0.7041
Layer 15,15,0.7037
Layer 16,16,0.7039
Layer 17,17,0.7074
Layer 18,18,0.708
Layer 19,19,0.7092
Layer 20,20,0.7089
Layer 21,21,0.7102
Layer 22,22,0.709
Layer 23,23,0.7073
Layer 24,24,0.7113
