Layer,Layer_Num,RMSE
CNN,0,0.7189
Layer 1,1,0.7189
Layer 2,2,0.7138
Layer 3,3,0.7112
Layer 4,4,0.7097
Layer 5,5,0.71
Layer 6,6,0.7096
Layer 7,7,0.7085
Layer 8,8,0.712
Layer 9,9,0.7144
Layer 10,10,0.7157
Layer 11,11,0.7191
Layer 12,12,0.7264
Layer 13,13,0.7276
Layer 14,14,0.7254
Layer 15,15,0.7269
Layer 16,16,0.7273
Layer 17,17,0.7282
Layer 18,18,0.728
Layer 19,19,0.7319
Layer 20,20,0.7403
Layer 21,21,0.7529
Layer 22,22,0.7659
Layer 23,23,0.7938
Layer 24,24,0.812
