Layer,Layer_Num,RMSE
CNN,0,0.9449
Layer 1,1,0.9445
Layer 2,2,0.9386
Layer 3,3,0.9312
Layer 4,4,0.9321
Layer 5,5,0.9262
Layer 6,6,0.9256
Layer 7,7,0.9209
Layer 8,8,0.9176
Layer 9,9,0.9124
Layer 10,10,0.9086
Layer 11,11,0.9084
Layer 12,12,0.9052
Layer 13,13,0.9048
Layer 14,14,0.9034
Layer 15,15,0.8988
Layer 16,16,0.8932
Layer 17,17,0.8805
Layer 18,18,0.8749
Layer 19,19,0.8714
Layer 20,20,0.872
Layer 21,21,0.8744
Layer 22,22,0.881
Layer 23,23,0.8957
Layer 24,24,0.9042
