Layer,Layer_Num,RMSE
CNN,0,0.7648
Layer 1,1,0.7528
Layer 2,2,0.7394
Layer 3,3,0.733
Layer 4,4,0.7332
Layer 5,5,0.7337
Layer 6,6,0.7311
Layer 7,7,0.7327
Layer 8,8,0.7322
Layer 9,9,0.7308
Layer 10,10,0.7287
Layer 11,11,0.7328
Layer 12,12,0.7309
Layer 13,13,0.7334
Layer 14,14,0.7317
Layer 15,15,0.7335
Layer 16,16,0.7347
Layer 17,17,0.7371
Layer 18,18,0.7397
Layer 19,19,0.7415
Layer 20,20,0.7414
Layer 21,21,0.7427
Layer 22,22,0.741
Layer 23,23,0.7414
Layer 24,24,0.7454
