Layer,Layer_Num,RMSE
CNN,0,0.8054
Layer 1,1,0.7469
Layer 2,2,0.7294
Layer 3,3,0.7144
Layer 4,4,0.7119
Layer 5,5,0.7149
Layer 6,6,0.7145
Layer 7,7,0.7162
Layer 8,8,0.7169
Layer 9,9,0.7116
Layer 10,10,0.7147
Layer 11,11,0.7173
Layer 12,12,0.7195
Layer 13,13,0.721
Layer 14,14,0.7169
Layer 15,15,0.7166
Layer 16,16,0.7127
Layer 17,17,0.7097
Layer 18,18,0.7144
Layer 19,19,0.7193
Layer 20,20,0.7195
Layer 21,21,0.7234
Layer 22,22,0.7306
Layer 23,23,0.7346
Layer 24,24,0.7413
