Layer,Layer_Num,RMSE
CNN,0,0.8235
Layer 1,1,0.8016
Layer 2,2,0.7906
Layer 3,3,0.7783
Layer 4,4,0.7792
Layer 5,5,0.7769
Layer 6,6,0.7761
Layer 7,7,0.7719
Layer 8,8,0.7705
Layer 9,9,0.769
Layer 10,10,0.7727
Layer 11,11,0.7704
Layer 12,12,0.7729
Layer 13,13,0.7753
Layer 14,14,0.7783
Layer 15,15,0.7836
Layer 16,16,0.789
Layer 17,17,0.7865
Layer 18,18,0.7878
Layer 19,19,0.7927
Layer 20,20,0.793
Layer 21,21,0.7932
Layer 22,22,0.7961
Layer 23,23,0.7997
Layer 24,24,0.8017
