Layer,Layer_Num,RMSE
CNN,0,0.927
Layer 1,1,0.8071
Layer 2,2,0.7761
Layer 3,3,0.751
Layer 4,4,0.7483
Layer 5,5,0.749
Layer 6,6,0.7464
Layer 7,7,0.7506
Layer 8,8,0.7527
Layer 9,9,0.7473
Layer 10,10,0.7477
Layer 11,11,0.7486
Layer 12,12,0.7569
Layer 13,13,0.7568
Layer 14,14,0.7547
Layer 15,15,0.7488
Layer 16,16,0.7441
Layer 17,17,0.7409
Layer 18,18,0.7489
Layer 19,19,0.7543
Layer 20,20,0.7557
Layer 21,21,0.7613
Layer 22,22,0.7718
Layer 23,23,0.7809
Layer 24,24,0.7942
