Layer,Layer_Num,RMSE
CNN,0,0.8087
Layer 1,1,0.7749
Layer 2,2,0.7629
Layer 3,3,0.7527
Layer 4,4,0.7456
Layer 5,5,0.7411
Layer 6,6,0.7353
Layer 7,7,0.7314
Layer 8,8,0.7313
Layer 9,9,0.7287
Layer 10,10,0.7284
Layer 11,11,0.7267
Layer 12,12,0.7237
Layer 13,13,0.7245
Layer 14,14,0.7272
Layer 15,15,0.7281
Layer 16,16,0.7277
Layer 17,17,0.7288
Layer 18,18,0.7289
Layer 19,19,0.7291
Layer 20,20,0.7302
Layer 21,21,0.7314
Layer 22,22,0.7326
Layer 23,23,0.7324
Layer 24,24,0.7316
