Layer,Layer_Num,RMSE
CNN,0,0.9459
Layer 1,1,0.9414
Layer 2,2,0.9369
Layer 3,3,0.9308
Layer 4,4,0.9297
Layer 5,5,0.925
Layer 6,6,0.9219
Layer 7,7,0.921
Layer 8,8,0.9197
Layer 9,9,0.9147
Layer 10,10,0.9117
Layer 11,11,0.9102
Layer 12,12,0.9086
Layer 13,13,0.9096
Layer 14,14,0.9106
Layer 15,15,0.909
Layer 16,16,0.9119
Layer 17,17,0.9151
Layer 18,18,0.918
Layer 19,19,0.9223
Layer 20,20,0.9292
Layer 21,21,0.9349
Layer 22,22,0.9446
Layer 23,23,0.9581
Layer 24,24,0.9719
