Layer,Layer_Num,RMSE
CNN,0,0.733
Layer 1,1,0.7293
Layer 2,2,0.7232
Layer 3,3,0.723
Layer 4,4,0.7224
Layer 5,5,0.7205
Layer 6,6,0.7192
Layer 7,7,0.7187
Layer 8,8,0.7226
Layer 9,9,0.7268
Layer 10,10,0.7283
Layer 11,11,0.7318
Layer 12,12,0.7384
Layer 13,13,0.7391
Layer 14,14,0.7375
Layer 15,15,0.7394
Layer 16,16,0.7399
Layer 17,17,0.7394
Layer 18,18,0.7399
Layer 19,19,0.7431
Layer 20,20,0.7526
Layer 21,21,0.7638
Layer 22,22,0.7782
Layer 23,23,0.7979
Layer 24,24,0.8116
