Layer,Layer_Num,RMSE
CNN,0,0.9245
Layer 1,1,0.9166
Layer 2,2,0.9137
Layer 3,3,0.9076
Layer 4,4,0.906
Layer 5,5,0.9024
Layer 6,6,0.9003
Layer 7,7,0.9022
Layer 8,8,0.8971
Layer 9,9,0.9014
Layer 10,10,0.8953
Layer 11,11,0.8917
Layer 12,12,0.8887
Layer 13,13,0.8862
Layer 14,14,0.888
Layer 15,15,0.8847
Layer 16,16,0.8774
Layer 17,17,0.867
Layer 18,18,0.8607
Layer 19,19,0.8591
Layer 20,20,0.8634
Layer 21,21,0.8606
Layer 22,22,0.8649
Layer 23,23,0.8794
Layer 24,24,0.8788
