Layer,Layer_Num,RMSE
CNN,0,0.7309
Layer 1,1,0.7236
Layer 2,2,0.7163
Layer 3,3,0.713
Layer 4,4,0.7139
Layer 5,5,0.7143
Layer 6,6,0.711
Layer 7,7,0.7092
Layer 8,8,0.7081
Layer 9,9,0.7078
Layer 10,10,0.7085
Layer 11,11,0.7091
Layer 12,12,0.7104
Layer 13,13,0.7121
Layer 14,14,0.7149
Layer 15,15,0.7179
Layer 16,16,0.7186
Layer 17,17,0.7193
Layer 18,18,0.7201
Layer 19,19,0.7212
Layer 20,20,0.7227
Layer 21,21,0.7217
Layer 22,22,0.7209
Layer 23,23,0.7245
Layer 24,24,0.7278
