Layer,Layer_Num,RMSE
CNN,0,0.7637
Layer 1,1,0.7605
Layer 2,2,0.7495
Layer 3,3,0.7457
Layer 4,4,0.7402
Layer 5,5,0.7438
Layer 6,6,0.7435
Layer 7,7,0.7402
Layer 8,8,0.7426
Layer 9,9,0.7412
Layer 10,10,0.7406
Layer 11,11,0.7423
Layer 12,12,0.7424
Layer 13,13,0.7444
Layer 14,14,0.7454
Layer 15,15,0.7447
Layer 16,16,0.7471
Layer 17,17,0.7474
Layer 18,18,0.7477
Layer 19,19,0.7501
Layer 20,20,0.7508
Layer 21,21,0.7523
Layer 22,22,0.7559
Layer 23,23,0.7559
Layer 24,24,0.7552
