Model,Dataset,Metric,Best_Layer,Best_Layer_Num,Best_Value,Mean_Value,Max_Minus_Min
HuBERT,RAVDESS,procrustes,13,13,0.7716314494609833,0.7409046357870102,0.08573159575462341
HuBERT,RAVDESS,centroid_transfer,13,13,0.616580310880829,0.5361139896373057,0.2620898100172711
HuBERT,EmoDB,cka,CNN,0,0.07766824969892866,0.039290012429244764,0.05165258705215066
HuBERT,EmoDB,procrustes,13,13,0.7183151841163635,0.6974639737606049,0.0484086275100708
HuBERT,EmoDB,centroid_transfer,11,11,0.48411214953271026,0.4257943925233645,0.11028037383177569
HuBERT,IEMOCAP,cka,23,23,0.017862560283979305,0.013747707345593057,0.009025127521862698
HuBERT,IEMOCAP,procrustes,19,19,0.7550491094589233,0.7228462588787079,0.0739978551864624
HuBERT,IEMOCAP,centroid_transfer,4,4,0.43205128205128207,0.3760879120879121,0.11575091575091578
HuBERT,SAVEE,cka,CNN,0,0.06981296596414864,0.024241642930977688,0.057437680874877765
HuBERT,SAVEE,procrustes,20,20,0.7624927759170532,0.7372606813907623,0.07044866681098938
HuBERT,SAVEE,centroid_transfer,1,1,0.4375,0.38949999999999996,0.09375
HuBERT,AESDD,cka,CNN,0,0.02795864928658178,0.0209707150445027,0.011364013112995841
HuBERT,AESDD,procrustes,18,18,0.7551916539669037,0.7155657833814622,0.09101173281669617
HuBERT,AESDD,centroid_transfer,7,7,0.4867549668874172,0.43708609271523174,0.11754966887417218
HuBERT,MESD,cka,CNN,0,0.05266291752805386,0.022487269685572988,0.03623243554100655
HuBERT,MESD,procrustes,23,23,0.7450188994407654,0.6696630871295929,0.11098745465278625
HuBERT,MESD,centroid_transfer,20,20,0.4071925754060325,0.39122969837587007,0.04292343387470998
HuBERT,MSP-Podcast,cka,23,23,0.016416075983367865,0.007320987973734586,0.011350960379576171
HuBERT,MSP-Podcast,procrustes,1,1,0.7955276817083359,0.7556002318859101,0.07064007222652435
HuBERT,MSP-Podcast,centroid_transfer,22,22,0.3824102421374896,0.3107486779849708,0.1181927822618054
Whisper,RAVDESS,cka,24,24,0.1329069693890173,0.06908574172300268,0.08763003672419273
Whisper,RAVDESS,procrustes,24,24,0.7555232346057892,0.5456098985671997,0.3017791211605072
Whisper,RAVDESS,centroid_transfer,24,24,0.6101036269430051,0.27597582037996543,0.39119170984455953
Whisper,EmoDB,cka,1,1,0.23516623939408135,0.11037679133731754,0.204527946171059
Whisper,EmoDB,procrustes,24,24,0.7505241632461548,0.5669006764888763,0.2606334090232849
Whisper,EmoDB,centroid_transfer,6,6,0.8317757009345794,0.4790280373831777,0.502803738317757
Whisper,IEMOCAP,cka,CNN,0,0.1087386185253706,0.040503220942171334,0.09704150530960287
Whisper,IEMOCAP,procrustes,24,24,0.8487170487642288,0.6036896198987961,0.3021673113107681
Whisper,IEMOCAP,centroid_transfer,24,24,0.4562271062271062,0.37983150183150177,0.126007326007326
Whisper,SAVEE,cka,24,24,0.12722179113218102,0.061202273161778,0.0849815561846331
Whisper,SAVEE,procrustes,24,24,0.7807020992040634,0.641990242600441,0.25512878596782684
Whisper,SAVEE,centroid_transfer,24,24,0.5666666666666667,0.37183333333333335,0.32916666666666666
Whisper,AESDD,cka,6,6,0.08356378882817116,0.041364467919854396,0.056860779520193305
Whisper,AESDD,procrustes,CNN,0,0.7860309034585953,0.6291529279947281,0.2169065624475479
Whisper,AESDD,centroid_transfer,6,6,0.7119205298013245,0.3959602649006622,0.42715231788079466
Whisper,MESD,cka,24,24,0.08226720091587354,0.03254154190870231,0.07264480516405072
Whisper,MESD,procrustes,24,24,0.8545216470956802,0.6100353187322617,0.4574899226427078
Whisper,MESD,centroid_transfer,7,7,0.5754060324825986,0.3351740139211137,0.3352668213457076
Whisper,MSP-Podcast,cka,3,3,0.03622364100818073,0.011623780119076674,0.035380201498938044
Whisper,MSP-Podcast,procrustes,24,24,0.8607407212257385,0.5897960007190705,0.35665979981422424
Whisper,MSP-Podcast,centroid_transfer,24,24,0.48334724928100936,0.18727154652565173,0.3618146395769552
WavLM,RAVDESS,cka,11,11,0.13490648076330344,0.10772924845538417,0.05443476138348796
WavLM,RAVDESS,procrustes,11,11,0.772125855088234,0.7456011736392975,0.07755215466022491
WavLM,RAVDESS,centroid_transfer,11,11,0.6269430051813472,0.5274093264248704,0.27288428324697755
WavLM,EmoDB,cka,CNN,0,0.07893528302602021,0.04841174660916976,0.04821261917775437
WavLM,EmoDB,procrustes,22,22,0.7393450140953064,0.7045462942123413,0.06020224094390869
WavLM,EmoDB,centroid_transfer,4,4,0.5158878504672897,0.43641121495327106,0.13271028037383176
WavLM,IEMOCAP,cka,18,18,0.017665602333806683,0.014843018786485251,0.008734552427768353
WavLM,IEMOCAP,procrustes,10,10,0.7400400042533875,0.7057823204994201,0.08435025811195374
WavLM,IEMOCAP,centroid_transfer,4,4,0.4575091575091575,0.38045421245421246,0.1380952380952381
WavLM,SAVEE,cka,CNN,0,0.07861358917282416,0.03071865915388026,0.06332448785502161
WavLM,SAVEE,procrustes,20,20,0.8328312933444977,0.7626736807823181,0.1357041299343109
WavLM,SAVEE,centroid_transfer,3,3,0.48125,0.39275,0.1875
WavLM,AESDD,cka,CNN,0,0.027836492735840067,0.02140861613181454,0.01201143712614798
WavLM,AESDD,procrustes,11,11,0.7597506791353226,0.7213484275341034,0.08881591260433197
WavLM,AESDD,centroid_transfer,9,9,0.5248344370860927,0.4616556291390728,0.1440397350993377
WavLM,MESD,cka,CNN,0,0.05475689954913803,0.038146856325727604,0.02921495209061245
WavLM,MESD,procrustes,4,4,0.755718544125557,0.7175499719381332,0.10105465352535248
WavLM,MESD,centroid_transfer,4,4,0.4617169373549884,0.3876566125290023,0.1589327146171694
WavLM,MSP-Podcast,cka,22,22,0.015312305340391212,0.008114005996259386,0.010561080428463383
WavLM,MSP-Podcast,procrustes,1,1,0.8005182296037674,0.760057253241539,0.08746044337749481
WavLM,MSP-Podcast,centroid_transfer,22,22,0.40050097411633734,0.31088598200204104,0.14129325540402637
MERT,RAVDESS,cka,1,1,0.10869205975108062,0.08920362742155698,0.053978205281698416
MERT,RAVDESS,procrustes,9,9,0.7166204750537872,0.7018087148666382,0.07635530829429626
MERT,RAVDESS,centroid_transfer,4,4,0.44905008635578586,0.40682210708117444,0.12435233160621761
MERT,EmoDB,cka,7,7,0.10869468690889494,0.09041941134124182,0.07707828552047394
MERT,EmoDB,procrustes,CNN,0,0.7120055854320526,0.6783160102367402,0.08320838212966919
MERT,EmoDB,centroid_transfer,1,1,0.5887850467289719,0.5146168224299065,0.24672897196261678
MERT,IEMOCAP,cka,5,5,0.025951556531265327,0.02210945554836129,0.012272861417083763
MERT,IEMOCAP,procrustes,24,24,0.8307832777500153,0.6685467660427094,0.24353563785552979
MERT,IEMOCAP,centroid_transfer,1,1,0.4532967032967033,0.42429304029304027,0.11446886446886445
MERT,SAVEE,cka,1,1,0.11535315464062323,0.07819921724051894,0.08610219922195907
MERT,SAVEE,procrustes,CNN,0,0.7465959191322327,0.7127911603450775,0.060948699712753296
MERT,SAVEE,centroid_transfer,8,8,0.44583333333333336,0.40391666666666665,0.11250000000000004
MERT,AESDD,cka,1,1,0.0437090598546009,0.0354152075184799,0.03344262956039395
MERT,AESDD,procrustes,24,24,0.7015120089054108,0.6646922779083252,0.05117160081863403
MERT,AESDD,centroid_transfer,5,5,0.5529801324503312,0.4720529801324503,0.21523178807947024
MERT,MESD,cka,4,4,0.06276564351656334,0.04986319917687647,0.03687956961499033
MERT,MESD,procrustes,10,10,0.7460878491401672,0.7230750370025635,0.09060582518577576
MERT,MESD,centroid_transfer,2,2,0.48259860788863107,0.425754060324826,0.15661252900232014
MERT,MSP-Podcast,cka,13,13,0.01984848656529386,0.015528649127053007,0.016390039276958115
MERT,MSP-Podcast,procrustes,2,2,0.743433803319931,0.6987475514411926,0.07618018984794617
MERT,MSP-Podcast,centroid_transfer,12,12,0.32702477038686334,0.3114203543928008,0.06373504035624827
w2v-BERT,RAVDESS,cka,16,16,0.0973974270308192,0.07477455109837401,0.07826315994344825
w2v-BERT,RAVDESS,procrustes,CNN,0,0.827099397778511,0.7448456418514252,0.10569910705089569
w2v-BERT,RAVDESS,centroid_transfer,17,17,0.5362694300518135,0.4437478411053541,0.28281519861830745
w2v-BERT,EmoDB,cka,3,3,0.11244891685512012,0.0752765317114,0.06146723026212916
w2v-BERT,EmoDB,procrustes,10,10,0.7557883113622665,0.7341496670246124,0.03902174532413483
w2v-BERT,EmoDB,centroid_transfer,3,3,0.5700934579439252,0.49981308411214953,0.17383177570093455
w2v-BERT,IEMOCAP,cka,3,3,0.028782875889475916,0.01931338070106356,0.015619371665364085
w2v-BERT,IEMOCAP,procrustes,1,1,0.7745657563209534,0.7018015313148499,0.12720578908920288
w2v-BERT,IEMOCAP,centroid_transfer,17,17,0.44487179487179485,0.39835897435897444,0.0998168498168498
w2v-BERT,SAVEE,cka,3,3,0.051408982082838124,0.0366278736371437,0.03769915952368087
w2v-BERT,SAVEE,procrustes,10,10,0.7390267848968506,0.7229654586315155,0.035212159156799316
w2v-BERT,SAVEE,centroid_transfer,17,17,0.5166666666666667,0.43016666666666664,0.2020833333333334
w2v-BERT,AESDD,cka,5,5,0.04046869514108326,0.028591081149057854,0.025033375182425172
w2v-BERT,AESDD,procrustes,CNN,0,0.7536748051643372,0.7322049444913864,0.05950644612312317
w2v-BERT,AESDD,centroid_transfer,17,17,0.6556291390728477,0.51,0.35927152317880795
w2v-BERT,MESD,cka,3,3,0.0683639738822769,0.048531354332094434,0.04442521653797781
w2v-BERT,MESD,procrustes,1,1,0.7916568368673325,0.733865687251091,0.14495225250720978
w2v-BERT,MESD,centroid_transfer,3,3,0.4965197215777262,0.4502088167053364,0.14617169373549882
w2v-BERT,MSP-Podcast,cka,3,3,0.014285251041448852,0.00774860037242547,0.012555724592119103
w2v-BERT,MSP-Podcast,procrustes,CNN,0,0.8701545894145966,0.8069547867774963,0.10427963733673096
w2v-BERT,MSP-Podcast,centroid_transfer,17,17,0.3776788199276371,0.33378235457834676,0.13071713517023842
