Model,Dataset,Metric,Best_Layer,Best_Layer_Num,Best_Value,Mean_Value,Max_Minus_Min
wav2vec2,RAVDESS,cka,10,10,0.16542714074966486,0.11261106999754021,0.11418898081162945
wav2vec2,RAVDESS,procrustes,10,10,0.7843097597360611,0.747051705121994,0.1280602365732193
wav2vec2,RAVDESS,centroid_transfer,10,10,0.6044905008635578,0.4950949913644214,0.28929188255613125
wav2vec2,EmoDB,cka,7,7,0.0649101844336106,0.04338481690075858,0.04981036025631303
wav2vec2,EmoDB,procrustes,16,16,0.7609903216362,0.7275372403860092,0.09448716044425964
wav2vec2,EmoDB,centroid_transfer,7,7,0.5214953271028038,0.41592523364485984,0.24672897196261684
wav2vec2,IEMOCAP,cka,5,5,0.019807783021260707,0.014275014634970573,0.008988599280805674
wav2vec2,IEMOCAP,procrustes,24,24,0.7706772983074188,0.6849691468477249,0.13793373107910156
wav2vec2,IEMOCAP,centroid_transfer,5,5,0.4606227106227106,0.4007032967032967,0.15201465201465197
wav2vec2,SAVEE,cka,CNN,0,0.07325764913960361,0.036391235781251134,0.059052897581329464
wav2vec2,SAVEE,procrustes,22,22,0.8062675446271896,0.7692434531450272,0.10255812108516693
wav2vec2,SAVEE,centroid_transfer,8,8,0.4625,0.38658333333333333,0.1604166666666667
wav2vec2,AESDD,cka,9,9,0.027730552459099698,0.020100825637798758,0.014632831103285298
wav2vec2,AESDD,procrustes,1,1,0.7775555849075317,0.7146607792377472,0.13096433877944946
wav2vec2,AESDD,centroid_transfer,9,9,0.5943708609271523,0.45867549668874175,0.2731788079470199
wav2vec2,MESD,cka,9,9,0.07118880136214827,0.049668844885363335,0.0441694002303987
wav2vec2,MESD,procrustes,8,8,0.774988666176796,0.743087284564972,0.0898926705121994
wav2vec2,MESD,centroid_transfer,7,7,0.5278422273781903,0.4316009280742459,0.22389791183294672
wav2vec2,MSP-Podcast,cka,23,23,0.01257325168156651,0.00652161466411817,0.009482515613761407
wav2vec2,MSP-Podcast,procrustes,CNN,0,0.8482243865728378,0.7229453617334366,0.31862036883831024
wav2vec2,MSP-Podcast,centroid_transfer,2,2,0.34780591891641155,0.28630485202708966,0.14658131552092032
HuBERT,RAVDESS,cka,13,13,0.15017194939604717,0.11006677551026232,0.0712519374902926
