Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.4553,0.0051,0.395
Layer 1,1,0.4445,0.0074,0.4028
Layer 2,2,0.4372,0.0051,0.4055
Layer 3,3,0.4325,0.0045,0.4066
Layer 4,4,0.4367,0.0113,0.4163
Layer 5,5,0.4312,0.0056,0.4144
Layer 6,6,0.4344,0.0055,0.4183
Layer 7,7,0.432,0.0066,0.4181
Layer 8,8,0.4358,0.0072,0.4216
Layer 9,9,0.4398,0.0096,0.4258
Layer 10,10,0.4378,0.0061,0.4245
Layer 11,11,0.439,0.005,0.4265
Layer 12,12,0.4393,0.0045,0.4277
Layer 13,13,0.439,0.0115,0.4283
Layer 14,14,0.4404,0.0096,0.43
Layer 15,15,0.4401,0.0082,0.4287
Layer 16,16,0.4386,0.0074,0.4297
Layer 17,17,0.4346,0.0071,0.4269
Layer 18,18,0.4357,0.0074,0.4276
Layer 19,19,0.4395,0.0085,0.4314
Layer 20,20,0.4393,0.0114,0.4318
Layer 21,21,0.4427,0.0094,0.4365
Layer 22,22,0.4494,0.0115,0.4432
Layer 23,23,0.4495,0.0063,0.4432
Layer 24,24,0.4513,0.0053,0.4463
