Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.4375,0.0075,0.3747
Layer 1,1,0.4128,0.0024,0.3762
Layer 2,2,0.4039,0.0053,0.3817
Layer 3,3,0.4047,0.0039,0.3882
Layer 4,4,0.4004,0.0071,0.3856
Layer 5,5,0.4047,0.0024,0.3908
Layer 6,6,0.4071,0.0073,0.3911
Layer 7,7,0.4059,0.0037,0.3905
Layer 8,8,0.4012,0.0069,0.3885
Layer 9,9,0.4095,0.0037,0.396
Layer 10,10,0.4117,0.0024,0.3976
Layer 11,11,0.4131,0.0054,0.3982
Layer 12,12,0.4178,0.0055,0.4045
Layer 13,13,0.4161,0.0094,0.4026
Layer 14,14,0.4192,0.0018,0.4053
Layer 15,15,0.415,0.0045,0.403
Layer 16,16,0.4143,0.0087,0.4027
Layer 17,17,0.4154,0.0056,0.4044
Layer 18,18,0.4181,0.0061,0.4064
Layer 19,19,0.42,0.0039,0.41
Layer 20,20,0.4196,0.0058,0.41
Layer 21,21,0.4186,0.0063,0.408
Layer 22,22,0.4228,0.0065,0.4104
Layer 23,23,0.4236,0.0071,0.4087
Layer 24,24,0.4231,0.007,0.4073
