Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.4421,0.0045,0.3797
Layer 1,1,0.4366,0.007,0.3942
Layer 2,2,0.4275,0.004,0.3978
Layer 3,3,0.4262,0.0044,0.4004
Layer 4,4,0.421,0.0065,0.4008
Layer 5,5,0.4227,0.0069,0.4057
Layer 6,6,0.427,0.0017,0.4117
Layer 7,7,0.4244,0.0037,0.4105
Layer 8,8,0.4307,0.0056,0.4168
Layer 9,9,0.436,0.0086,0.4219
Layer 10,10,0.4292,0.0053,0.4165
Layer 11,11,0.4309,0.0077,0.4192
Layer 12,12,0.4296,0.0066,0.4191
Layer 13,13,0.4361,0.0099,0.4247
Layer 14,14,0.4375,0.0111,0.4269
Layer 15,15,0.4351,0.0051,0.4256
Layer 16,16,0.4393,0.0113,0.4291
Layer 17,17,0.4365,0.0058,0.4285
Layer 18,18,0.435,0.0096,0.4266
Layer 19,19,0.4388,0.0076,0.4307
Layer 20,20,0.4409,0.007,0.4324
Layer 21,21,0.4363,0.0067,0.4303
Layer 22,22,0.4487,0.0065,0.4417
Layer 23,23,0.4529,0.0068,0.4465
Layer 24,24,0.45,0.0075,0.445
