Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.4763,0.0028,0.4202
Layer 1,1,0.4624,0.0089,0.4266
Layer 2,2,0.4477,0.0058,0.425
Layer 3,3,0.4457,0.0105,0.4269
Layer 4,4,0.4404,0.0037,0.4233
Layer 5,5,0.4433,0.006,0.4262
Layer 6,6,0.446,0.0034,0.4298
Layer 7,7,0.4386,0.0041,0.4236
Layer 8,8,0.4418,0.0042,0.4284
Layer 9,9,0.4375,0.004,0.4238
Layer 10,10,0.4429,0.0081,0.4289
Layer 11,11,0.4393,0.0044,0.4259
Layer 12,12,0.4434,0.0062,0.4301
Layer 13,13,0.4494,0.0084,0.4351
Layer 14,14,0.4469,0.0086,0.4324
Layer 15,15,0.4401,0.0056,0.429
Layer 16,16,0.4482,0.0047,0.4366
Layer 17,17,0.4448,0.0085,0.4343
Layer 18,18,0.4429,0.0024,0.4325
Layer 19,19,0.445,0.0101,0.4357
Layer 20,20,0.4405,0.0061,0.4317
Layer 21,21,0.4476,0.0039,0.4379
Layer 22,22,0.4476,0.0049,0.4379
Layer 23,23,0.4458,0.0061,0.4337
Layer 24,24,0.4466,0.0045,0.435
