Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.4423,0.0035,0.3761
Layer 1,1,0.4159,0.0057,0.3823
Layer 2,2,0.3995,0.0036,0.3794
Layer 3,3,0.4068,0.0064,0.3895
Layer 4,4,0.4026,0.005,0.3862
Layer 5,5,0.4082,0.0051,0.3928
Layer 6,6,0.4084,0.0067,0.3953
Layer 7,7,0.4165,0.0041,0.4036
Layer 8,8,0.411,0.0036,0.3965
Layer 9,9,0.417,0.0039,0.4035
Layer 10,10,0.4142,0.0027,0.4011
Layer 11,11,0.4221,0.0051,0.4097
Layer 12,12,0.4189,0.0061,0.4061
Layer 13,13,0.4178,0.0067,0.4049
Layer 14,14,0.416,0.008,0.4047
Layer 15,15,0.4172,0.0038,0.4052
Layer 16,16,0.4201,0.0063,0.4083
Layer 17,17,0.4293,0.0048,0.4171
Layer 18,18,0.4332,0.0027,0.4208
Layer 19,19,0.4264,0.0086,0.4153
Layer 20,20,0.4265,0.0043,0.4155
Layer 21,21,0.4307,0.0073,0.4186
Layer 22,22,0.4369,0.0045,0.4208
Layer 23,23,0.4254,0.0068,0.4098
Layer 24,24,0.4257,0.0095,0.4087
