Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.4465,0.0043,0.3823
Layer 1,1,0.4236,0.0049,0.3918
Layer 2,2,0.4081,0.0032,0.3892
Layer 3,3,0.413,0.0044,0.3967
Layer 4,4,0.4071,0.0056,0.3924
Layer 5,5,0.4151,0.0029,0.4009
Layer 6,6,0.4141,0.0123,0.402
Layer 7,7,0.4182,0.0077,0.4064
Layer 8,8,0.4179,0.0099,0.4048
Layer 9,9,0.4189,0.0059,0.4066
Layer 10,10,0.4237,0.0051,0.4102
Layer 11,11,0.4229,0.0054,0.41
Layer 12,12,0.4223,0.0009,0.41
Layer 13,13,0.4246,0.008,0.4116
Layer 14,14,0.4267,0.0108,0.4141
Layer 15,15,0.4286,0.009,0.4173
Layer 16,16,0.4291,0.0067,0.4181
Layer 17,17,0.4354,0.0102,0.4245
Layer 18,18,0.4324,0.0039,0.4238
Layer 19,19,0.4367,0.0125,0.4273
Layer 20,20,0.4325,0.0111,0.4227
Layer 21,21,0.438,0.0077,0.4267
Layer 22,22,0.4393,0.0056,0.4254
Layer 23,23,0.4355,0.011,0.4219
Layer 24,24,0.433,0.0068,0.4179
