Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.4359,0.0079,0.3758
Layer 1,1,0.413,0.0078,0.377
Layer 2,2,0.4036,0.0041,0.3783
Layer 3,3,0.4039,0.0046,0.3821
Layer 4,4,0.4069,0.0064,0.387
Layer 5,5,0.403,0.0063,0.3861
Layer 6,6,0.3972,0.0052,0.3823
Layer 7,7,0.4053,0.007,0.3894
Layer 8,8,0.4028,0.0076,0.3875
Layer 9,9,0.407,0.0072,0.3916
Layer 10,10,0.4037,0.0014,0.3872
Layer 11,11,0.4089,0.0062,0.3926
Layer 12,12,0.401,0.0031,0.3847
Layer 13,13,0.4043,0.007,0.3872
Layer 14,14,0.4062,0.0033,0.3896
Layer 15,15,0.4015,0.0042,0.3858
Layer 16,16,0.4043,0.0044,0.3885
Layer 17,17,0.4022,0.0079,0.3877
Layer 18,18,0.4015,0.0082,0.3863
Layer 19,19,0.3989,0.0061,0.384
Layer 20,20,0.3981,0.0024,0.3839
Layer 21,21,0.3991,0.0065,0.3835
Layer 22,22,0.3958,0.0055,0.3818
Layer 23,23,0.397,0.0064,0.3821
Layer 24,24,0.3969,0.0053,0.3811
