feature,mi,monosemanticity,dominant_emotion,mi_sentence,margin_emo_minus_sentence,mi_actor,margin_emo_minus_actor
7182,0.14409132999015656,0.6479216814041138,anger,0.011074732979107466,0.1330165970110491,0.03872486681236079,0.10536646317779577
2183,0.1032240394046795,0.621375560760498,sadness,0.015786637928031137,0.08743740147664836,0.05994754960271754,0.04327648980196196
1149,0.0985895953351584,0.5193054676055908,sadness,0.04340881026906507,0.055180785066093335,0.07821127394730806,0.02037832138785034
2711,0.08906861905801493,0.6054447889328003,anger,0.043188172491551935,0.04588044656646299,0.022965985393043932,0.06610263366497099
4407,0.08558711795007405,0.5376126170158386,sadness,0.015337833111062354,0.0702492848390117,0.045912745665308036,0.039674372284766016
4396,0.08074223418957407,0.5295922160148621,sadness,0.006704864937331639,0.07403736925224244,0.07285583645289398,0.007886397736680095
4549,0.07983153982998933,0.5240704417228699,sadness,0.01572734889255494,0.0641041909374344,0.04191626937750046,0.037915270452488874
7650,0.07357531476502184,0.591646134853363,sadness,0.016106084549606346,0.057469230215415494,0.04432623024953739,0.02924908451548445
6667,0.07176986553966681,0.6702155470848083,anger,0.009820976610160468,0.06194888892950635,0.04578345563681722,0.025986409902849596
846,0.07001183034664536,0.5231820344924927,sadness,0.02303412954639213,0.046977700800253236,0.04979550397945548,0.020216326367189882
6182,0.06998487983267171,0.5196831822395325,sadness,0.010980460680236385,0.059004419152435324,0.057656223213163695,0.012328656619508015
970,0.06868264291110193,0.6560588479042053,sadness,0.026776743453115943,0.04190589945798599,0.04923262074923154,0.01945002216187039
2080,0.0682538468788029,0.5750678181648254,disgust,0.021578549092051248,0.046675297786751654,0.03251214312639064,0.03574170375241226
4915,0.0670356029099368,0.6751380562782288,sadness,0.007832889559830549,0.059202713350106254,0.04731455035741987,0.019721052552516938
180,0.06671713305888863,0.5833330750465393,sadness,0.024563571189406375,0.042153561869482256,0.04606536220679809,0.020651770852090537
783,0.06602840125723579,0.6378931403160095,anger,0.03861092229273026,0.027417478964505526,0.023207275018972427,0.04282112623826336
4874,0.06318291131549836,0.6943943500518799,sadness,0.011621167183238013,0.05156174413226035,0.043048449949338034,0.020134461366160324
6123,0.06314737879110245,0.7137830257415771,anger,0.005267298730903692,0.05788008006019876,0.051881628138210394,0.011265750652892058
604,0.05727119254568905,0.6036033630371094,anger,0.035805475903785335,0.021465716641903713,0.04723125529367321,0.010039937252015838
5782,0.05366408388045391,0.5585439205169678,anger,0.0383332181114162,0.015330865769037715,0.024657321932674066,0.029006761947779847
4692,0.05315977539649013,0.5058494210243225,happiness,0.013972274549526889,0.03918750084696324,0.022013300917774453,0.03114647447871568
7074,0.05191228845793239,0.5248352885246277,anger,0.015018346057707153,0.036893942400225234,0.019361128827709927,0.03255115963022246
6269,0.05164014792216504,0.6394644975662231,disgust,0.02689468154725068,0.024745466374914364,0.02795266409359909,0.023687483828565954
2298,0.050435660810571915,0.5255662202835083,anger,0.030191383090766792,0.020244277719805123,0.02369476797955844,0.026740892831013476
3265,0.048978994260975975,0.6053640246391296,happiness,0.019563659662693605,0.02941533459828237,0.021451076980519023,0.027527917280456952
2584,0.04842391733646013,0.5335366129875183,anger,0.018540716543600854,0.029883200792859273,0.028751603483240847,0.01967231385321928
7739,0.04766132434218946,0.5035446286201477,sadness,0.014653937818749439,0.03300738652344003,0.04485901676462843,0.0028023075775610307
1803,0.042617353271491784,0.674960732460022,anger,0.0060873848787505284,0.03652996839274125,0.04136271675289124,0.001254636518600541
667,0.04260056893734016,0.6558206677436829,disgust,0.04158567903761145,0.0010148898997287131,0.020371905806567323,0.02222866313077284
4835,0.0421103429264482,0.5505439043045044,anger,0.0416173321605434,0.0004930107659048,0.019922603111971138,0.02218773981447706
