feature,acoustic_auc,lexical_auc,margin,label,fire_rate
2183,0.9363815425482936,0.6058027863610528,0.33057875618724086,acoustic,0.2613544746036012
7182,0.9047041448456209,0.5778991069261513,0.3268050379194696,acoustic,0.32585326525127656
6667,0.9217546278399095,0.6046992285854881,0.3170553992544214,acoustic,0.1557377049180328
4915,0.9032309523053079,0.5896250019264222,0.3136059503788857,acoustic,0.15264713786616502
7650,0.9271109304404603,0.6180095136680135,0.30910141677244685,acoustic,0.1844934157484547
4396,0.8675940315484647,0.5616669771915409,0.3059270543569238,acoustic,0.3317656543939801
6123,0.881449353804704,0.577215813976456,0.30423353982824797,acoustic,0.13370061811341039
4549,0.9082768364222668,0.6081323617998211,0.30014447462244565,acoustic,0.22319269013705992
4874,0.9170406599898625,0.6225753874273317,0.29446527256253086,acoustic,0.1361193227626982
6182,0.8899261261534918,0.595876241240394,0.2940498849130978,acoustic,0.2043805428648213
1803,0.8801493012306274,0.5910919419269858,0.2890573593036416,acoustic,0.07847352862133836
1873,0.8993702513226894,0.612033420238886,0.2873368310838035,acoustic,0.07565170653050256
4407,0.8706785727920547,0.5971257267210479,0.2735528460710068,acoustic,0.39787691480784737
970,0.9465330932134013,0.6761927498575108,0.2703403433558905,acoustic,0.14888470841171728
180,0.9339237756014039,0.6636084110177363,0.27031536458366767,acoustic,0.1499596882558452
1305,0.8696248726759972,0.6119494955752871,0.2576753771007101,acoustic,0.08868583714055361
1038,0.9214076504111904,0.6680858156715996,0.2533218347395908,acoustic,0.06920182746573501
7153,0.886500883043704,0.6409944565040387,0.24550642653966526,acoustic,0.05388336468691212
7739,0.8769653913653812,0.6323407907941728,0.24462460057120838,acoustic,0.13235689330825048
604,0.904837990408241,0.668234222517188,0.23660376789105297,acoustic,0.14377855415210966
1149,0.8964620349692629,0.6599350562061377,0.23652697876312523,acoustic,0.43267938726148886
846,0.851479544061787,0.6265995049290708,0.22488003913271626,acoustic,0.32155334587476486
217,0.8861300742789335,0.6845292715234751,0.20160080275545844,acoustic,0.05872077398548777
2711,0.8892556946061818,0.7002816276839547,0.18897406692222707,acoustic,0.1874496103198065
5550,0.8229704134789761,0.6358830197046936,0.18708739377428252,acoustic,0.03843052942757323
7074,0.8105378282008188,0.6351815094786094,0.17535631872220936,acoustic,0.14821284600913734
5003,0.8737877740443853,0.7109129869900386,0.16287478705434677,acoustic,0.03238376780435367
6768,0.867925295128979,0.7129150188138198,0.15501027631515918,acoustic,0.06302069336199946
2692,0.886418154419126,0.737050103754803,0.14936805066432302,acoustic,0.050792797635044344
783,0.844882093595549,0.7019009991403636,0.14298109445518536,acoustic,0.1624563289438323
7040,0.7887371084630207,0.6471521222732186,0.1415849861898021,acoustic,0.06920182746573501
2584,0.7686281688210248,0.6295140775980957,0.13911409122292906,acoustic,0.17965600644987906
4692,0.7256483035454754,0.5867336279599915,0.13891467558548387,acoustic,0.4596882558452029
1779,0.8510087044247593,0.7157453177096237,0.1352633867151356,acoustic,0.04783660306369256
3711,0.8221260676484702,0.6914151190246074,0.1307109486238628,acoustic,0.0999731255038968
5291,0.8896300630755123,0.759930650772781,0.1296994123027313,acoustic,0.03144316044074174
4704,0.7731364711073152,0.6473253181302387,0.12581115297707646,acoustic,0.09983875302338081
1929,0.837930472138732,0.713693558480102,0.12423691365862999,acoustic,0.03507121741467348
5782,0.8054540353225367,0.6831380214629783,0.12231601385955837,acoustic,0.18785272776135448
3170,0.7877104136671521,0.6684494887771613,0.11926092488999085,acoustic,0.08156409567320613
640,0.7984917207590456,0.6823007981513931,0.11619092260765251,acoustic,0.07874227358237033
2080,0.7686301240013803,0.6525636629233861,0.11606646107799423,acoustic,0.166487503359312
5545,0.795719833460304,0.6826326883553675,0.11308714510493645,acoustic,0.09029830690674549
4835,0.8186720061472272,0.7094665679501612,0.10920543819706607,acoustic,0.1613813490997044
4172,0.7494194039724286,0.6425216862899994,0.10689771768242917,acoustic,0.16232195646331632
2298,0.7734543806636577,0.6699204189574302,0.10353396170622753,acoustic,0.17575920451491533
403,0.7610249155454611,0.6639291152194378,0.09709580032602338,acoustic,0.10467616232195646
7834,0.7988869041799087,0.7167987940774198,0.08208811010248895,acoustic,0.06597688793335126
3351,0.8063313549003646,0.7249958870261148,0.08133546787424972,acoustic,0.04985219027143241
3877,0.8366513599122294,0.7590199695634479,0.07763139034878153,acoustic,0.026471378661650093
2704,0.7832622333274343,0.720624939071152,0.06263729425628228,acoustic,0.09661381349099704
7372,0.7022056613353745,0.6399680606843547,0.0622376006510198,acoustic,0.08841709217952164
4952,0.7615751131697855,0.6995599139231183,0.06201519924666721,acoustic,0.11515721580220371
3265,0.6760737271310161,0.6153724734429096,0.06070125368810653,acoustic,0.3441279226014512
5235,0.7454793891491164,0.6869238998769558,0.05855548927216059,acoustic,0.0569739317387799
6269,0.7177339788560719,0.6609342431475111,0.05679973570856078,acoustic,0.152781510346681
4032,0.7582444326215935,0.7016452434734023,0.056599189148191176,acoustic,0.04111797903789304
7425,0.7735770072628766,0.7246922247168379,0.048884782546038674,acoustic,0.0624832034399355
5627,0.7188435518788228,0.6787503746979866,0.04009317718083616,acoustic,0.07780166621875839
396,0.6599879741768325,0.6441391790295896,0.01584879514724291,acoustic,0.26766998118785273
667,0.7251979701620052,0.7330226905255746,-0.007824720363569404,lexical,0.12536952432141898
