Feature,Mutual_Information,RF_Importance
EmoAct,0.19656273798759316,0.2511731329460379
EmoVal,0.3411252595158196,0.4795798612509621
EmoDom,0.20012974725000032,0.22062479675761895
Gender_Num,0.015147663708160675,0.04862220904538108
