Model,Best_Layer,Best_Acc,Best_F1,CNN_Acc,Last_Layer_Acc,Mean_Acc
wav2vec2,9,0.6939010629924102,0.6937924300697438,0.6265759837373716,0.509810473941521,0.6488322645637904
HuBERT,13,0.7496651068408472,0.7495583829609433,0.640152696837742,0.7215822844226839,0.71219170692606
WavLM,14,0.761488821248294,0.7616683365435568,0.6312839857882537,0.7164752088794529,0.7250057085292141
w2v-BERT,17,0.7296449951977585,0.7297797649592483,0.30650153094015614,0.6099172606281187,0.6636719202466835
