Layer,Layer_Num,RMSE,Target,SNR
Layer 23,23,0.8017,EmoAct,0
Layer 24,24,0.8113,EmoAct,0
CNN,0,0.9659,EmoVal,5
Layer 1,1,0.9619,EmoVal,5
Layer 2,2,0.9474,EmoVal,5
Layer 3,3,0.9211,EmoVal,5
Layer 4,4,0.9125,EmoVal,5
Layer 5,5,0.9101,EmoVal,5
Layer 6,6,0.9066,EmoVal,5
Layer 7,7,0.9071,EmoVal,5
Layer 8,8,0.9152,EmoVal,5
Layer 9,9,0.9108,EmoVal,5
Layer 10,10,0.9049,EmoVal,5
Layer 11,11,0.9015,EmoVal,5
Layer 12,12,0.8882,EmoVal,5
Layer 13,13,0.8854,EmoVal,5
Layer 14,14,0.8852,EmoVal,5
Layer 15,15,0.8946,EmoVal,5
Layer 16,16,0.8975,EmoVal,5
Layer 17,17,0.8936,EmoVal,5
Layer 18,18,0.9039,EmoVal,5
Layer 19,19,0.9092,EmoVal,5
Layer 20,20,0.9173,EmoVal,5
Layer 21,21,0.9209,EmoVal,5
Layer 22,22,0.9274,EmoVal,5
Layer 23,23,0.9399,EmoVal,5
Layer 24,24,0.9423,EmoVal,5
CNN,0,0.8045,EmoDom,20
Layer 1,1,0.7364,EmoDom,20
Layer 2,2,0.7199,EmoDom,20
Layer 3,3,0.7083,EmoDom,20
Layer 4,4,0.7055,EmoDom,20
Layer 5,5,0.7088,EmoDom,20
Layer 6,6,0.7074,EmoDom,20
Layer 7,7,0.7078,EmoDom,20
Layer 8,8,0.7088,EmoDom,20
Layer 9,9,0.7055,EmoDom,20
Layer 10,10,0.7072,EmoDom,20
Layer 11,11,0.7104,EmoDom,20
Layer 12,12,0.7146,EmoDom,20
Layer 13,13,0.7166,EmoDom,20
Layer 14,14,0.7111,EmoDom,20
Layer 15,15,0.7085,EmoDom,20
Layer 16,16,0.7073,EmoDom,20
Layer 17,17,0.7009,EmoDom,20
Layer 18,18,0.7063,EmoDom,20
Layer 19,19,0.712,EmoDom,20
Layer 20,20,0.709,EmoDom,20
Layer 21,21,0.7183,EmoDom,20
Layer 22,22,0.7216,EmoDom,20
Layer 23,23,0.7272,EmoDom,20
Layer 24,24,0.7343,EmoDom,20
CNN,0,0.924,EmoAct,20
Layer 1,1,0.7892,EmoAct,20
Layer 2,2,0.7603,EmoAct,20
Layer 3,3,0.7387,EmoAct,20
Layer 4,4,0.7368,EmoAct,20
Layer 5,5,0.7391,EmoAct,20
Layer 6,6,0.7364,EmoAct,20
Layer 7,7,0.7401,EmoAct,20
Layer 8,8,0.7403,EmoAct,20
Layer 9,9,0.7394,EmoAct,20
Layer 10,10,0.7381,EmoAct,20
Layer 11,11,0.7385,EmoAct,20
Layer 12,12,0.7485,EmoAct,20
Layer 13,13,0.7486,EmoAct,20
Layer 14,14,0.742,EmoAct,20
Layer 15,15,0.7391,EmoAct,20
Layer 16,16,0.7373,EmoAct,20
Layer 17,17,0.7317,EmoAct,20
Layer 18,18,0.7407,EmoAct,20
Layer 19,19,0.7434,EmoAct,20
Layer 20,20,0.7449,EmoAct,20
Layer 21,21,0.754,EmoAct,20
Layer 22,22,0.7605,EmoAct,20
Layer 23,23,0.7682,EmoAct,20
Layer 24,24,0.7819,EmoAct,20
CNN,0,0.8054,EmoDom,10
Layer 1,1,0.7469,EmoDom,10
Layer 2,2,0.7294,EmoDom,10
Layer 3,3,0.7144,EmoDom,10
Layer 4,4,0.7119,EmoDom,10
Layer 5,5,0.7149,EmoDom,10
Layer 6,6,0.7145,EmoDom,10
Layer 7,7,0.7162,EmoDom,10
Layer 8,8,0.7169,EmoDom,10
Layer 9,9,0.7116,EmoDom,10
Layer 10,10,0.7147,EmoDom,10
Layer 11,11,0.7173,EmoDom,10
Layer 12,12,0.7195,EmoDom,10
Layer 13,13,0.721,EmoDom,10
Layer 14,14,0.7169,EmoDom,10
Layer 15,15,0.7166,EmoDom,10
Layer 16,16,0.7127,EmoDom,10
Layer 17,17,0.7097,EmoDom,10
Layer 18,18,0.7144,EmoDom,10
