Layer,Layer_Num,RMSE,Target,SNR
Layer 4,4,0.7015,EmoDom,20
Layer 5,5,0.7018,EmoDom,20
Layer 6,6,0.7025,EmoDom,20
Layer 7,7,0.7027,EmoDom,20
Layer 8,8,0.7022,EmoDom,20
Layer 9,9,0.7013,EmoDom,20
Layer 10,10,0.7017,EmoDom,20
Layer 11,11,0.7055,EmoDom,20
Layer 12,12,0.7044,EmoDom,20
Layer 13,13,0.7053,EmoDom,20
Layer 14,14,0.7041,EmoDom,20
Layer 15,15,0.7037,EmoDom,20
Layer 16,16,0.7039,EmoDom,20
Layer 17,17,0.7074,EmoDom,20
Layer 18,18,0.708,EmoDom,20
Layer 19,19,0.7092,EmoDom,20
Layer 20,20,0.7089,EmoDom,20
Layer 21,21,0.7102,EmoDom,20
Layer 22,22,0.709,EmoDom,20
Layer 23,23,0.7073,EmoDom,20
Layer 24,24,0.7113,EmoDom,20
CNN,0,0.9403,EmoVal,10
Layer 1,1,0.9322,EmoVal,10
Layer 2,2,0.9286,EmoVal,10
Layer 3,3,0.923,EmoVal,10
Layer 4,4,0.9204,EmoVal,10
Layer 5,5,0.9173,EmoVal,10
Layer 6,6,0.9127,EmoVal,10
Layer 7,7,0.9136,EmoVal,10
Layer 8,8,0.9104,EmoVal,10
Layer 9,9,0.9131,EmoVal,10
Layer 10,10,0.9059,EmoVal,10
Layer 11,11,0.9036,EmoVal,10
Layer 12,12,0.8993,EmoVal,10
Layer 13,13,0.8954,EmoVal,10
Layer 14,14,0.897,EmoVal,10
Layer 15,15,0.8935,EmoVal,10
Layer 16,16,0.8879,EmoVal,10
Layer 17,17,0.8821,EmoVal,10
Layer 18,18,0.8749,EmoVal,10
Layer 19,19,0.8739,EmoVal,10
Layer 20,20,0.8777,EmoVal,10
Layer 21,21,0.8744,EmoVal,10
Layer 22,22,0.8789,EmoVal,10
Layer 23,23,0.8916,EmoVal,10
Layer 24,24,0.8913,EmoVal,10
CNN,0,0.7421,EmoDom,5
Layer 1,1,0.7343,EmoDom,5
Layer 2,2,0.7271,EmoDom,5
Layer 3,3,0.7223,EmoDom,5
Layer 4,4,0.72,EmoDom,5
Layer 5,5,0.7197,EmoDom,5
Layer 6,6,0.719,EmoDom,5
Layer 7,7,0.719,EmoDom,5
Layer 8,8,0.7179,EmoDom,5
Layer 9,9,0.7194,EmoDom,5
Layer 10,10,0.7151,EmoDom,5
Layer 11,11,0.7186,EmoDom,5
Layer 12,12,0.7199,EmoDom,5
Layer 13,13,0.7188,EmoDom,5
Layer 14,14,0.7171,EmoDom,5
Layer 15,15,0.7186,EmoDom,5
Layer 16,16,0.721,EmoDom,5
Layer 17,17,0.7258,EmoDom,5
Layer 18,18,0.727,EmoDom,5
Layer 19,19,0.7266,EmoDom,5
Layer 20,20,0.7272,EmoDom,5
Layer 21,21,0.7275,EmoDom,5
Layer 22,22,0.7295,EmoDom,5
Layer 23,23,0.7278,EmoDom,5
Layer 24,24,0.7301,EmoDom,5
CNN,0,0.7648,EmoAct,20
Layer 1,1,0.7528,EmoAct,20
Layer 2,2,0.7394,EmoAct,20
Layer 3,3,0.733,EmoAct,20
Layer 4,4,0.7332,EmoAct,20
