Layer,Layer_Num,RMSE,Target,SNR
Layer 23,23,0.7559,EmoAct,20
Layer 24,24,0.7552,EmoAct,20
CNN,0,0.7328,EmoDom,5
Layer 1,1,0.7298,EmoDom,5
Layer 2,2,0.7251,EmoDom,5
Layer 3,3,0.7192,EmoDom,5
Layer 4,4,0.7147,EmoDom,5
Layer 5,5,0.7158,EmoDom,5
Layer 6,6,0.7156,EmoDom,5
Layer 7,7,0.7154,EmoDom,5
Layer 8,8,0.7154,EmoDom,5
Layer 9,9,0.7158,EmoDom,5
Layer 10,10,0.7159,EmoDom,5
Layer 11,11,0.7155,EmoDom,5
Layer 12,12,0.7175,EmoDom,5
Layer 13,13,0.7207,EmoDom,5
Layer 14,14,0.7212,EmoDom,5
Layer 15,15,0.7199,EmoDom,5
Layer 16,16,0.7219,EmoDom,5
Layer 17,17,0.7225,EmoDom,5
Layer 18,18,0.7233,EmoDom,5
Layer 19,19,0.7225,EmoDom,5
Layer 20,20,0.7238,EmoDom,5
Layer 21,21,0.7253,EmoDom,5
Layer 22,22,0.7257,EmoDom,5
Layer 23,23,0.7245,EmoDom,5
Layer 24,24,0.7241,EmoDom,5
CNN,0,0.8048,EmoAct,5
Layer 1,1,0.7948,EmoAct,5
Layer 2,2,0.7847,EmoAct,5
Layer 3,3,0.7722,EmoAct,5
Layer 4,4,0.7649,EmoAct,5
Layer 5,5,0.764,EmoAct,5
Layer 6,6,0.7666,EmoAct,5
Layer 7,7,0.7639,EmoAct,5
Layer 8,8,0.7632,EmoAct,5
Layer 9,9,0.7612,EmoAct,5
Layer 10,10,0.7615,EmoAct,5
Layer 11,11,0.761,EmoAct,5
Layer 12,12,0.7636,EmoAct,5
Layer 13,13,0.7685,EmoAct,5
Layer 14,14,0.7695,EmoAct,5
Layer 15,15,0.771,EmoAct,5
Layer 16,16,0.7717,EmoAct,5
Layer 17,17,0.7744,EmoAct,5
Layer 18,18,0.7751,EmoAct,5
Layer 19,19,0.7759,EmoAct,5
Layer 20,20,0.7739,EmoAct,5
Layer 21,21,0.7787,EmoAct,5
Layer 22,22,0.7791,EmoAct,5
Layer 23,23,0.7786,EmoAct,5
Layer 24,24,0.7776,EmoAct,5
CNN,0,0.9638,EmoVal,0
Layer 1,1,0.9631,EmoVal,0
Layer 2,2,0.9634,EmoVal,0
Layer 3,3,0.9532,EmoVal,0
Layer 4,4,0.9512,EmoVal,0
Layer 5,5,0.9486,EmoVal,0
Layer 6,6,0.9494,EmoVal,0
Layer 7,7,0.9522,EmoVal,0
Layer 8,8,0.9466,EmoVal,0
Layer 9,9,0.944,EmoVal,0
Layer 10,10,0.9457,EmoVal,0
Layer 11,11,0.9472,EmoVal,0
Layer 12,12,0.9491,EmoVal,0
Layer 13,13,0.9472,EmoVal,0
Layer 14,14,0.9487,EmoVal,0
Layer 15,15,0.9496,EmoVal,0
Layer 16,16,0.9504,EmoVal,0
Layer 17,17,0.9487,EmoVal,0
Layer 18,18,0.9535,EmoVal,0
Layer 19,19,0.9542,EmoVal,0
Layer 20,20,0.9538,EmoVal,0
Layer 21,21,0.9531,EmoVal,0
Layer 22,22,0.9527,EmoVal,0
Layer 23,23,0.9546,EmoVal,0
Layer 24,24,0.954,EmoVal,0
CNN,0,0.7217,EmoDom,10
Layer 1,1,0.7213,EmoDom,10
Layer 2,2,0.7184,EmoDom,10
Layer 3,3,0.7127,EmoDom,10
Layer 4,4,0.7081,EmoDom,10
Layer 5,5,0.7097,EmoDom,10
Layer 6,6,0.7101,EmoDom,10
Layer 7,7,0.7094,EmoDom,10
Layer 8,8,0.7099,EmoDom,10
Layer 9,9,0.7104,EmoDom,10
Layer 10,10,0.711,EmoDom,10
Layer 11,11,0.7112,EmoDom,10
Layer 12,12,0.7111,EmoDom,10
Layer 13,13,0.7135,EmoDom,10
Layer 14,14,0.7143,EmoDom,10
Layer 15,15,0.713,EmoDom,10
Layer 16,16,0.7149,EmoDom,10
Layer 17,17,0.7156,EmoDom,10
Layer 18,18,0.7158,EmoDom,10
Layer 19,19,0.7137,EmoDom,10
Layer 20,20,0.7159,EmoDom,10
Layer 21,21,0.7176,EmoDom,10
Layer 22,22,0.7187,EmoDom,10
Layer 23,23,0.7184,EmoDom,10
Layer 24,24,0.7178,EmoDom,10
CNN,0,0.9337,EmoVal,20
Layer 1,1,0.9324,EmoVal,20
Layer 2,2,0.9281,EmoVal,20
Layer 3,3,0.9229,EmoVal,20
Layer 4,4,0.9202,EmoVal,20
Layer 5,5,0.9169,EmoVal,20
Layer 6,6,0.9176,EmoVal,20
Layer 7,7,0.9192,EmoVal,20
Layer 8,8,0.9147,EmoVal,20
Layer 9,9,0.915,EmoVal,20
Layer 10,10,0.9183,EmoVal,20
Layer 11,11,0.9195,EmoVal,20
Layer 12,12,0.9206,EmoVal,20
Layer 13,13,0.9183,EmoVal,20
Layer 14,14,0.9198,EmoVal,20
Layer 15,15,0.9187,EmoVal,20
Layer 16,16,0.9201,EmoVal,20
Layer 17,17,0.9223,EmoVal,20
Layer 18,18,0.9236,EmoVal,20
Layer 19,19,0.9252,EmoVal,20
Layer 20,20,0.9256,EmoVal,20
Layer 21,21,0.927,EmoVal,20
Layer 22,22,0.927,EmoVal,20
Layer 23,23,0.9278,EmoVal,20
Layer 24,24,0.9263,EmoVal,20
CNN,0,0.9558,EmoVal,5
Layer 1,1,0.9542,EmoVal,5
Layer 2,2,0.954,EmoVal,5
Layer 3,3,0.9432,EmoVal,5
Layer 4,4,0.9423,EmoVal,5
Layer 5,5,0.9381,EmoVal,5
Layer 6,6,0.9383,EmoVal,5
Layer 7,7,0.94,EmoVal,5
Layer 8,8,0.9368,EmoVal,5
Layer 9,9,0.9351,EmoVal,5
Layer 10,10,0.938,EmoVal,5
Layer 11,11,0.9396,EmoVal,5
Layer 12,12,0.9408,EmoVal,5
Layer 13,13,0.9371,EmoVal,5
Layer 14,14,0.9394,EmoVal,5
Layer 15,15,0.9393,EmoVal,5
Layer 16,16,0.9404,EmoVal,5
Layer 17,17,0.9391,EmoVal,5
Layer 18,18,0.9432,EmoVal,5
Layer 19,19,0.9447,EmoVal,5
Layer 20,20,0.9432,EmoVal,5
Layer 21,21,0.9422,EmoVal,5
Layer 22,22,0.9435,EmoVal,5
Layer 23,23,0.9451,EmoVal,5
Layer 24,24,0.9443,EmoVal,5
CNN,0,0.834,EmoAct,0
Layer 1,1,0.8182,EmoAct,0
Layer 2,2,0.8048,EmoAct,0
Layer 3,3,0.7894,EmoAct,0
Layer 4,4,0.7817,EmoAct,0
Layer 5,5,0.7806,EmoAct,0
Layer 6,6,0.7818,EmoAct,0
Layer 7,7,0.7803,EmoAct,0
Layer 8,8,0.7776,EmoAct,0
Layer 9,9,0.7759,EmoAct,0
Layer 10,10,0.7739,EmoAct,0
Layer 11,11,0.7743,EmoAct,0
Layer 12,12,0.7775,EmoAct,0
Layer 13,13,0.7833,EmoAct,0
Layer 14,14,0.7832,EmoAct,0
Layer 15,15,0.7848,EmoAct,0
Layer 16,16,0.7874,EmoAct,0
Layer 17,17,0.7888,EmoAct,0
Layer 18,18,0.7906,EmoAct,0
Layer 19,19,0.7912,EmoAct,0
