Layer,Layer_Num,RMSE,Target,SNR
Layer 23,23,0.7264,EmoAct,10
Layer 24,24,0.7257,EmoAct,10
CNN,0,0.7485,EmoDom,0
Layer 1,1,0.7321,EmoDom,0
Layer 2,2,0.7258,EmoDom,0
Layer 3,3,0.7189,EmoDom,0
Layer 4,4,0.7142,EmoDom,0
Layer 5,5,0.7122,EmoDom,0
Layer 6,6,0.7083,EmoDom,0
Layer 7,7,0.7068,EmoDom,0
Layer 8,8,0.705,EmoDom,0
Layer 9,9,0.7046,EmoDom,0
Layer 10,10,0.703,EmoDom,0
Layer 11,11,0.7023,EmoDom,0
Layer 12,12,0.7024,EmoDom,0
Layer 13,13,0.702,EmoDom,0
Layer 14,14,0.7045,EmoDom,0
Layer 15,15,0.7037,EmoDom,0
Layer 16,16,0.7028,EmoDom,0
Layer 17,17,0.7055,EmoDom,0
Layer 18,18,0.7024,EmoDom,0
Layer 19,19,0.7018,EmoDom,0
Layer 20,20,0.703,EmoDom,0
Layer 21,21,0.7034,EmoDom,0
Layer 22,22,0.7014,EmoDom,0
Layer 23,23,0.7024,EmoDom,0
Layer 24,24,0.7017,EmoDom,0
CNN,0,0.7274,EmoDom,10
Layer 1,1,0.7133,EmoDom,10
Layer 2,2,0.7094,EmoDom,10
Layer 3,3,0.7059,EmoDom,10
Layer 4,4,0.701,EmoDom,10
Layer 5,5,0.6984,EmoDom,10
Layer 6,6,0.6956,EmoDom,10
Layer 7,7,0.6951,EmoDom,10
Layer 8,8,0.6943,EmoDom,10
Layer 9,9,0.6934,EmoDom,10
Layer 10,10,0.6926,EmoDom,10
Layer 11,11,0.6922,EmoDom,10
Layer 12,12,0.6922,EmoDom,10
Layer 13,13,0.6929,EmoDom,10
Layer 14,14,0.694,EmoDom,10
Layer 15,15,0.6943,EmoDom,10
Layer 16,16,0.6938,EmoDom,10
Layer 17,17,0.6944,EmoDom,10
Layer 18,18,0.6931,EmoDom,10
Layer 19,19,0.6933,EmoDom,10
Layer 20,20,0.693,EmoDom,10
Layer 21,21,0.6935,EmoDom,10
Layer 22,22,0.6909,EmoDom,10
Layer 23,23,0.6913,EmoDom,10
Layer 24,24,0.6923,EmoDom,10
CNN,0,0.9215,EmoVal,20
Layer 1,1,0.9205,EmoVal,20
Layer 2,2,0.9132,EmoVal,20
Layer 3,3,0.9101,EmoVal,20
Layer 4,4,0.9021,EmoVal,20
Layer 5,5,0.8936,EmoVal,20
Layer 6,6,0.8888,EmoVal,20
Layer 7,7,0.885,EmoVal,20
Layer 8,8,0.8892,EmoVal,20
Layer 9,9,0.8861,EmoVal,20
Layer 10,10,0.8851,EmoVal,20
Layer 11,11,0.88,EmoVal,20
Layer 12,12,0.876,EmoVal,20
Layer 13,13,0.8787,EmoVal,20
Layer 14,14,0.8797,EmoVal,20
Layer 15,15,0.8782,EmoVal,20
Layer 16,16,0.8711,EmoVal,20
Layer 17,17,0.8657,EmoVal,20
Layer 18,18,0.8623,EmoVal,20
Layer 19,19,0.8591,EmoVal,20
Layer 20,20,0.8498,EmoVal,20
Layer 21,21,0.8383,EmoVal,20
Layer 22,22,0.8302,EmoVal,20
Layer 23,23,0.8241,EmoVal,20
Layer 24,24,0.822,EmoVal,20
CNN,0,0.7365,EmoDom,5
Layer 1,1,0.7209,EmoDom,5
Layer 2,2,0.7164,EmoDom,5
Layer 3,3,0.7112,EmoDom,5
Layer 4,4,0.7069,EmoDom,5
Layer 5,5,0.7048,EmoDom,5
Layer 6,6,0.7009,EmoDom,5
Layer 7,7,0.6998,EmoDom,5
Layer 8,8,0.6981,EmoDom,5
Layer 9,9,0.698,EmoDom,5
Layer 10,10,0.6971,EmoDom,5
Layer 11,11,0.6965,EmoDom,5
Layer 12,12,0.6962,EmoDom,5
Layer 13,13,0.6971,EmoDom,5
Layer 14,14,0.6986,EmoDom,5
Layer 15,15,0.6978,EmoDom,5
Layer 16,16,0.6972,EmoDom,5
Layer 17,17,0.6989,EmoDom,5
Layer 18,18,0.6971,EmoDom,5
Layer 19,19,0.697,EmoDom,5
Layer 20,20,0.6973,EmoDom,5
Layer 21,21,0.6978,EmoDom,5
Layer 22,22,0.6956,EmoDom,5
Layer 23,23,0.6957,EmoDom,5
Layer 24,24,0.6955,EmoDom,5
CNN,0,0.7718,EmoAct,20
Layer 1,1,0.746,EmoAct,20
Layer 2,2,0.7393,EmoAct,20
Layer 3,3,0.7341,EmoAct,20
Layer 4,4,0.7275,EmoAct,20
Layer 5,5,0.7254,EmoAct,20
Layer 6,6,0.7223,EmoAct,20
Layer 7,7,0.7197,EmoAct,20
