Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1,Model,Dataset,SNR
Layer 3,3,0.5865,0.0078,0.5828,HuBERT,MSP-Podcast,20
Layer 4,4,0.5852,0.0085,0.5829,HuBERT,MSP-Podcast,20
Layer 5,5,0.5834,0.0108,0.582,HuBERT,MSP-Podcast,20
Layer 6,6,0.5857,0.0063,0.5842,HuBERT,MSP-Podcast,20
Layer 7,7,0.5876,0.0104,0.5858,HuBERT,MSP-Podcast,20
Layer 8,8,0.5801,0.0093,0.579,HuBERT,MSP-Podcast,20
Layer 9,9,0.5825,0.0087,0.5811,HuBERT,MSP-Podcast,20
Layer 10,10,0.586,0.0096,0.5833,HuBERT,MSP-Podcast,20
Layer 11,11,0.5875,0.0072,0.5865,HuBERT,MSP-Podcast,20
Layer 12,12,0.5907,0.0032,0.59,HuBERT,MSP-Podcast,20
Layer 13,13,0.5929,0.0075,0.5918,HuBERT,MSP-Podcast,20
Layer 14,14,0.595,0.0077,0.5937,HuBERT,MSP-Podcast,20
Layer 15,15,0.59,0.01,0.5898,HuBERT,MSP-Podcast,20
Layer 16,16,0.5945,0.004,0.5951,HuBERT,MSP-Podcast,20
Layer 17,17,0.6022,0.0116,0.6032,HuBERT,MSP-Podcast,20
Layer 18,18,0.5982,0.0024,0.6,HuBERT,MSP-Podcast,20
Layer 19,19,0.6,0.0106,0.6016,HuBERT,MSP-Podcast,20
Layer 20,20,0.6072,0.0191,0.6082,HuBERT,MSP-Podcast,20
Layer 21,21,0.6084,0.0073,0.6094,HuBERT,MSP-Podcast,20
Layer 22,22,0.6046,0.0071,0.6037,HuBERT,MSP-Podcast,20
Layer 23,23,0.5988,0.008,0.5969,HuBERT,MSP-Podcast,20
Layer 24,24,0.5986,0.0096,0.5966,HuBERT,MSP-Podcast,20
CNN,0,0.5731,0.0051,0.5437,HuBERT,MSP-Podcast,5
Layer 1,1,0.5633,0.0086,0.5487,HuBERT,MSP-Podcast,5
Layer 2,2,0.5603,0.0067,0.5532,HuBERT,MSP-Podcast,5
Layer 3,3,0.5642,0.0062,0.5587,HuBERT,MSP-Podcast,5
Layer 4,4,0.5587,0.0056,0.5548,HuBERT,MSP-Podcast,5
Layer 5,5,0.568,0.0032,0.5646,HuBERT,MSP-Podcast,5
Layer 6,6,0.5651,0.0099,0.5619,HuBERT,MSP-Podcast,5
Layer 7,7,0.5708,0.0091,0.5672,HuBERT,MSP-Podcast,5
Layer 8,8,0.5664,0.0112,0.5647,HuBERT,MSP-Podcast,5
Layer 9,9,0.5714,0.0036,0.5689,HuBERT,MSP-Podcast,5
Layer 10,10,0.572,0.0071,0.57,HuBERT,MSP-Podcast,5
Layer 11,11,0.5691,0.0089,0.5679,HuBERT,MSP-Podcast,5
Layer 12,12,0.5746,0.0057,0.5735,HuBERT,MSP-Podcast,5
Layer 13,13,0.5812,0.0047,0.5792,HuBERT,MSP-Podcast,5
Layer 14,14,0.5808,0.0062,0.5784,HuBERT,MSP-Podcast,5
Layer 15,15,0.5796,0.0138,0.5788,HuBERT,MSP-Podcast,5
Layer 16,16,0.5869,0.0074,0.5857,HuBERT,MSP-Podcast,5
Layer 17,17,0.5808,0.0082,0.5814,HuBERT,MSP-Podcast,5
Layer 18,18,0.5826,0.0055,0.5832,HuBERT,MSP-Podcast,5
Layer 19,19,0.5857,0.0103,0.5868,HuBERT,MSP-Podcast,5
Layer 20,20,0.5804,0.0136,0.5806,HuBERT,MSP-Podcast,5
Layer 21,21,0.5824,0.0071,0.583,HuBERT,MSP-Podcast,5
Layer 22,22,0.5795,0.0079,0.5783,HuBERT,MSP-Podcast,5
Layer 23,23,0.5774,0.0127,0.5758,HuBERT,MSP-Podcast,5
Layer 24,24,0.5724,0.0066,0.5706,HuBERT,MSP-Podcast,5
