Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1,Model,Dataset,SNR
Layer 5,5,0.584,0.0078,0.5817,WavLM,MSP-Podcast,20
Layer 6,6,0.5838,0.0079,0.5821,WavLM,MSP-Podcast,20
Layer 7,7,0.587,0.0172,0.5855,WavLM,MSP-Podcast,20
Layer 8,8,0.5909,0.0105,0.59,WavLM,MSP-Podcast,20
Layer 9,9,0.5867,0.0074,0.5867,WavLM,MSP-Podcast,20
Layer 10,10,0.5889,0.0055,0.5881,WavLM,MSP-Podcast,20
Layer 11,11,0.5922,0.007,0.5911,WavLM,MSP-Podcast,20
Layer 12,12,0.6022,0.0075,0.5996,WavLM,MSP-Podcast,20
Layer 13,13,0.5977,0.0078,0.5962,WavLM,MSP-Podcast,20
Layer 14,14,0.6008,0.0157,0.6007,WavLM,MSP-Podcast,20
Layer 15,15,0.6051,0.0097,0.6049,WavLM,MSP-Podcast,20
Layer 16,16,0.6064,0.0072,0.6072,WavLM,MSP-Podcast,20
Layer 17,17,0.6109,0.0081,0.6116,WavLM,MSP-Podcast,20
Layer 18,18,0.6154,0.0072,0.6153,WavLM,MSP-Podcast,20
Layer 19,19,0.613,0.0128,0.6139,WavLM,MSP-Podcast,20
Layer 20,20,0.6125,0.0069,0.6134,WavLM,MSP-Podcast,20
Layer 21,21,0.6161,0.0092,0.6169,WavLM,MSP-Podcast,20
Layer 22,22,0.6177,0.0077,0.616,WavLM,MSP-Podcast,20
Layer 23,23,0.6052,0.0034,0.6047,WavLM,MSP-Podcast,20
Layer 24,24,0.6049,0.0069,0.6039,WavLM,MSP-Podcast,20
CNN,0,0.5796,0.0051,0.55,WavLM,MSP-Podcast,5
Layer 1,1,0.5703,0.0091,0.5564,WavLM,MSP-Podcast,5
Layer 2,2,0.5662,0.0069,0.5597,WavLM,MSP-Podcast,5
Layer 3,3,0.5661,0.005,0.5624,WavLM,MSP-Podcast,5
Layer 4,4,0.5644,0.0055,0.5607,WavLM,MSP-Podcast,5
Layer 5,5,0.5695,0.0057,0.5672,WavLM,MSP-Podcast,5
Layer 6,6,0.5738,0.0043,0.5706,WavLM,MSP-Podcast,5
Layer 7,7,0.5723,0.0057,0.5698,WavLM,MSP-Podcast,5
Layer 8,8,0.5752,0.0051,0.5733,WavLM,MSP-Podcast,5
Layer 9,9,0.5732,0.0083,0.5712,WavLM,MSP-Podcast,5
Layer 10,10,0.5715,0.0041,0.5704,WavLM,MSP-Podcast,5
Layer 11,11,0.5745,0.0074,0.5727,WavLM,MSP-Podcast,5
Layer 12,12,0.5758,0.01,0.574,WavLM,MSP-Podcast,5
Layer 13,13,0.5773,0.0131,0.5762,WavLM,MSP-Podcast,5
Layer 14,14,0.5713,0.0068,0.5707,WavLM,MSP-Podcast,5
Layer 15,15,0.5724,0.0107,0.5715,WavLM,MSP-Podcast,5
Layer 16,16,0.5783,0.0096,0.5764,WavLM,MSP-Podcast,5
Layer 17,17,0.5902,0.008,0.5897,WavLM,MSP-Podcast,5
Layer 18,18,0.5937,0.0053,0.5928,WavLM,MSP-Podcast,5
Layer 19,19,0.5934,0.0037,0.5928,WavLM,MSP-Podcast,5
Layer 20,20,0.5918,0.0064,0.5925,WavLM,MSP-Podcast,5
Layer 21,21,0.5958,0.0072,0.5958,WavLM,MSP-Podcast,5
Layer 22,22,0.5955,0.005,0.5929,WavLM,MSP-Podcast,5
Layer 23,23,0.5818,0.0092,0.5803,WavLM,MSP-Podcast,5
Layer 24,24,0.5859,0.0108,0.5824,WavLM,MSP-Podcast,5
