Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1,Model,Dataset,SNR
Layer 10,10,0.9162,0.0133,0.9162,Whisper,RAVDESS,20
Layer 11,11,0.9313,0.0141,0.9316,Whisper,RAVDESS,20
Layer 12,12,0.9387,0.0062,0.9387,Whisper,RAVDESS,20
Layer 13,13,0.9413,0.0104,0.9414,Whisper,RAVDESS,20
Layer 14,14,0.9357,0.0151,0.9357,Whisper,RAVDESS,20
Layer 15,15,0.937,0.0098,0.937,Whisper,RAVDESS,20
Layer 16,16,0.9344,0.012,0.9343,Whisper,RAVDESS,20
Layer 17,17,0.9249,0.0107,0.9249,Whisper,RAVDESS,20
Layer 18,18,0.9301,0.004,0.9299,Whisper,RAVDESS,20
Layer 19,19,0.9249,0.0057,0.9247,Whisper,RAVDESS,20
Layer 20,20,0.921,0.0062,0.9208,Whisper,RAVDESS,20
Layer 21,21,0.9184,0.0084,0.9184,Whisper,RAVDESS,20
Layer 22,22,0.918,0.0081,0.918,Whisper,RAVDESS,20
Layer 23,23,0.9098,0.0122,0.9098,Whisper,RAVDESS,20
Layer 24,24,0.9102,0.0119,0.91,Whisper,RAVDESS,20
CNN,0,0.4158,0.027,0.4118,Whisper,RAVDESS,5
Layer 1,1,0.5544,0.024,0.5527,Whisper,RAVDESS,5
Layer 2,2,0.6291,0.0369,0.6292,Whisper,RAVDESS,5
Layer 3,3,0.6576,0.0276,0.6572,Whisper,RAVDESS,5
Layer 4,4,0.7276,0.0318,0.7272,Whisper,RAVDESS,5
Layer 5,5,0.7586,0.0244,0.7586,Whisper,RAVDESS,5
Layer 6,6,0.7975,0.0224,0.7974,Whisper,RAVDESS,5
Layer 7,7,0.8053,0.032,0.8047,Whisper,RAVDESS,5
Layer 8,8,0.8428,0.013,0.8426,Whisper,RAVDESS,5
Layer 9,9,0.8472,0.0195,0.847,Whisper,RAVDESS,5
Layer 10,10,0.8614,0.0153,0.8612,Whisper,RAVDESS,5
Layer 11,11,0.8791,0.0161,0.8792,Whisper,RAVDESS,5
Layer 12,12,0.8929,0.0137,0.8928,Whisper,RAVDESS,5
Layer 13,13,0.8959,0.0078,0.8961,Whisper,RAVDESS,5
Layer 14,14,0.8933,0.019,0.8934,Whisper,RAVDESS,5
Layer 15,15,0.8899,0.012,0.8902,Whisper,RAVDESS,5
Layer 16,16,0.8838,0.0141,0.8838,Whisper,RAVDESS,5
Layer 17,17,0.8795,0.0112,0.8796,Whisper,RAVDESS,5
Layer 18,18,0.8761,0.0115,0.8757,Whisper,RAVDESS,5
Layer 19,19,0.8692,0.0113,0.869,Whisper,RAVDESS,5
Layer 20,20,0.8774,0.0091,0.8771,Whisper,RAVDESS,5
Layer 21,21,0.8731,0.0128,0.8729,Whisper,RAVDESS,5
Layer 22,22,0.8666,0.0065,0.867,Whisper,RAVDESS,5
Layer 23,23,0.8601,0.0151,0.8598,Whisper,RAVDESS,5
Layer 24,24,0.8515,0.0121,0.8509,Whisper,RAVDESS,5
