Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1,Model,Dataset,SNR
Layer 6,6,0.6148,0.0065,0.6147,HuBERT,IEMOCAP,20
Layer 7,7,0.6179,0.0132,0.6181,HuBERT,IEMOCAP,20
Layer 8,8,0.6119,0.0148,0.6119,HuBERT,IEMOCAP,20
Layer 9,9,0.6132,0.0147,0.6131,HuBERT,IEMOCAP,20
Layer 10,10,0.6233,0.0065,0.623,HuBERT,IEMOCAP,20
Layer 11,11,0.6207,0.0078,0.6204,HuBERT,IEMOCAP,20
Layer 12,12,0.6321,0.0086,0.6317,HuBERT,IEMOCAP,20
Layer 13,13,0.624,0.0077,0.6238,HuBERT,IEMOCAP,20
Layer 14,14,0.6278,0.0224,0.6277,HuBERT,IEMOCAP,20
Layer 15,15,0.6227,0.0159,0.6225,HuBERT,IEMOCAP,20
Layer 16,16,0.6218,0.0119,0.6215,HuBERT,IEMOCAP,20
Layer 17,17,0.6249,0.0167,0.6246,HuBERT,IEMOCAP,20
Layer 18,18,0.622,0.013,0.6213,HuBERT,IEMOCAP,20
Layer 19,19,0.6247,0.0066,0.6245,HuBERT,IEMOCAP,20
Layer 20,20,0.6112,0.018,0.6106,HuBERT,IEMOCAP,20
Layer 21,21,0.6112,0.0053,0.6109,HuBERT,IEMOCAP,20
Layer 22,22,0.6108,0.0041,0.6103,HuBERT,IEMOCAP,20
Layer 23,23,0.6203,0.0126,0.6202,HuBERT,IEMOCAP,20
Layer 24,24,0.6247,0.0111,0.6243,HuBERT,IEMOCAP,20
CNN,0,0.5145,0.0135,0.5138,HuBERT,IEMOCAP,5
Layer 1,1,0.5324,0.0214,0.532,HuBERT,IEMOCAP,5
Layer 2,2,0.5375,0.0218,0.5369,HuBERT,IEMOCAP,5
Layer 3,3,0.5438,0.013,0.5434,HuBERT,IEMOCAP,5
Layer 4,4,0.5264,0.0124,0.5258,HuBERT,IEMOCAP,5
Layer 5,5,0.5282,0.0157,0.5274,HuBERT,IEMOCAP,5
Layer 6,6,0.5421,0.0193,0.5417,HuBERT,IEMOCAP,5
Layer 7,7,0.5542,0.0164,0.5536,HuBERT,IEMOCAP,5
Layer 8,8,0.5597,0.0132,0.5588,HuBERT,IEMOCAP,5
Layer 9,9,0.5595,0.0113,0.5588,HuBERT,IEMOCAP,5
Layer 10,10,0.5707,0.0042,0.5703,HuBERT,IEMOCAP,5
Layer 11,11,0.5705,0.0138,0.57,HuBERT,IEMOCAP,5
Layer 12,12,0.5707,0.013,0.5705,HuBERT,IEMOCAP,5
Layer 13,13,0.5716,0.0175,0.571,HuBERT,IEMOCAP,5
Layer 14,14,0.5652,0.0197,0.5645,HuBERT,IEMOCAP,5
Layer 15,15,0.5753,0.0216,0.575,HuBERT,IEMOCAP,5
Layer 16,16,0.5672,0.0254,0.5666,HuBERT,IEMOCAP,5
Layer 17,17,0.569,0.0182,0.5688,HuBERT,IEMOCAP,5
Layer 18,18,0.5634,0.0141,0.5629,HuBERT,IEMOCAP,5
Layer 19,19,0.559,0.0134,0.5586,HuBERT,IEMOCAP,5
Layer 20,20,0.5482,0.011,0.5477,HuBERT,IEMOCAP,5
Layer 21,21,0.5511,0.022,0.5503,HuBERT,IEMOCAP,5
Layer 22,22,0.5522,0.0248,0.5519,HuBERT,IEMOCAP,5
Layer 23,23,0.5542,0.0239,0.5536,HuBERT,IEMOCAP,5
Layer 24,24,0.5599,0.0155,0.5595,HuBERT,IEMOCAP,5
