Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1,Model,Dataset,SNR
Layer 8,8,0.6429,0.0189,0.643,Whisper,IEMOCAP,20
Layer 9,9,0.661,0.0202,0.6608,Whisper,IEMOCAP,20
Layer 10,10,0.6632,0.0174,0.6631,Whisper,IEMOCAP,20
Layer 11,11,0.6588,0.0113,0.6587,Whisper,IEMOCAP,20
Layer 12,12,0.6612,0.0122,0.6609,Whisper,IEMOCAP,20
Layer 13,13,0.6612,0.0204,0.661,Whisper,IEMOCAP,20
Layer 14,14,0.6603,0.0247,0.6601,Whisper,IEMOCAP,20
Layer 15,15,0.6678,0.0137,0.6678,Whisper,IEMOCAP,20
Layer 16,16,0.6678,0.0114,0.6677,Whisper,IEMOCAP,20
Layer 17,17,0.6701,0.0093,0.6702,Whisper,IEMOCAP,20
Layer 18,18,0.6595,0.0095,0.6595,Whisper,IEMOCAP,20
Layer 19,19,0.661,0.0237,0.6607,Whisper,IEMOCAP,20
Layer 20,20,0.6681,0.0147,0.6681,Whisper,IEMOCAP,20
Layer 21,21,0.6731,0.0099,0.6735,Whisper,IEMOCAP,20
Layer 22,22,0.6615,0.0146,0.6617,Whisper,IEMOCAP,20
Layer 23,23,0.68,0.0087,0.6799,Whisper,IEMOCAP,20
Layer 24,24,0.6645,0.0128,0.6644,Whisper,IEMOCAP,20
CNN,0,0.5168,0.0102,0.5157,Whisper,IEMOCAP,5
Layer 1,1,0.5516,0.0194,0.5519,Whisper,IEMOCAP,5
Layer 2,2,0.5663,0.0203,0.5662,Whisper,IEMOCAP,5
Layer 3,3,0.5734,0.0101,0.5733,Whisper,IEMOCAP,5
Layer 4,4,0.5872,0.0077,0.5868,Whisper,IEMOCAP,5
Layer 5,5,0.6053,0.0173,0.6052,Whisper,IEMOCAP,5
Layer 6,6,0.6073,0.0226,0.6074,Whisper,IEMOCAP,5
Layer 7,7,0.6053,0.0226,0.605,Whisper,IEMOCAP,5
Layer 8,8,0.6126,0.0096,0.6123,Whisper,IEMOCAP,5
Layer 9,9,0.6299,0.0114,0.6297,Whisper,IEMOCAP,5
Layer 10,10,0.6275,0.0166,0.6274,Whisper,IEMOCAP,5
Layer 11,11,0.6372,0.0152,0.637,Whisper,IEMOCAP,5
Layer 12,12,0.6407,0.0057,0.6404,Whisper,IEMOCAP,5
Layer 13,13,0.6271,0.0093,0.6271,Whisper,IEMOCAP,5
Layer 14,14,0.6364,0.0138,0.636,Whisper,IEMOCAP,5
Layer 15,15,0.6386,0.0123,0.6382,Whisper,IEMOCAP,5
Layer 16,16,0.6328,0.0173,0.6325,Whisper,IEMOCAP,5
Layer 17,17,0.6346,0.0181,0.6346,Whisper,IEMOCAP,5
Layer 18,18,0.6348,0.0209,0.6346,Whisper,IEMOCAP,5
Layer 19,19,0.6564,0.0137,0.6564,Whisper,IEMOCAP,5
Layer 20,20,0.6493,0.0134,0.6492,Whisper,IEMOCAP,5
Layer 21,21,0.6443,0.0204,0.6441,Whisper,IEMOCAP,5
Layer 22,22,0.646,0.0215,0.6457,Whisper,IEMOCAP,5
Layer 23,23,0.6515,0.012,0.6512,Whisper,IEMOCAP,5
Layer 24,24,0.643,0.0116,0.6427,Whisper,IEMOCAP,5
