Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1,Model,Dataset,SNR
Layer 3,3,0.7763,0.0179,0.7758,w2v-BERT,RAVDESS,20
Layer 4,4,0.8221,0.026,0.8219,w2v-BERT,RAVDESS,20
Layer 5,5,0.8251,0.0115,0.8251,w2v-BERT,RAVDESS,20
Layer 6,6,0.8277,0.0177,0.8273,w2v-BERT,RAVDESS,20
Layer 7,7,0.8048,0.0155,0.8044,w2v-BERT,RAVDESS,20
Layer 8,8,0.7612,0.0076,0.7608,w2v-BERT,RAVDESS,20
Layer 9,9,0.8212,0.0296,0.8206,w2v-BERT,RAVDESS,20
Layer 10,10,0.8096,0.0302,0.8096,w2v-BERT,RAVDESS,20
Layer 11,11,0.7824,0.0346,0.782,w2v-BERT,RAVDESS,20
Layer 12,12,0.7573,0.0278,0.7572,w2v-BERT,RAVDESS,20
Layer 13,13,0.7409,0.0331,0.7408,w2v-BERT,RAVDESS,20
Layer 14,14,0.7759,0.0316,0.7756,w2v-BERT,RAVDESS,20
Layer 15,15,0.7919,0.0188,0.7912,w2v-BERT,RAVDESS,20
Layer 16,16,0.8389,0.0139,0.8386,w2v-BERT,RAVDESS,20
Layer 17,17,0.845,0.0157,0.8451,w2v-BERT,RAVDESS,20
Layer 18,18,0.8299,0.0269,0.8301,w2v-BERT,RAVDESS,20
Layer 19,19,0.7893,0.0309,0.7889,w2v-BERT,RAVDESS,20
Layer 20,20,0.7621,0.0214,0.7624,w2v-BERT,RAVDESS,20
Layer 21,21,0.7262,0.0242,0.7261,w2v-BERT,RAVDESS,20
Layer 22,22,0.6921,0.0262,0.692,w2v-BERT,RAVDESS,20
Layer 23,23,0.6408,0.0355,0.6399,w2v-BERT,RAVDESS,20
Layer 24,24,0.5734,0.0166,0.5704,w2v-BERT,RAVDESS,20
CNN,0,0.1697,0.0156,0.1691,w2v-BERT,RAVDESS,5
Layer 1,1,0.4266,0.0243,0.4265,w2v-BERT,RAVDESS,5
Layer 2,2,0.5371,0.0203,0.5355,w2v-BERT,RAVDESS,5
Layer 3,3,0.6913,0.0143,0.6896,w2v-BERT,RAVDESS,5
Layer 4,4,0.7189,0.0227,0.7187,w2v-BERT,RAVDESS,5
Layer 5,5,0.7258,0.0124,0.7257,w2v-BERT,RAVDESS,5
