Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1,Model,Dataset,SNR
Layer 13,13,0.58,0.0316,0.5785,wav2vec2,MESD,20
Layer 14,14,0.5626,0.0147,0.5618,wav2vec2,MESD,20
Layer 15,15,0.5116,0.023,0.5105,wav2vec2,MESD,20
Layer 16,16,0.5221,0.0279,0.5198,wav2vec2,MESD,20
Layer 17,17,0.5058,0.0255,0.5035,wav2vec2,MESD,20
Layer 18,18,0.4792,0.0348,0.4778,wav2vec2,MESD,20
Layer 19,19,0.4491,0.0491,0.4483,wav2vec2,MESD,20
Layer 20,20,0.4281,0.0156,0.4273,wav2vec2,MESD,20
Layer 21,21,0.4037,0.0379,0.4026,wav2vec2,MESD,20
Layer 22,22,0.3434,0.035,0.3425,wav2vec2,MESD,20
Layer 23,23,0.3271,0.028,0.3275,wav2vec2,MESD,20
Layer 24,24,0.2877,0.0264,0.2873,wav2vec2,MESD,20
CNN,0,0.5058,0.0297,0.5047,wav2vec2,MESD,5
Layer 1,1,0.5197,0.0322,0.5185,wav2vec2,MESD,5
Layer 2,2,0.5789,0.0387,0.5752,wav2vec2,MESD,5
Layer 3,3,0.6044,0.0268,0.6027,wav2vec2,MESD,5
Layer 4,4,0.5951,0.025,0.5949,wav2vec2,MESD,5
Layer 5,5,0.5893,0.0261,0.5894,wav2vec2,MESD,5
Layer 6,6,0.6206,0.024,0.6203,wav2vec2,MESD,5
Layer 7,7,0.6068,0.0419,0.6055,wav2vec2,MESD,5
Layer 8,8,0.5928,0.0204,0.5915,wav2vec2,MESD,5
Layer 9,9,0.5696,0.0227,0.5665,wav2vec2,MESD,5
Layer 10,10,0.5093,0.0282,0.5068,wav2vec2,MESD,5
Layer 11,11,0.4792,0.0326,0.4764,wav2vec2,MESD,5
Layer 12,12,0.4223,0.0261,0.4182,wav2vec2,MESD,5
Layer 13,13,0.4234,0.0441,0.4212,wav2vec2,MESD,5
Layer 14,14,0.4095,0.0499,0.4075,wav2vec2,MESD,5
Layer 15,15,0.3875,0.0359,0.3873,wav2vec2,MESD,5
Layer 16,16,0.4072,0.0332,0.407,wav2vec2,MESD,5
Layer 17,17,0.3933,0.0198,0.3925,wav2vec2,MESD,5
Layer 18,18,0.3666,0.0234,0.3655,wav2vec2,MESD,5
Layer 19,19,0.3376,0.0169,0.3347,wav2vec2,MESD,5
Layer 20,20,0.3283,0.0164,0.3282,wav2vec2,MESD,5
Layer 21,21,0.2993,0.0205,0.2988,wav2vec2,MESD,5
Layer 22,22,0.297,0.0263,0.2973,wav2vec2,MESD,5
Layer 23,23,0.2807,0.0174,0.2774,wav2vec2,MESD,5
Layer 24,24,0.2541,0.0379,0.2538,wav2vec2,MESD,5
