Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1,Model,Dataset,SNR
Layer 17,17,0.7413,0.0162,0.7406,WavLM,MESD,20
Layer 18,18,0.7262,0.0316,0.7247,WavLM,MESD,20
Layer 19,19,0.7112,0.0259,0.7094,WavLM,MESD,20
Layer 20,20,0.7112,0.0205,0.7101,WavLM,MESD,20
Layer 21,21,0.7066,0.0225,0.704,WavLM,MESD,20
Layer 22,22,0.6891,0.0191,0.6892,WavLM,MESD,20
Layer 23,23,0.6648,0.0412,0.6637,WavLM,MESD,20
Layer 24,24,0.637,0.0498,0.6352,WavLM,MESD,20
CNN,0,0.5615,0.0256,0.5581,WavLM,MESD,5
Layer 1,1,0.6219,0.0208,0.6216,WavLM,MESD,5
Layer 2,2,0.6682,0.0217,0.6671,WavLM,MESD,5
Layer 3,3,0.7077,0.0134,0.707,WavLM,MESD,5
Layer 4,4,0.7135,0.0248,0.7138,WavLM,MESD,5
Layer 5,5,0.7228,0.0179,0.7226,WavLM,MESD,5
Layer 6,6,0.746,0.0292,0.745,WavLM,MESD,5
Layer 7,7,0.7204,0.0185,0.7205,WavLM,MESD,5
Layer 8,8,0.7286,0.019,0.7284,WavLM,MESD,5
Layer 9,9,0.7298,0.027,0.7294,WavLM,MESD,5
Layer 10,10,0.6937,0.0265,0.6945,WavLM,MESD,5
Layer 11,11,0.7019,0.0342,0.7011,WavLM,MESD,5
Layer 12,12,0.6834,0.042,0.6836,WavLM,MESD,5
Layer 13,13,0.6822,0.0301,0.6836,WavLM,MESD,5
Layer 14,14,0.6485,0.0219,0.6506,WavLM,MESD,5
Layer 15,15,0.6497,0.0231,0.6508,WavLM,MESD,5
Layer 16,16,0.6404,0.0125,0.641,WavLM,MESD,5
Layer 17,17,0.6253,0.0131,0.6251,WavLM,MESD,5
Layer 18,18,0.6137,0.0265,0.6144,WavLM,MESD,5
Layer 19,19,0.5964,0.0294,0.5964,WavLM,MESD,5
Layer 20,20,0.5743,0.0241,0.5753,WavLM,MESD,5
Layer 21,21,0.5928,0.0256,0.5939,WavLM,MESD,5
Layer 22,22,0.6021,0.0345,0.6014,WavLM,MESD,5
Layer 23,23,0.5719,0.0367,0.5708,WavLM,MESD,5
Layer 24,24,0.5198,0.0275,0.52,WavLM,MESD,5
