Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1,Model,Dataset,SNR
Layer 12,12,0.8083,0.0313,0.8074,Whisper,SAVEE,20
Layer 13,13,0.7792,0.0325,0.7776,Whisper,SAVEE,20
Layer 14,14,0.7812,0.0219,0.7802,Whisper,SAVEE,20
Layer 15,15,0.7771,0.0382,0.7747,Whisper,SAVEE,20
Layer 16,16,0.7875,0.0141,0.7854,Whisper,SAVEE,20
Layer 17,17,0.775,0.0306,0.7729,Whisper,SAVEE,20
Layer 18,18,0.7896,0.0121,0.7886,Whisper,SAVEE,20
Layer 19,19,0.8125,0.0174,0.8101,Whisper,SAVEE,20
Layer 20,20,0.7875,0.0125,0.7858,Whisper,SAVEE,20
Layer 21,21,0.7729,0.029,0.7705,Whisper,SAVEE,20
Layer 22,22,0.7688,0.0212,0.764,Whisper,SAVEE,20
Layer 23,23,0.7646,0.0125,0.7611,Whisper,SAVEE,20
Layer 24,24,0.7729,0.0222,0.7713,Whisper,SAVEE,20
CNN,0,0.3729,0.0386,0.3734,Whisper,SAVEE,5
Layer 1,1,0.4812,0.0179,0.4752,Whisper,SAVEE,5
Layer 2,2,0.5188,0.0744,0.5125,Whisper,SAVEE,5
Layer 3,3,0.5021,0.0602,0.4994,Whisper,SAVEE,5
Layer 4,4,0.575,0.0212,0.5701,Whisper,SAVEE,5
Layer 5,5,0.6313,0.0404,0.6265,Whisper,SAVEE,5
Layer 6,6,0.6542,0.0403,0.6494,Whisper,SAVEE,5
Layer 7,7,0.6896,0.029,0.6849,Whisper,SAVEE,5
Layer 8,8,0.6438,0.0357,0.6425,Whisper,SAVEE,5
Layer 9,9,0.65,0.0376,0.6474,Whisper,SAVEE,5
Layer 10,10,0.7062,0.0369,0.7042,Whisper,SAVEE,5
Layer 11,11,0.7333,0.0234,0.7327,Whisper,SAVEE,5
Layer 12,12,0.7208,0.029,0.716,Whisper,SAVEE,5
Layer 13,13,0.6958,0.029,0.6935,Whisper,SAVEE,5
Layer 14,14,0.7083,0.028,0.7016,Whisper,SAVEE,5
Layer 15,15,0.7312,0.0283,0.7242,Whisper,SAVEE,5
Layer 16,16,0.7458,0.0313,0.7419,Whisper,SAVEE,5
Layer 17,17,0.7438,0.0352,0.7404,Whisper,SAVEE,5
Layer 18,18,0.7104,0.0403,0.7041,Whisper,SAVEE,5
Layer 19,19,0.7188,0.0132,0.7115,Whisper,SAVEE,5
Layer 20,20,0.7125,0.0214,0.7062,Whisper,SAVEE,5
Layer 21,21,0.7167,0.0259,0.7077,Whisper,SAVEE,5
Layer 22,22,0.6958,0.0332,0.6882,Whisper,SAVEE,5
Layer 23,23,0.7104,0.0332,0.7041,Whisper,SAVEE,5
Layer 24,24,0.6937,0.0051,0.6897,Whisper,SAVEE,5
