Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1,Model,Dataset,SNR
Layer 10,10,0.9645,0.0109,0.9643,HuBERT,EmoDB,20
Layer 11,11,0.9682,0.0127,0.9678,HuBERT,EmoDB,20
Layer 12,12,0.9626,0.0187,0.9621,HuBERT,EmoDB,20
Layer 13,13,0.957,0.0201,0.9565,HuBERT,EmoDB,20
Layer 14,14,0.957,0.0192,0.9565,HuBERT,EmoDB,20
Layer 15,15,0.9551,0.0181,0.9545,HuBERT,EmoDB,20
Layer 16,16,0.9514,0.0109,0.951,HuBERT,EmoDB,20
Layer 17,17,0.9551,0.0171,0.9544,HuBERT,EmoDB,20
Layer 18,18,0.9533,0.0213,0.9525,HuBERT,EmoDB,20
Layer 19,19,0.9364,0.0254,0.9348,HuBERT,EmoDB,20
Layer 20,20,0.9327,0.028,0.9319,HuBERT,EmoDB,20
Layer 21,21,0.9327,0.0331,0.9313,HuBERT,EmoDB,20
Layer 22,22,0.9421,0.0191,0.9413,HuBERT,EmoDB,20
Layer 23,23,0.929,0.0248,0.9279,HuBERT,EmoDB,20
Layer 24,24,0.9159,0.0205,0.9144,HuBERT,EmoDB,20
CNN,0,0.6729,0.0313,0.6698,HuBERT,EmoDB,5
Layer 1,1,0.7346,0.0367,0.7322,HuBERT,EmoDB,5
Layer 2,2,0.8019,0.007,0.8001,HuBERT,EmoDB,5
Layer 3,3,0.8523,0.0267,0.8486,HuBERT,EmoDB,5
Layer 4,4,0.8729,0.0248,0.8707,HuBERT,EmoDB,5
Layer 5,5,0.871,0.0331,0.8709,HuBERT,EmoDB,5
Layer 6,6,0.8692,0.0258,0.8673,HuBERT,EmoDB,5
Layer 7,7,0.8953,0.0239,0.8932,HuBERT,EmoDB,5
Layer 8,8,0.9009,0.0293,0.8989,HuBERT,EmoDB,5
Layer 9,9,0.9178,0.0181,0.9168,HuBERT,EmoDB,5
Layer 10,10,0.9252,0.0167,0.9241,HuBERT,EmoDB,5
Layer 11,11,0.9308,0.0192,0.9303,HuBERT,EmoDB,5
Layer 12,12,0.9327,0.0208,0.9322,HuBERT,EmoDB,5
Layer 13,13,0.9178,0.0181,0.9173,HuBERT,EmoDB,5
Layer 14,14,0.9084,0.02,0.908,HuBERT,EmoDB,5
Layer 15,15,0.8935,0.0255,0.8923,HuBERT,EmoDB,5
Layer 16,16,0.8822,0.0095,0.8812,HuBERT,EmoDB,5
Layer 17,17,0.871,0.02,0.8712,HuBERT,EmoDB,5
Layer 18,18,0.871,0.0216,0.8709,HuBERT,EmoDB,5
Layer 19,19,0.8673,0.0191,0.8666,HuBERT,EmoDB,5
Layer 20,20,0.8692,0.0167,0.8682,HuBERT,EmoDB,5
Layer 21,21,0.8542,0.0248,0.8532,HuBERT,EmoDB,5
Layer 22,22,0.871,0.0254,0.8678,HuBERT,EmoDB,5
Layer 23,23,0.8598,0.0538,0.8566,HuBERT,EmoDB,5
Layer 24,24,0.8505,0.0355,0.8482,HuBERT,EmoDB,5
