Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1,Model,Dataset,SNR
Layer 10,10,0.7688,0.0363,0.7665,HuBERT,SAVEE,20
Layer 11,11,0.7979,0.034,0.7957,HuBERT,SAVEE,20
Layer 12,12,0.8021,0.0378,0.8001,HuBERT,SAVEE,20
Layer 13,13,0.8104,0.029,0.8069,HuBERT,SAVEE,20
Layer 14,14,0.8042,0.0449,0.8008,HuBERT,SAVEE,20
Layer 15,15,0.8,0.0319,0.7964,HuBERT,SAVEE,20
Layer 16,16,0.8271,0.0399,0.8248,HuBERT,SAVEE,20
Layer 17,17,0.8146,0.0463,0.8127,HuBERT,SAVEE,20
Layer 18,18,0.8062,0.042,0.8053,HuBERT,SAVEE,20
Layer 19,19,0.8292,0.0268,0.8296,HuBERT,SAVEE,20
Layer 20,20,0.8146,0.049,0.8129,HuBERT,SAVEE,20
Layer 21,21,0.8042,0.0553,0.803,HuBERT,SAVEE,20
Layer 22,22,0.7917,0.0452,0.7904,HuBERT,SAVEE,20
Layer 23,23,0.7458,0.0358,0.7426,HuBERT,SAVEE,20
Layer 24,24,0.7083,0.0543,0.7041,HuBERT,SAVEE,20
CNN,0,0.3708,0.0473,0.3682,HuBERT,SAVEE,5
Layer 1,1,0.4333,0.0534,0.4277,HuBERT,SAVEE,5
Layer 2,2,0.4896,0.0395,0.4824,HuBERT,SAVEE,5
Layer 3,3,0.4875,0.0369,0.4797,HuBERT,SAVEE,5
Layer 4,4,0.5021,0.0454,0.4957,HuBERT,SAVEE,5
Layer 5,5,0.5438,0.0241,0.5386,HuBERT,SAVEE,5
Layer 6,6,0.525,0.0459,0.5179,HuBERT,SAVEE,5
Layer 7,7,0.55,0.0612,0.5448,HuBERT,SAVEE,5
Layer 8,8,0.5708,0.0468,0.5661,HuBERT,SAVEE,5
Layer 9,9,0.5667,0.0491,0.5596,HuBERT,SAVEE,5
Layer 10,10,0.5958,0.0312,0.5926,HuBERT,SAVEE,5
Layer 11,11,0.6146,0.0272,0.6097,HuBERT,SAVEE,5
Layer 12,12,0.6229,0.0167,0.616,HuBERT,SAVEE,5
Layer 13,13,0.6333,0.0312,0.6276,HuBERT,SAVEE,5
Layer 14,14,0.6312,0.0313,0.6231,HuBERT,SAVEE,5
Layer 15,15,0.6396,0.0364,0.6325,HuBERT,SAVEE,5
Layer 16,16,0.6208,0.0464,0.6145,HuBERT,SAVEE,5
Layer 17,17,0.6333,0.0637,0.6282,HuBERT,SAVEE,5
Layer 18,18,0.6062,0.0752,0.6007,HuBERT,SAVEE,5
Layer 19,19,0.6229,0.0397,0.6169,HuBERT,SAVEE,5
Layer 20,20,0.6188,0.0333,0.6113,HuBERT,SAVEE,5
Layer 21,21,0.6375,0.0369,0.6323,HuBERT,SAVEE,5
Layer 22,22,0.6479,0.0241,0.6445,HuBERT,SAVEE,5
Layer 23,23,0.5667,0.0613,0.5629,HuBERT,SAVEE,5
Layer 24,24,0.5521,0.0417,0.5473,HuBERT,SAVEE,5
