Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1,Model,Dataset,SNR
Layer 2,2,0.5465,0.0237,0.5461,w2v-BERT,IEMOCAP,20
Layer 3,3,0.5899,0.015,0.5894,w2v-BERT,IEMOCAP,20
Layer 4,4,0.5918,0.0127,0.5915,w2v-BERT,IEMOCAP,20
Layer 5,5,0.6075,0.0019,0.6075,w2v-BERT,IEMOCAP,20
Layer 6,6,0.5971,0.0113,0.5965,w2v-BERT,IEMOCAP,20
Layer 7,7,0.6016,0.0069,0.601,w2v-BERT,IEMOCAP,20
Layer 8,8,0.5984,0.0081,0.598,w2v-BERT,IEMOCAP,20
Layer 9,9,0.6126,0.0186,0.6124,w2v-BERT,IEMOCAP,20
Layer 10,10,0.6005,0.0115,0.6003,w2v-BERT,IEMOCAP,20
Layer 11,11,0.5912,0.016,0.5909,w2v-BERT,IEMOCAP,20
Layer 12,12,0.5952,0.0065,0.5948,w2v-BERT,IEMOCAP,20
Layer 13,13,0.5976,0.0114,0.5974,w2v-BERT,IEMOCAP,20
Layer 14,14,0.6095,0.0096,0.6095,w2v-BERT,IEMOCAP,20
Layer 15,15,0.6082,0.0114,0.6082,w2v-BERT,IEMOCAP,20
Layer 16,16,0.6216,0.0063,0.6213,w2v-BERT,IEMOCAP,20
Layer 17,17,0.6238,0.0191,0.6236,w2v-BERT,IEMOCAP,20
Layer 18,18,0.6022,0.0099,0.6016,w2v-BERT,IEMOCAP,20
Layer 19,19,0.6009,0.0101,0.6006,w2v-BERT,IEMOCAP,20
Layer 20,20,0.5976,0.0109,0.5974,w2v-BERT,IEMOCAP,20
Layer 21,21,0.5832,0.011,0.5827,w2v-BERT,IEMOCAP,20
Layer 22,22,0.5612,0.0041,0.5607,w2v-BERT,IEMOCAP,20
Layer 23,23,0.5396,0.0164,0.5391,w2v-BERT,IEMOCAP,20
Layer 24,24,0.5337,0.0143,0.5332,w2v-BERT,IEMOCAP,20
CNN,0,0.322,0.0172,0.3134,w2v-BERT,IEMOCAP,5
Layer 1,1,0.4674,0.008,0.4671,w2v-BERT,IEMOCAP,5
Layer 2,2,0.5051,0.0217,0.505,w2v-BERT,IEMOCAP,5
Layer 3,3,0.557,0.0156,0.5565,w2v-BERT,IEMOCAP,5
Layer 4,4,0.5485,0.0059,0.5482,w2v-BERT,IEMOCAP,5
Layer 5,5,0.5571,0.0173,0.5565,w2v-BERT,IEMOCAP,5
Layer 6,6,0.5672,0.0185,0.5671,w2v-BERT,IEMOCAP,5
Layer 7,7,0.583,0.0121,0.5826,w2v-BERT,IEMOCAP,5
Layer 8,8,0.5674,0.0158,0.567,w2v-BERT,IEMOCAP,5
Layer 9,9,0.5824,0.0135,0.582,w2v-BERT,IEMOCAP,5
Layer 10,10,0.5767,0.0099,0.5763,w2v-BERT,IEMOCAP,5
Layer 11,11,0.5557,0.0149,0.5554,w2v-BERT,IEMOCAP,5
Layer 12,12,0.5636,0.0162,0.5633,w2v-BERT,IEMOCAP,5
Layer 13,13,0.5476,0.0192,0.547,w2v-BERT,IEMOCAP,5
Layer 14,14,0.5696,0.0141,0.5693,w2v-BERT,IEMOCAP,5
Layer 15,15,0.5749,0.0283,0.5744,w2v-BERT,IEMOCAP,5
Layer 16,16,0.5749,0.0111,0.5748,w2v-BERT,IEMOCAP,5
Layer 17,17,0.5793,0.0212,0.5791,w2v-BERT,IEMOCAP,5
Layer 18,18,0.5755,0.0175,0.5752,w2v-BERT,IEMOCAP,5
Layer 19,19,0.5636,0.0093,0.5634,w2v-BERT,IEMOCAP,5
Layer 20,20,0.5575,0.015,0.5573,w2v-BERT,IEMOCAP,5
Layer 21,21,0.5522,0.0155,0.5517,w2v-BERT,IEMOCAP,5
Layer 22,22,0.5187,0.0108,0.5183,w2v-BERT,IEMOCAP,5
Layer 23,23,0.4791,0.0146,0.4784,w2v-BERT,IEMOCAP,5
Layer 24,24,0.4868,0.0222,0.4867,w2v-BERT,IEMOCAP,5
