Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1,Model,Dataset,SNR
Layer 12,12,0.7073,0.0257,0.7061,MERT,RAVDESS,20
Layer 13,13,0.6839,0.0227,0.6827,MERT,RAVDESS,20
Layer 14,14,0.6852,0.0269,0.6845,MERT,RAVDESS,20
Layer 15,15,0.6818,0.0196,0.6809,MERT,RAVDESS,20
Layer 16,16,0.6749,0.0247,0.6731,MERT,RAVDESS,20
Layer 17,17,0.6684,0.0287,0.6659,MERT,RAVDESS,20
Layer 18,18,0.6528,0.0276,0.651,MERT,RAVDESS,20
Layer 19,19,0.6619,0.0442,0.6604,MERT,RAVDESS,20
Layer 20,20,0.6632,0.0374,0.6618,MERT,RAVDESS,20
Layer 21,21,0.6416,0.0344,0.6406,MERT,RAVDESS,20
Layer 22,22,0.6408,0.0323,0.6401,MERT,RAVDESS,20
Layer 23,23,0.6412,0.0331,0.6394,MERT,RAVDESS,20
Layer 24,24,0.6287,0.0349,0.6273,MERT,RAVDESS,20
CNN,0,0.3817,0.0135,0.3797,MERT,RAVDESS,5
Layer 1,1,0.4106,0.0168,0.4093,MERT,RAVDESS,5
Layer 2,2,0.4672,0.0191,0.4665,MERT,RAVDESS,5
Layer 3,3,0.5134,0.0269,0.5116,MERT,RAVDESS,5
Layer 4,4,0.5605,0.0309,0.5589,MERT,RAVDESS,5
Layer 5,5,0.5738,0.0197,0.5724,MERT,RAVDESS,5
Layer 6,6,0.5877,0.0274,0.5868,MERT,RAVDESS,5
Layer 7,7,0.5812,0.0323,0.5803,MERT,RAVDESS,5
Layer 8,8,0.5868,0.0237,0.5851,MERT,RAVDESS,5
Layer 9,9,0.5984,0.021,0.5974,MERT,RAVDESS,5
Layer 10,10,0.5976,0.0313,0.596,MERT,RAVDESS,5
Layer 11,11,0.5859,0.0234,0.5844,MERT,RAVDESS,5
Layer 12,12,0.5713,0.0297,0.5692,MERT,RAVDESS,5
Layer 13,13,0.5617,0.018,0.5602,MERT,RAVDESS,5
Layer 14,14,0.5527,0.0249,0.5517,MERT,RAVDESS,5
Layer 15,15,0.5475,0.0295,0.5466,MERT,RAVDESS,5
Layer 16,16,0.5389,0.0261,0.5379,MERT,RAVDESS,5
Layer 17,17,0.5272,0.0283,0.526,MERT,RAVDESS,5
Layer 18,18,0.5078,0.0241,0.5073,MERT,RAVDESS,5
Layer 19,19,0.4978,0.0259,0.497,MERT,RAVDESS,5
Layer 20,20,0.4875,0.0177,0.4865,MERT,RAVDESS,5
Layer 21,21,0.4849,0.012,0.4831,MERT,RAVDESS,5
Layer 22,22,0.4715,0.0167,0.4696,MERT,RAVDESS,5
Layer 23,23,0.4732,0.0211,0.472,MERT,RAVDESS,5
Layer 24,24,0.4797,0.0235,0.4789,MERT,RAVDESS,5
